company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Måleriservice Lkpg AB,5568790389,4,48,Palm; Anders Christer,1,0,Måleriservice Lkpg AB
Måleriservice Lkpg AB,5568790389,4,48,Henriksson; Jimmie Nils Christer,1,0,Måleriservice Lkpg AB
SA.Garbowski AB,5590457627,3,48,Garbowski; Arkadiusz Daniel,1,0,SA.Garbowski AB
Värmefixarna Öst AB,5565370979,2,51,Moberg; Bror Jörgen,2,4,Värmefixarna Öst AB|Jörgen Mobergs Värmeservice AB
Mats Hansson Gräv Mark & Byggtjänst AB,5569584815,2,54,Hansson; Mats Gunnar Michael,1,1,Mats Hansson Gräv Mark & Byggtjänst AB
Sjögrens Rörservice i Mjölby AB,5566622865,2,47,Sjögren; Bengt Nicklas,2,1,Sjögrens Konsult & Förvaltning AB|Sjögrens Rörservice i Mjölby AB
Göta Plåtslageri AB,5591341861,3,40,Törnström; Olle Niklas,1,0,Göta Plåtslageri AB
Marcus och Martins Elinstallationer i Östergötland AB,5591890479,2,36,Johansson; Sven Marcus,1,1,Marcus och Martins Elinstallationer i Östergötland AB
Marcus och Martins Elinstallationer i Östergötland AB,5591890479,2,36,Granath; Martin Erik,1,0,Marcus och Martins Elinstallationer i Östergötland AB
OptoPartner AB,5569408940,2,39,Sandgren; Björn Eric,5,6,OptoPartner AB|TG Installation AB|Bogården AB|TG Group AB|MABS AB
Bygg & Designkonsult i Norrköping AB,5590624739,2,34,Holst; Carl Andreas,11,3,Lundby Tomt & Mark AB|Bygg & Designkonsult i Norrköping AB|Arkö Hus AB|Arkö Bostad AB|Norrköping Terminalen 2 AB|Arkö Fastigheter AB|AB Björkspinnaren 3|AMT Invest AB|Treadstone Holding AB|Arkögruppen Holding AB|Popnpee &h2o i Lundby ekonomisk förening
Kallhälls Måleri Aktiebolag,5564693975,3,34,Hensing; Anders,1,5,Kallhälls Måleri Aktiebolag
Kallhälls Måleri Aktiebolag,5564693975,3,34,Schuldt; Henrik,1,1,Kallhälls Måleri Aktiebolag
Essinge Bygg & Montage AB,5568657547,2,42,Åström; Jan Mikael,2,6,Essinge Bygg & Montage AB|Intentor of Sweden Handelsbolag
Byggcontroll i Finspång AB,5568817075,2,60,Sundén; Bengt Gösta,4,5,Byggcontroll i Finspång AB|OPEN Car Wash i Finspång AB|BC Redovisning AB|Bengt Sundén Fastighets AB
VBK bygg & entreprenad AB,5569700999,2,45,Alm; Fredrik,2,6,VBK bygg & entreprenad AB|VBK Bygg & Entreprenad
Bygg och Projektutveckling i Norrköping AB,5591846695,3,55,Nieminen; Ari Tapani,4,5,Bygg och Projektutveckling i Norrköping AB|Arbor Familjeläkare AB|AKN Consulting AB|Bostadsföreningen Hornet u.p.a.
J Folkesson Elservice AB,5569579120,3,42,Folkesson; Hans Jörgen,2,1,J Folkesson Elservice AB|HJF Elkonsult
Hallgrens Plåt i Boxholm Aktiebolag,5562088434,2,68,Lindgren; Carl Gustaf Kenneth,1,2,Hallgrens Plåt i Boxholm Aktiebolag
Dahls service o montage AB,5590720966,2,56,Dahl; Eva Valborg Elisabet,1,0,Dahls service o montage AB
Dahls service o montage AB,5590720966,2,56,Dahl; Peter Christer Emanuel,1,1,Dahls service o montage AB
Borkhults Entreprenad och Grus AB,5563043677,2,63,Örtegren; Lars Lennart,1,2,Borkhults Entreprenad och Grus AB
Scandia Bemanning AB,5568024383,2,51,Jarl; Christopher Mauritz,12,6,J Gruppen Aktiebolag|Montage-Svets i Motala AB|CMJ Entreprenad AB|CMJ Fastighet AB|Scandia Bemanning AB|Mauritz Jarl AB|Processmodul i Motala AB|Dubai software solutions AB|JASTech i Motala AB|Rikskampen Sverige AB|CMJ Automotive AB|CMJ Förvaltning AB
Klimatstaden AB,5568031529,2,51,Baric; Rolf,3,7,ER Byggpartner i Norrköping AB|Handelskompaniet i Norrköping Aktiebolag|Klimatstaden AB
Svenska Bygge i Linköping AB,5591351449,2,36,Lindqvist; John Bo Rune,2,3,Svenska Bygge i Linköping AB|Stallbackens Café & Bistro AB
Norrköpings Betonghåltagning AB,5591476337,3,34,Fritiof; Charlotte Marie,2,3,Norrköpings Betonghåltagning AB|CENT Rental AB
Norrköpings Betonghåltagning AB,5591476337,3,34,Fritiof; Nils Tim,3,2,Norrköpings Betonghåltagning AB|CENT Rental AB|Norrköpings Betonghåltagning
Lincopia AB,5569053738,2,44,Karlsson; Jonas Mats Roy,2,2,Lincopia AB|BYGG & FASADGRUPPEN I ÖSTERGÖTLAND AB
Roland Svenssons Bygg Aktiebolag,5563647188,2,72,Svensson; Sven Roland,1,0,Roland Svenssons Bygg Aktiebolag
Invict Runö Utveckling AB,5590226550,4,45,Bezo; Daniel,22,33,Linköpings Förnicklings Aktiebolag|Vilja Omsorg AB|Ampro Aktiebolag|Bezo i Norrköping Aktiebolag|Invict Runö Utveckling AB|Bezo Utveckling AB|Invict Entreprenad AB|Bezo Nämndemannen AB|Nordic Properties Portfolio 2 AB|Bezo Consulting AB|Bezo Group AB|Cityhuset i Bålsta AB|Invict BH Utveckling AB|Invict BH Utveckling 2 AB|Torghuset i Bålsta AB|Bezo Vistinge Utveckling AB|Budcon Invest AB|Daniel Bezo Konac Holding AB|Mecide & Nissan Holding AB|Invict Properties AB|Bostadsrättsföreningen Snytan 1|Invict Utveckling AB
Edeva AB,5567818769,3,52,Eskilsson; Björn David,1,0,Edeva AB
Svenska Avloppscenter Installation AB,5569963761,2,55,Forssell; Anders Johan,2,7,Svenska Avloppscenter Installation AB|qvarnberget entreprenad
Hornpall AB,5569127938,2,44,Vilén; Jan Erik,1,2,Hornpall AB
GStenberg AB,5569772360,2,59,Stenberg; Hans Gunnar,2,0,GStenberg AB|Pernilla Stenberg AB
Anders Karlsson Bygg AB,5568052046,2,57,Karlsson; Berndt Anders Micael,1,0,Anders Karlsson Bygg AB
Martin Samuelsson Bygg i Ydre AB,5568904162,2,45,Samuelsson; Annette Linnéa,1,2,Martin Samuelsson Bygg i Ydre AB
Eldkällan Kakelugnar & Kaminer i Linköping AB,5565824736,2,40,Didriksson; Hans Lennart,1,1,Eldkällan Kakelugnar & Kaminer i Linköping AB
Söderlunds Byggservice i Linköping AB,5591821250,2,61,Söderlund; Joacim,2,2,Skruvfundament Östergötland AB|Söderlunds Byggservice i Linköping AB
Kompasshus AB,5569010852,3,56,Gullstrand; Karin Signe Ingela,6,15,Kompasshus AB|Nakterhus Handelsbolag|Cirkulärt mode i Norrköping AB|Bostadsrättsföreningen Pelikanen 15|Mimo Utveckling|Bostadsrättsföreningen Beckasinen nr 1
Confab AB,5568240690,2,72,Jonsson; Jon Mikael,3,1,Confab AB|Confab|Mark & Entreprenad Norrköping
Byggservice Kjell Wikander i Ekängen AB,5590581160,2,59,Wikander; Kjell Henrik,2,5,Byggservice Kjell Wikander i Ekängen AB|Ren Bil Konsulten i Norrköping
Heurlin & Forsberg bygg AB,5566771548,4,54,Forsberg; Karl Björn Johan,1,0,Heurlin & Forsberg bygg AB
Vikbolandets Rörinstallationer AB,5567896245,3,59,Kling; Leif Conny Artur,1,0,Vikbolandets Rörinstallationer AB
ProjektEnergi Humlebo AB,5591481147,2,50,Hallkvist; Niklas Karl Olof,4,3,Garantgruppen AB|ProjektEnergi Humlebo AB|Gammalkils IF med firma Gammalkils IF|Garantgruppen Förvaltning AB
Götakronan AB,5592031727,2,37,Feldt; Karl Oskar,1,0,Götakronan AB
Götakronan AB,5592031727,2,37,Karlsson; Hanna Elisabeth,1,0,Götakronan AB
Projkon Infrastrukturprojekt AB,5591504963,2,56,Gistrand; Carl Wilhelm,2,3,Projkon Sverige AB|Projkon Infrastrukturprojekt AB
Bygg & Renovering i Vadstena AB,5567548127,2,65,Mattisson; Thomas,1,5,Bygg & Renovering i Vadstena AB
Brusebys Marktjänst AB,5590691357,3,34,Bruseby; Jesper Krister,3,2,Nick & Jespers entreprenad AB|Brusebys Marktjänst AB|Brusebys Marktjänst
Renovea AB,5568454242,2,43,Muhic; Haris,4,4,Renovea AB|Norrköping Ormen Fastighets AB|Zenex Hus AB
Peking Energi & VVS AB,5569651457,2,38,Albinson; Ernst Jonas,1,1,Peking Energi & VVS AB
Kranförargruppen Öst AB,5590414800,3,50,Wikström; Lars Christian,1,2,Kranförargruppen Öst AB
