company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
S Kristiansson Byggare AB,5569975856,2,59,Kristiansson; Sture Evert,2,2,S Kristiansson Byggare AB|S Christiansson Byggare
LIRI AB,5565779906,3,44,Ölander; Torgny Rickard,5,5,METER BIKES AB|LIRI AB|Ölanders Konst|CALLRÖ AB|Linrick AB
Uveredsbolaget Berget 3 AB,5568798325,3,57,Liebert; Ulf Gunnar,29,27,Rstudio for architecture AB|Arkitekturkompaniet SI Aktiebolag|Arkitekturkompaniet GBG Aktiebolag|Malmström Edström Arkitekter Ingenjörer Aktiebolag|Sjögren Arkitekter AB|Frilanshuset Frukt Ekonomisk förening|Gerbianska Trädgården AB|Injection Ekonomikonsult Aktiebolag|TREORE Konsult AB|L-O MALM Byggadministration AB|Uveredsbolaget Berget 3 AB|Bara Fördelar Aktiebolag|Katarina Gunnarsson Produktion AB|Kalib AB|Malico AB|Arkitektlaget A L Aktiebolag|Propulsion Invest AB|MARGINALEN INVEST HANDELSBOLAG|Execution Ekonomikonsult AB|William Lind Mediaproduktion AB|Badhuskompaniet AB|BLOMBERG ARKITEKTER AB|CM ArchHold AB|Fallpac Aktiebolag|Sjögren Holding i Göteborg Aktiebolag|Transatlantic Trading Aktiebolag|Lerkils fiber fas1 Ekonomisk förening|Aniro Holding AB|F & S Holding Aktiebolag
Rabbit Design AB,5566636600,2,62,Klerman; Nils Magnus,1,2,Rabbit Design AB
Lennart Rohman Byggkonsult AB,5567723563,3,73,Rohman; Åke Lennart,4,7,Lennart Rohman Byggkonsult AB|Bostadsrättsföreningen Kvibergs Boulevard|Bostadsrättsföreningen Kvibergs Allé|Bostadsrättsföreningen Kvibergs Berså
Bartley Design AB,5591581557,3,41,Edström Bartley; Johan Ebbe,2,2,Bartley Design AB|jephotography
Bartley Design AB,5591581557,3,41,Edström Bartley; Victoria J M,1,0,Bartley Design AB
Bartley Design AB,5591581557,3,41,Edström Bartley; Amanda V K,1,0,Bartley Design AB
AB Byggarbeten Göteborg,5564361102,2,77,Lindvall; Per Erik,2,1,Byggarbeten Per Lindvall|AB Byggarbeten Göteborg
Williams information AB,5565732830,2,57,Williams; Ann-Charlotte,2,2,FAN Handelsbolag|Williams information AB
M.D.C i Götene AB,5569959710,2,36,Mikszath; Jimmy Gabriel,2,1,Operamini AB|M.D.C i Götene AB
L & B Antik- & Opalescentglas Aktiebolag,5563779403,2,63,Dahlkvist; Stig Lars-Göran,4,1,L & B Antik- & Opalescentglas Aktiebolag|LDB Fastighets AB|BLJ Fastighets AB|Byggnadsföreningen Såningsmannen nr 6 u.p.a.
Arne Gausel AB,5569090771,2,72,Gausel; Arne Marinius,1,0,Arne Gausel AB
WB Allservice AB,5591259048,3,49,Westerberg; Michael Anders,6,2,WB Allservice AB|Skövde Lagerhotell AB|Fwe invest Aktiebolag|Skövde Blocks AB|Mi Westerberg Holding AB|Mariedal Invest AB
Sjöab Sjösand & Bryggarbeten Aktiebolag,5562333947,2,62,Berntson; Per-Otto Mikael,1,7,Sjöab Sjösand & Bryggarbeten Aktiebolag
Källängen Bygg AB,5590041371,2,61,Göthberg; Lennart Patrik,1,1,Källängen Bygg AB
Byggfram i Göteborg AB,5565376588,2,52,Östlund; Hans Olof,9,3,Byggfram Entreprenad AB|Byggfram Uthyrning AB|Byggfram Högsbo 16:17 AB|Byggfram Fastighets AB|Byggfram Group AB|Byggfram i Göteborg AB|Byggfram Service AB|Byggfram Konsult AB|Byggfram Surte Kommanditbolag
Sqon AB,5568369556,2,65,Kovacs; Stefan Attila,2,1,Driiven AB|Sqon AB
Midhem Projektutveckling AB,5591920078,8,53,Svantesson; Henrik Wilhelm,6,1,Abborren 4 i Halmstad AB|Lodet Fastighets AB|Midhem Projektutveckling AB|Fastabia Förvaltning AB|Fastabia FFS AB|Henkab AB
AYA GROUP AB,5568246663,2,45,Baalbaki; Ahmad,1,4,AYA GROUP AB
Västsvenska Rör AB,5568797277,2,46,Granqvist; Carl Love Christopher,2,1,ZaCapa AB|Västsvenska Rör AB
Solbackens el; bygg och fastighetsservice AB,5569942286,2,60,Ericson; Hans Kenneth,1,4,Solbackens el; bygg och fastighetsservice AB
Lyn El & Säkerhet AB,5590715214,5,49,Minge; Vidar,1,0,Lyn El & Säkerhet AB
Lysi Energy AB,5568373236,2,48,Wilhelmson; Hans Olof Folke,6,9,Kåremar Consulting AB|Lysi Energy AB|HAW-CONSULT HANDELSBOLAG|Hoga Fiber ekonomisk förening|Hitta Konsult nu Aktiebolag|HOW KONSULT
Hofgren Production AB,5569688095,2,48,Hofgren; Lars Rickard,1,1,Hofgren Production AB
Hofgren Production AB,5569688095,2,48,Hofgren; Ann Lizelotte,1,1,Hofgren Production AB
Improbus i Sandared AB,5566879028,2,55,Kruth; Sven Olof Torgny,1,4,Improbus i Sandared AB
Eskapader AB,5568938236,3,43,Gullvert; Michael Eric Vladimir,2,1,Grön Design & Anläggning|Eskapader AB
Eskapader AB,5568938236,3,43,Carlsson Nylén; Mikael Alexander,1,5,Eskapader AB
Börjes Betongpump AB,5565242301,2,70,Bäckström; Gustav Börje,2,1,Midas Betong AB|Börjes Betongpump AB
