company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Ödegårdens lantbruk och entreprenad AB,5591702690,2,55,Mellring; Lars Arne Magnus,2,1,Ödegårdens lantbruk och entreprenad AB|Ödegårdens entreprenad och familjehem
Västkustens Tak & Bygg AB,5569684011,2,46,Gustafsson; Kjell Håkan Thorbjörn,2,1,Västkustens Tak & Bygg AB|Västkustens Tak och Bygg
Västkustens Tak & Bygg AB,5569684011,2,46,Strömberg Gustafsson; Maria Anneli,1,0,Västkustens Tak & Bygg AB
SLS Montage i Göteborg AB,5568447576,3,53,Ljungkvist; Lennart Mikael,6,8,Akustikbyggarna Sverige AB|Interoc Akustik AB|Katako Aktiebolag|Ceiling Distribution Center Group Scandinavia AB|SLS Montage i Göteborg AB|CDC Lighting AB
Sunkini Sweden AB,5569147795,3,50,Jägerbrand; Leif,6,9,Atomize AB|Sunkini Sweden AB|Thorburn Uddevalla AB|Woiom AB|Atomize Intressenter AB|Jägerbrand Offshore Adventures AB
Grafico Support AB,5569257909,2,52,Wilhelmsson; Johan Lars Fredrik,2,3,Grafico Support AB|Lammet & Apan AB
Kilanda Betongbygg AB,5569981995,5,45,Johansson; Thomas David,5,0,Kilanda Betong AB|Kilanda Cementgjuteri Aktiebolag|Kilanda Betongbygg AB|Alegården Förvaltning AB|Alegården Holding AB
Byggrådet i Väst AB,5568748007,2,60,Bloom; Claes Peter Morgan,10,7,Byggrådet i Väst AB|Byggrådet Besiktning Sverige AB|Hubert Intyg AB|Byggrådet Förvaltning i Väst AB|Bergsbo 12 AB|Hubert Invest AB|MPJ Projekt AB|Byggrådet Invest AB|Projekt Ramnasjön AB|Bostadsrättsföreningen Bergsbo i väst
LSJ Konsult AB,5567390439,2,64,Sjögren; Lars Olof,4,2,LSJ Konsult AB|JSJ Holding AB|LSJ Holding AB|NSJ Holding AB
Markera Projektledning Göteborg AB,5590937479,2,50,Sjöholm; Kent Håkan,11,10,Markera Mark Göteborg AB|Markera Mark Stockholm AB|Markera Projektledning Nyköping AB|Markera Projektledning Göteborg AB|Markera Business AB|Markera Vatten Göteborg AB|Markera AB|Malin Arvidsson Yoga AB|Sea Island Invest AB|Markera Holding Göteborg AB|Bostadsrättsföreningen HK18 i Göteborg
Dahlqvist VVS AB,5568506140,2,59,Dahlqvist; Hans Eric Fredrik,1,4,Dahlqvist VVS AB
VOE Service Aktiebolag,5564855426,3,60,Hillefors; Lars Erik Krister,3,0,LOKAL KRAFT Sverige; Ekonomisk förening|Västra Orusts Energitjänst ekonomisk förening|VOE Service Aktiebolag
R Lundqvist Måleri AB,5569604456,2,46,Lundqvist; Per Ronny,1,3,R Lundqvist Måleri AB
Bricks and Lime Construction & Consulting AB,5590540315,4,43,Meixner; Martin Curt Alexander,2,4,Bricks and Lime Construction & Consulting AB|Meixner Invest & Consulting AB
Bricks and Lime Construction & Consulting AB,5590540315,4,43,Trygg; Lars Henrik,1,3,Bricks and Lime Construction & Consulting AB
Frontman AB,5569133928,2,44,Alsancak; Ayhan Ridvan,6,7,Frontman AB|Delvin Entreprenad AB|Frontman Bygg AB|ModMerc AB|Bostadsrättsföreningen Kvarteret Rönnen|OptimalOxygen Scandinavia AB
Nordprojekt Sverige AB,5590591441,3,39,Kärrholm; Peyman Gabriel,5,9,Nordprojekt Sverige AB|Nordprojekt invest AB|Granbom & Kärrholm Invest AB|Mad box mat & event AB|Surte hills AB
Fyren Projektpartner AB,5567282263,2,57,Jimmefors; Claes Birger,2,1,Jimmefors Holding AB|Fyren Projektpartner AB
Shift Design & Strategy AB,5590870019,3,51,Bergström; Per Fredrik,3,5,Shift Design & Strategy AB|Bostadsrättsföreningen Rödlöken|Illuminatus Design Management AB
Shift Design & Strategy AB,5590870019,3,51,Hampf; Carl-Jan Martin,3,1,Shift Design & Strategy AB|Shift Equity Holding AB|Hampf Industridesign Aktiebolag
Shift Design & Strategy AB,5590870019,3,51,Westerlund; Bruce Patrik,5,17,"Shift Design & Strategy AB|Shift Equity Holding AB|Stinct AB|HEA Fastigheter Holding AB|Bostadsrättsföreningen ""Byggnad 8; Nya Varvet"""
Sands Fiber & Markentreprenad AB,5591477079,2,29,Öhrling; Leif Anton,2,0,Sands Fiber & Markentreprenad AB|ÖHRLINGS ENTREPRENAD
Leeway AB,5567311203,4,43,Thörnkvist; Sven Ove Helge,3,7,TESIA AB|Leeway AB|Leeway Förvaltning AB
Hedenberg Bygg AB,5568382054,2,48,Hedenberg; Jonas Olof Yngve,1,1,Hedenberg Bygg AB
Sjövik Fiber & Entreprenad Aktiebolag,5591270144,1,38,Sandor; Erik Daniel,1,4,Sjövik Fiber & Entreprenad Aktiebolag
