company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Kolonn bygg AB,5568860059,2,43,Backurs; Janis,1,0,Kolonn bygg AB
ANDERSBORG Aktiebolag,5564670346,3,58,Löfgren; Erik Olof Anders,3,3,Tabellion AB|Loftux AB|ANDERSBORG Aktiebolag
Hazy Days Media AB,5565632139,2,67,Törneman; Carl Eric Mikael,2,3,SCRIPT46 AB|Hazy Days Media AB
Grundkontroll Sverige AB,5591634323,2,55,Gunnarsson; Lars Bertil Mikael,4,7,ARMENTA Mark & Betong AB|Cellplasthuset Sverige AB|Grundkontroll Sverige AB|Cellplasthuset-mg
Grundkontroll Sverige AB,5591634323,2,55,Dahlman; Marie Jeanette,3,4,Grundkontroll Sverige AB|ARMENTA Mark & Betong AB|Cellplasthuset Sverige AB
Husfixaren 1 AB,5567915151,2,61,Yousefi; Habib,1,19,Husfixaren 1 AB
Storstaden Bostad Mälaräng AB,5591323364,4,43,Jutner; Per Arne,23,89,Storstaden Bostad Nacka AB|STORSTADEN STOCKHOLM BOSTAD AB|Storstaden Bostad Älvsjö II AB|Abentor Innovation AB|Storstaden Stockholm Fastigheter AB|Storstaden Bromma Bostad AB|Storstaden Bostad Älvsjö III AB|Storstaden Property Group Holding AB|Storstaden Bostad Mälaräng AB|Storstaden Bostad Älvsjö AB|Segerporten Holding AB|Vikdalsvägen Fastighets II AB|Kavelbron Fastighets AB|Vikdalsvägen Fastighets AB|Segerporten Holding II AB|Visionen Elteknik Sverige AB|Hemmavid Sverige AB|Vikdalsporten Holding AB|Vikdalsvägen Garage AB|Eksätravägen Fastighets AB|Mälarhöjdsporten Holding AB|Storstaden Bostad Årsta AB|Bostadsrättsföreningen Stadsporten i Nacka
Avsan Advice AB,5591996672,2,63,Avsan; Anti Harald,10,7,TryggHem Projekt Holding AB|TryggHem Projekt 1 AB (publ)|Smallville AB (publ)|Avsan Advice AB|elivery AB|Secintech holding AB|2Reach Holding AB|2Reach AB|elivery holding AB|Security Invention Technologies Sweden AB
Sjögren Invest AB,5566312392,2,56,Sjögren; Mikael Henning,1,5,Sjögren Invest AB
Fagerholms MarkBygg Aktiebolag,5566373246,1,56,Örnstedt; Karl Johan,2,2,Bygglovshuset i Värmdö Handelsbolag|Fagerholms MarkBygg Aktiebolag
