company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Sköldpaddan Aktiebolag,5562788918,2,75,Reuterhäll; Robert Gustav Åke,2,4,Bostadsrättsföreningen Opalen nr 8|Sköldpaddan Aktiebolag
Domoore AB,5566958012,3,44,Sorsa; Klaus Henrik,1,5,Domoore AB
Sommarhed Inredning & Homestaging AB,5590090642,3,41,Forsberg; Per André,2,6,PeFo Energi AB|Sommarhed Inredning & Homestaging AB
Sommarhed Inredning & Homestaging AB,5590090642,3,41,Sommarhed Sjöstrand; Jonna Ther‚se,1,1,Sommarhed Inredning & Homestaging AB
Norrorts Bygg & VVS AB,5566715107,3,53,Wredh; Lars Stefhan,2,2,Norrorts Bygg & VVS AB|Byggnadsfirma S Wredh AB
af E Special Montage & Bygg AB,5591010292,2,51,af Ekenstam; Alf Viktor Magnus,1,0,af E Special Montage & Bygg AB
Martin Hansson Arkitektur AB,5569340754,2,67,Hansson; Per Curt Martin,1,1,Martin Hansson Arkitektur AB
MENCKEL Design AB,5567152060,2,47,Menckel; Erik Martin,7,7,Sleeping Partner Sweden AB|The Swedish Concept Factory AB|Happy Vitamin Aktiebolag|Gocce di Caffe Sweden AB|MENCKEL Design AB|The Menckels AB|Erik Menckel AB
Globbin AB,5590454699,2,48,Gustafsson; Noodle Mikael,2,2,Globbin AB|Futura Marketing AB
Antennia JR AB,5563171551,2,46,Steneros; Jens Roger Joachim,2,3,Antennia JR AB|Navpool AB
Stenbackens Trähus i Stockholm AB,5591302657,4,46,Aspgren; Bengt Göran,3,6,Coord AB|Stenbackens Trähus i Stockholm AB|Bostadsrättsföreningen Älgpasset i Norra          Djurgården
Stenbackens Trähus i Stockholm AB,5591302657,4,46,Lindqvist; Irina,4,5,Coord AB|IL form & design|Stenbackens Trähus i Stockholm AB|Bostadsrättsföreningen Älgpasset i Norra          Djurgården
Splintermind Aktiebolag,5565974804,2,57,Scherdin; Jan Mikael,1,3,Splintermind Aktiebolag
Hertzman på väg AB,5591273726,2,51,Hertzman; Lars Johan Magnus,2,2,Hertzman på väg AB|Hertzman.Johan AB
Christer Westrin Bygg Aktiebolag,5564285491,2,48,Westrin; Jan Krister Gunnar,1,4,Christer Westrin Bygg Aktiebolag
Awopa AB,5565152435,2,63,Andskär; Carl Joacim,2,5,Awopa AB|Stockholm Miljö och Avfallshantering AB
ProTemp Bygg AB,5568386394,2,63,Wikström; Lars Stefan,2,1,ProTemp Bygg AB|Stefan H. Wikström Bygg & Måleri
Färsna Exploatering AB,5567697213,3,62,Öst; Karl Mikael,9,1,Projektutveckling i Roslagen AB|Mikael Öst AB|Färsna Exploatering AB|Cordis i Roslagen AB|Solbacka Trädgård Exploatering AB|Norrtälje Exploatering AB|Mikael Öst Holding AB|Eastbound AB|Östhamra Exploatering AB
Quantonode Innovation AB,5591081434,4,52,Brenklert; Mats Ola,1,2,Quantonode Innovation AB
Marika Byggkonsult AB,5569709834,2,44,Jegréus Eklund; E Marika W,2,1,Marika Byggkonsult AB|Hannes Eklund Consulting AB
Åke.P.Eriksson Consulting AB,5569684466,4,62,Eriksson; Per Åke,2,1,Bostadsrättsföreningen Frösundet 1|Åke.P.Eriksson Consulting AB
Åke.P.Eriksson Consulting AB,5569684466,4,62,Eriksson; Inger Harriet,1,0,Åke.P.Eriksson Consulting AB
Solumcura AB,5567359186,2,50,Biro; Peter Anders,2,4,PetMon Handelsbolag|Solumcura AB
AMIK Studio AB,5591152052,2,31,Klingspor; Amelie Ulrika Margaretha,1,1,AMIK Studio AB
Nina Lindroth Design AB,5568314214,2,43,Lindroth; Eva Nina Marianne,1,3,Nina Lindroth Design AB
Widgren konsult AB,5569208365,2,58,Vidgren; Jens Mikael,2,4,femkon AB|Widgren konsult AB
DDX Stockholm AB,5565622486,2,55,Rooslien; Magnus Ivar Torsten,2,5,OTFL Bygg och Entreprenad AB|DDX Stockholm AB
Soleed Sweden AB,5567103873,3,57,Gustavsson; Per Arne,12,245,Integra Engineering AB|Projektengagemang Sweden AB|Mats & Arne Arkitektkontor Aktiebolag|Projektengagemang Industri & Energi Sverige AB|Sture Byberg Ingenjörsbyrå Aktiebolag|Fotbollsajten Scandinavia Aktiebolag|Pagator AB|Soleed Sweden AB|PE - KNSS AB|Soleed Production AB|Projektengagemang Holding i Stockholm AB|Projektengagemang Förvaltning i Stockholm AB
Equator Fastighetsutveckling AB,5590552674,4,53,Blomkvist; John Anders,14,7,Kronhaga Strand Utveckling AB|Equator Fastighetsutveckling AB|Indealsia AB|Kronhaga Strand Bygg AB|Niam Core Plus Investments Kommanditbolag|Bleck Asset Management AB|KSU Fastighet 1 AB|KSU 3 AB|KSU Fastighets 3 AB|Equator Fastighetsutveckling Holding AB|KSU 4 AB|KSU 2 AB|KSU Fastighet 2 AB|KSU 1 AB
KAJM AB,5565233870,5,64,Linnros; Johan Örjan,3,9,JLI arkitekt AB|Nitton 99 Service Aktiebolag|KAJM AB
Lars Sund i Stockholm AB,5561280396,2,78,Sund; Lars Birger,1,2,Lars Sund i Stockholm AB
Famkar AB,5591177083,2,37,Karlsson; Ulf Martin,3,1,Bostadsrättsföreningen FÄRGARLOFTET|Revolt Bygg AB|Famkar AB
Pinther VVS o Bygg AB,5590836838,2,44,Kovács; Attila,1,0,Pinther VVS o Bygg AB
Pinther VVS o Bygg AB,5590836838,2,44,Pintér; Csaba,5,0,Wevia Bygg Scandinavia AB|Pinther design o bygg|Pinther VVS o Bygg AB|Vitamin Matrix AB|Matbro AB
Ordningsexperterna Saltsjön AB,5590489000,4,44,Hyd‚n; Anna Elisabeth,2,1,Berrylake AB|Ordningsexperterna Saltsjön AB
Ordningsexperterna Saltsjön AB,5590489000,4,44,Ther‚n; Sara Johanna,2,8,Ordningsexperterna Saltsjön AB|TJ Ar Donnay Aktiebolag
Alviks Bygg i Bromma AB,5590570833,2,58,Olsson; Kjell Conny,7,10,Sportförlaget i Norden AB|Alviks Åkeri AB|Mediaförlaget i Bromma|Betman Casino AB|Alviks Bygg i Bromma AB|Svenska Sportgalleriet AB|Fenix Casino Aktiebolag
Feminae Ferro AB,5569999021,2,38,Persson; Emelie Marianne,6,13,Björn Persson Plåtslageri Aktiebolag|Flygheds Tak AB|Bostadsrättsföreningen Lustigkullan|Björn Persson Plåtkonsult AB|Feminae Ferro AB|Björn Persson Förvaltnings AB
TK Styr AB,5569874026,2,44,Karlsson; Tommi Ville,2,0,TK Styr AB|TK Styr och Vent
Belltech Holding AB,5569792699,3,42,Belltorp; Jari Kalevi,2,5,Roadinfo Nordic AB|Belltech Holding AB
Jonsson & Jonsson Arkitekter AB,5565447710,2,67,Jonsson; Ieva,2,0,Dolton AB|Jonsson & Jonsson Arkitekter AB
AG PROFFS BYGG AB,5590056924,2,39,Bolek; Lukasz,1,0,AG PROFFS BYGG AB
Södra Stockholms Företagskonsult AB,5567475461,2,62,Hägerman; Kjell,6,20,Södra Stockholms Konsult AB|Communication Provider in Stockholm AB|Södra Stockholms Företagskonsult AB|Frontlobe AB|tomobil stockholm AB|Bostadsrättsföreningen Smedstabäcken
Jills mat & design AB,5569304412,2,53,Wallentin; Jill Ter‚se,1,4,Jills mat & design AB
Nordic Sabers AB,5592040611,3,52,Plane; Oscar Mathias,1,0,Nordic Sabers AB
Zerxes Company AB,5590550728,4,39,Schaake; Saba,1,1,Zerxes Company AB
3x Bygg & Konstruktion Aktiebolag,5566348396,2,62,Karlsson; Hans Pether,1,6,3x Bygg & Konstruktion Aktiebolag
Malaga Fastigheter AB,5591229215,3,51,Bexelius; Jan Mikael,1,3,Malaga Fastigheter AB
Malaga Fastigheter AB,5591229215,3,51,Fahlgren; Patrik Erik,7,16,JESS Media AB|Två Apors Affärer AB|Patoc Trading AB|Inside International Sportspartner AB|Malaga Fastigheter AB|P. Fahlgren AB|Albrechtson Fahlgren Fastigheter AB
Byggresult AB,5568440340,2,62,Johnson; Per Mikael,1,9,Byggresult AB
MC Landscaping AB,5568837016,2,50,Cristiansson; Lars Karl Marcus,1,5,MC Landscaping AB
Lilli of Sthlm AB,5568798424,2,53,Nunes Da Silva; Lillemor Laura,1,6,Lilli of Sthlm AB
Nerlund arkitektur och media AB,5568942105,2,41,Nerlund; Magnus Henrik Erkki,2,6,Samtiden journalistik|Nerlund arkitektur och media AB
Rosenborgs Entreprenad Aktiebolag,5564152196,2,66,Rosenborg; Manfred Tommy,2,0,Rosenborgs Entreprenad Aktiebolag|ROSENBORGS ENTREPRENAD
Erro Studio AB,5569206500,3,50,Mohn; Anders Michael,2,8,MR MOHN|Erro Studio AB
TeleDataFiber Installation Vara AB,5566102421,3,55,Armandt; Sven Fredrik,12,10,Exalt AB (publ)|Exalt Network AB|Armandt Resource AB|Poweroptic Network Sweden AB|BEFA Fastigheter AB|TeleDataFiber Installation Vara AB|SENTEQ AB|Acroasis I AB|APPsolut Säkerhet i Sverige AB|XSNAP Invest AB|Björkviks Gård AB
Kaitech Trade AB,5564954609,3,56,Kaijser; Mats Göran,1,4,Kaitech Trade AB
I & D Design AB,5566154646,3,55,Granholm Ström; Anna-Karin Pernilla,1,1,I & D Design AB
c/o jannika AB,5568897630,3,50,Hernelius; Jannika Mariana,2,3,C/O JANNIKA|c/o jannika AB
Trångsunds Byggnads Aktiebolag,5565050761,2,51,Edlund; Roberth Einar,2,0,Targo Byggnads AB|Trångsunds Byggnads Aktiebolag
Solhems Måleri Aktiebolag,5563849594,2,52,Eriksson; Karl Göran,1,1,Solhems Måleri Aktiebolag
BrainHeart Energy AB,5568868524,3,66,Jonströmer; Cynthia Rachel Marianne,12,23,BrainHeart Capital Aktiebolag|MegaWatt Solutions Nordic AB|Gripsholmsviken Fastigheter Mariefred AB|BrainHeart Energy AB|BrainHeart Invest AB|WirelessMedia Sweden 02 AB|BrainHeart Cyber Physical Technology AB|Gripsholms Hagar Projektering AB|Gripsholms Hagar AB|Energy Innovation Lab Nordic AB|IP Nabobis AB|BRC Invest AB
The Boy's Own AB,5591714687,2,62,Storgård; Agneta Christina Birgitta,2,6,The Boy's Own AB|Mastberget AB
The Boy's Own AB,5591714687,2,62,Bruce; Eva Sofia,1,1,The Boy's Own AB
Repsos AB,5566865829,2,51,Henningsson; Stig Anders Ivar,1,3,Repsos AB
2tec AB,5568976962,2,49,Bäckelin; Anna Tereza Matilda,1,2,2tec AB
Gerwik Invest AB,5568469497,2,49,Wiklund; Rolf Erik,2,8,Gerwik Group Kommanditbolag|Gerwik Invest AB
Mod & VI AB,5590042825,3,54,Odemark; Åsa Magdalena,2,0,Bostadsrättsföreningen Laduviken|Mod & VI AB
Olle Gullberg AB,5566237789,3,49,Gullberg; Olov Sigfrid,2,6,Bostadsrättsföreningen Saltsjöns Hamnkontor|Olle Gullberg AB
Berg & Berg Arkitekter Aktiebolag,5564497922,2,76,Berg; Svante Hjalmar,2,9,VILLA SAINTE ANNE Handelsbolag|Berg & Berg Arkitekter Aktiebolag
Widemeadow AB,5569658932,2,52,Isaksen; Thomas Peter Jarl,1,0,Widemeadow AB
Aldelco Aktiebolag,5563182319,2,59,Ald‚n; Lars Emanuel,2,3,Aldelco Aktiebolag|KOMMANDITBOLAGET ALDÉN & CO
Ödeen & Co Aktiebolag,5566588645,3,64,Ödeen; Per,3,0,Ödeen & Co Aktiebolag|ÖDEENS INGENJÖRSBYRÅ HANDELSBOLAG|TRITON Dyk Handelsbolag
AJ.F Properties AB,5569828436,2,39,Jelveh; Arvin,19,27,Bruksgatan Nykvarn Försäljning AB|Boform Nyproduktion AB|Boform Fastighetsutveckling AB|Schlyter 3 Förvaltning AB|AJ.F Properties AB|Eskilsvägen Holding AB|Bostadsrättsföreningen Staven 9|Bostadsrättsföreningen Pappersbruket i Nykvarn|Boform Nyproduktion 3 AB|Boform Nyproduktion 2 AB|Schlyter 3 Holding AB|Boform Nyproduktion Holding AB|Staven 5 Holding AB|Lilla Ulricehamnsvägen Holding AB|Lilla Ulricehamnsvägen Förvaltning AB|Eskilsvägen Förvaltning AB|Bostadsrättsföreningen Sigfrids Backe|Bruksgatan Nykvarn JV AB|Bruksgatan Nykvarn Holding AB
Svensk Konstruktionstätning AB,5591148282,2,52,Sjöstedt; Daniel,5,6,Rosén & Sjöstedt Byggnads AB|Liquid Rubber Sweden AB|tibni AB|Svensk Konstruktionstätning AB|Kratti Holdings AB
Oskar Lundgren AB,5591654099,2,50,Lundgren; Oskar Henrik,1,0,Oskar Lundgren AB
Dynamiska Bostäder i Stockholm AB,5590158209,3,33,Kocsis; Fredrik Viktor Arne,5,5,FM Stork Housing AB|Brisk Properties AB|Dynamiska Bostäder i Stockholm AB|SSI Holding AB|Sanna Invest i Karlstad AB
Å & R Roos Konsulter Aktiebolag,5563165629,2,56,Roos; Karl Robert,2,11,Å & R Roos Konsulter Aktiebolag|Aktiebolaget Salktennis
Smart Development Sweden AB,5567504377,3,72,Villman; Gunter,4,16,EBA-Emmaboda Bostadsaktiebolag|Villman Communication AB|Smart Innovation Sweden AB|Smart Development Sweden AB
Norrtälje Tak & Golv AB,5569679409,3,39,Björkstrander; Olavi Mattias,2,2,Norrtälje Tak & Golv AB|Norrtälje Tak & Golv
mum projektutveckling AB,5566511449,3,64,Sidh; Urban Karl,10,28,MA Living & Partners AB|mum projektutveckling AB|Bostadsrättsföreningen Neptunus 11|Bostadsrättsföreningen Valsjöterrassen|MA Living 2015 ekonomisk förening|Inra Hamnskär ekonomisk förening|Käringboskär AB|Runökobbarna Fastighets AB|Bostadsrättsföreningen Valskogshöjden|Gräskobben Fastighets AB
3k3r Invest AB,5590396387,2,57,Höckert; Karin Jessica,2,0,3K3R AB|3k3r Invest AB
J. Simmons Home AB,5568656739,3,43,Simmons; Mark Ulrich,9,7,Camfil Power Systems AB|Camfil Aktiebolag|Strandstenen i Trosa AB|J. Simmons Home AB|Camfil Innovation AB|Jungfrutomten Värdeinvest Aktiebolag|Camfil Holding Aktiebolag|SJM Invest AB|Comlog Aktiebolag
J. Simmons Home AB,5568656739,3,43,Simmons; Johanna Ingegerd,4,4,Jungfrutomten Aktiebolag|J. Simmons Home AB|Jungfrutomten Värdeinvest Aktiebolag|SJM Invest AB
victor projektledning AB,5566618814,2,61,Karlsson; Lennart Viktor,1,4,victor projektledning AB
Minh AB,5566183504,4,64,Alneng; Vo Minh Du,2,1,Minh Mat AB|Minh AB
NUWI AB,5569398521,2,55,Landberg; Mats Erik,2,5,NUWI AB|Off Coast Sweden AB
Nirmark Rör & Bygg AB,5567870893,3,55,Nirmark; Lars Robert Nils,3,2,NB Sverige AB|Nirmark VVS Planering AB|Nirmark Rör & Bygg AB
Wallfiller AB,5590526827,2,45,Wikman; Hans Mattias,8,12,Yomento Management AB|Opco One AB|Faculta AB|Wision 360 AB|Wallfiller AB|ModCom AB|VTI II Video Technology Investments AB|IPA Investments AB
E-Service RÖR AB,5567809834,2,48,Holm; Lars Henrik,4,5,Partum AB|Nära Stockholm Bygg AB|Garantföreningen Hellas' friluftshem u.p.a.|E-Service RÖR AB
Fireworks AB,5566848742,2,54,Jensen; Jan Thore,13,17,REAHU AB|Killnoise AB|Killnoise Event AB|RESPIRA Aktiebolag|Cartello AB|Gitra AB|Disclose AB|Delta Club AB|JENSEN EXTENSION HANDELSBOLAG|Fireworks AB|Thousand Island AB|FOODCOURT INTERNATIONAL AB|Bostadsrättsföreningen Glädjen i Saltsjöbaden
Eniva Solutions AB,5568354608,2,47,Seger; Robin,6,25,Bonti AB|Krabat & Co AB|Segerkistan AB|Eniva Solutions AB|Hedge Invest 8396 AB|Grenier Holding AB
Elbävern AB,5592073570,3,46,Mattila; Henri Rikhard,1,2,Elbävern AB
Elbävern AB,5592073570,3,46,Mattila; Jimi Mikael,1,2,Elbävern AB
HyFa AB,5568363336,2,73,Omberg; Lars Svante,6,1,HyFa AB|HSB:s Bostadsrättsförening Klintonia i Södertälje|HSB Bostadsrättsförening Eken 4 i Södertälje|HSB Bostadsrättsförening Bofinken i Södertälje|HSB Bostadsrättsförening Bromsen i Södertälje|HSB Bostadsrättsförening Polstjärnan i            Södertälje
Fundament Studio AB,5591532477,3,37,Franch Jimenez; Jesus,1,0,Fundament Studio AB
Fundament Studio AB,5591532477,3,37,Szczesny; Kamil Kazimierz,1,1,Fundament Studio AB
Ternstens AB,5591686133,8,46,Karlsson Kraft; Sammy Thomas,1,0,Ternstens AB
Ternstens AB,5591686133,8,46,Rezvan Behbahany; Sorena,1,0,Ternstens AB
Ternstens AB,5591686133,8,46,Pedersen; Kristian,1,0,Ternstens AB
Ternstens AB,5591686133,8,46,Pedersen; Mattias,1,1,Ternstens AB
Huddinge Interiör & Exteriör Måleri AB,5591633879,2,45,Bremås; Roger Daniel,1,0,Huddinge Interiör & Exteriör Måleri AB
Jordens in Los Angeles AB,5590757539,3,52,Andersson; Lars Johnny,4,5,Jordens Arkitekter i Stockholm AB|Osprey Sweden AB|Kreark Arkitekter AB|Jordens in Los Angeles AB
Ekeröhus AB,5590783774,4,46,Jansson; Tore Peter,4,4,Ekeröhus AB|Jansson Capital AB|Bostadsrättsföreningen Historieboken|Ekerö Capital Investment AB
Ekeröhus AB,5590783774,4,46,Johansson; Johannes Ove,4,3,Ekeröhus AB|Ekerö Byggteknik AB|Sapientes Investment AB|Ekerö Capital Investment AB
Arctos Aktiebolag,5562207638,2,66,Wallén; Lars Gösta,6,9,Rexton Handelsbolag|Arctos Aktiebolag|Rexton Design AB|Hospico Aktiebolag|Rexton Services handelsbolag
Lotén arkitekter AB,5566514864,2,72,Lotén; Pelle Per-Erik,1,2,Lotén arkitekter AB
Sthlm Creative Yield AB,5569690745,3,63,Ahlberg; Ernst Åke,2,3,Sthlm Creative Yield AB|Bostadsrättsföreningen Skogås nr 1
Sthlm Creative Yield AB,5569690745,3,63,Kilander; Ernst Marcus Daniel,1,5,Sthlm Creative Yield AB
