company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Strandberg & Maker AB,5569877938,2,48,Maker; Adam Lloyd,8,3,NXTLEV AB|Strandberg & Maker AB|NXTLEV 001 AB|NXTLEV Invest AB|Qaizen Sverige AB|NXTLEV Rail AB|NXTLEV Holding AB
Lyåsen Drilling Technology AB,5591152342,2,53,Markovic; Drasko,5,4,Axolot Games AB|Lyåsen Drilling Technology AB|Mickelsbergs Data AB|Tall Poppies Holding AB|Markovic Data AB
Lyåsen Drilling Technology AB,5591152342,2,53,Lyåsen; John Tomas,2,1,Lyåsen Drilling Technology AB|Lyåsen Telecom AB
KARLA arkitekter AB,5569828618,3,53,Gärdenäs; Karin Barbro Ingeborg,2,1,Benri Projektledning AB|KARLA arkitekter AB
White Tengbom Team Aktiebolag,5568197296,5,54,Ruben Nyström; Charlotte Margareta,1,0,White Tengbom Team Aktiebolag
VA Support i Stockholm AB,5591980296,2,48,Eriksson; Viktor Emil Arne,2,1,VA Support i Stockholm AB|Såglandslaget Entreprenad AB
Oviada Bygg AB,5591758395,2,36,Vestertas; Zydrunas,1,0,Oviada Bygg AB
PR Plåtslageri AB,5591453328,2,53,Ramström; Peter Mikael,2,0,PR Plåtslageri AB|PR Plåtslageri & Smide
Joinab AB,5591609556,2,52,Johansson; Patrick Micael,1,4,Joinab AB
RL Hammare och spade AB,5590590732,3,48,Lindgren; Sven-Åke Roland,2,0,RL Hammare och spade AB|RL Hammare och spade
House of Wizards AB,5569328700,3,47,Josefsson; Leo Jörgen,4,7,House of Wizards AB|Publish or Perish|Publish or Perish AB|Bostadsrättsföreningen Biografen
House of Wizards AB,5569328700,3,47,Westerberg; Carl Fredric,3,1,Bostadsrättsföreningen Arbetsmyran|Rottninge Sport & Konferens AB|House of Wizards AB
Polyteknik Stockholm AB,5591271522,3,49,Moeini Mostofi; Bahram,2,0,Polyteknik Stockholm AB|Nordic Polyteknik
Förvaltnings AB Vretensborg,5563065860,5,68,Sandholm; Sture Georg,10,24,Energivärden Holding AB|Carl Hanssons Rör & Värme Aktiebolag|Industriaktiebolaget Ventilator|Carls Elektriska AB|Styrvärden Q AB|Laborator Q AB|Förvaltnings AB Nyodlaren|Förvaltnings AB Vretensborg|Entropia VVS AB|Förvaltnings AB Iksok
KNP-Konsult AB,5566984901,2,67,Söderqvist; Knut Niklas Patrick,3,3,PGS Holding AB|KNP-Konsult AB|NI-HÅ Konsult Handelsbolag
NR Konsult & Utveckling AB,5569850349,2,48,Rydell; Leif Niclas,3,1,Therese Hud & Massage AB|NR Konsult & Utveckling AB|NR Konsult&Utveckling
Spisman i Stockholm AB,5590914130,2,49,Bergman; Bo David Pontus,2,1,Spisman i Stockholm AB|Spisman
Flotthamn Entreprenad AB,5591786958,2,56,Odljung; Per Thomas Mikael,4,1,Flotthamn Entreprenad AB|Odljungs Bygg AB|Odljung Grönytor AB
Angelryd Byggkonsult AB,5568863996,2,51,Angelryd; Torbjörn Verner,1,1,Angelryd Byggkonsult AB
S Home Improvement AB,5591676142,2,52,Wassberger; Joakim Fredrik Andersson,2,2,Sniper Trading AB|S Home Improvement AB
Titania Golv AB,5567992051,3,42,Janson; Mats Einar,23,61,Einar Janson Invest AB|Titania Holding AB|Titania AB|Etableringsexperten Sverige AB|Wasa Ventilation AB|Titania El-Service AB|Titania Tingstorget AB|Bjurviken Fastigheter AB|Titania Golv AB|Bostadsrättsföreningen Nybrogatan 63|Täby Fält AB|Einar Jansons Förlag AB|Titania Hackstaberg Fastighets AB|Tingseken Ekonomisk förening|Lärpojken 3 AB|Titania Fastighetsholding AB|Titania Fält AB|Halunde Gård AB|Titania Edsbergsterrassen AB|Edsbergsterrassen AB|Titania Hallunda Gård AB|Titania Entreprenad Holding AB|Titania Projektutveckling AB
Fastighetstjänst & Byggström i Stockholm AB,5569297533,2,48,Setterholm; Ulf Henrik,2,0,HM Setterholm Holding AB|Fastighetstjänst & Byggström i Stockholm AB
Fastighetstjänst & Byggström i Stockholm AB,5569297533,2,48,Bjälkengren; Robert,5,4,Bygg och inredningsgruppen i Stockholm AB|AMB Produktion AB|Fastighetstjänst & Byggström i Stockholm AB|Vivit AB|Bjälkengren Holding AB
Saarijärvi Infra AB,5591617153,4,44,Hyvärinen; Mikko Olavi,1,0,Saarijärvi Infra AB
Byggprojektbolaget i Älvsjö AB,5590890447,2,52,Lindqvist; Clas Stefan,1,0,Byggprojektbolaget i Älvsjö AB
VVS Aktören i Stockholm AB,5568989353,2,47,Eriksson; Malin Susanna,2,1,VVS Aktören i Stockholm AB|Aktiva Jouraktören Holding i Stockholm AB
Zetterman Garden Design AB,5568147259,2,59,Zetterman; Annika Viktoria Adéle,1,5,Zetterman Garden Design AB
Skå Elektriska Aktiebolag,5562100858,2,70,Johansson; Sven Gerry,1,0,Skå Elektriska Aktiebolag
Lunde & Lunde Aktiebolag,5564105046,2,63,Lunde; Per Tomas,2,0,CNL Media AB|Lunde & Lunde Aktiebolag
Per; Uno Karlsson rörservice AB,5565980199,2,57,Karlsson; Per Uno,1,4,Per; Uno Karlsson rörservice AB
Kjellgrens projektledning AB,5591618912,2,46,Kjellgren; Peter Tommy Mattias,2,2,Kjellgrens projektledning AB|Byggarbetsmiljökonsult T. Norén AB
Kjellgrens projektledning AB,5591618912,2,46,Norén; Maj Therese,2,1,Kjellgrens projektledning AB|Byggarbetsmiljökonsult T. Norén AB
Sixten Kjellqvist & Co Byggnads AB,5567364319,2,61,Wide; Michael Bo,3,2,Blå Stenen Stockholm AB|Vera & Sixten Byggproduktion AB|Sixten Kjellqvist & Co Byggnads AB
ECO Stockholm Arkitekter AB,5569431900,1,50,Roos; Emil Karl Johan,2,6,ECO Stockholm Arkitekter AB|Broder K AB
Runius Design AB,5568436967,1,37,Runius Malek; Christian Fredrik,1,6,Runius Design AB
Norrsidans installation och teknik AB,5591963755,3,44,Lönnborg; Marcus Fredrik,3,1,ClearRock AB|Norrsidans installation och teknik AB|Lönnborgs alltjänst
Norrsidans installation och teknik AB,5591963755,3,44,Gustavsson; Carl Bruno,2,0,Norrsidans installation och teknik AB|Roslagens Värme och Fastighetsteknik AB
Julias plattsättning och bygg AB,5569802266,2,54,Schaffer Flemk; Julia Ingrid Ö J,1,1,Julias plattsättning och bygg AB
Beroma Persienn & Markis AB,5568351935,2,54,Bergström; Matz Roland,1,5,Beroma Persienn & Markis AB
AB AR Brandsäkerhet,5567599427,2,58,Reinholdsson; Anders Erik,3,1,So kind Wellness AB|AB AR Brandsäkerhet|ALCTEL
Axtorna Consulting AB,5591733968,3,53,Carlsson; Andreas Christofer,4,1,Axtorna Consulting AB|Axtorna Förvaltning AB|Lykillinn Consulting AB|Raison AB
Axeloth Arkitekter AB,5569732497,3,53,Lönnroth; Andreas Magnus,3,4,Axeloth Arkitekter AB|Aktiebolaget Bjurholmsgatan|HSB Bostadsrättsförening Täppan i Stockholm
Axeloth Arkitekter AB,5569732497,3,53,Axelsson; Maria Hanna,1,2,Axeloth Arkitekter AB
