company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Hallands Eltjänst AB,5568417330,2,52,Elken; Stefan Toivo,1,3,Hallands Eltjänst AB
Kungsbacka Trädgårdsdesign AB,5569380396,2,47,Wiebe Fasth; Anna Katarina,1,5,Kungsbacka Trädgårdsdesign AB
Kungsbacka Trädgårdsdesign AB,5569380396,2,47,Fransson; Erika Hanna Karin,3,0,Living Inside Out AB|Föräldrakooperativet Olympia Ekonomisk förening|Kungsbacka Trädgårdsdesign AB
RICHARD JOHNSSON BYGGSERVICE AB,5591314819,1,26,Johnsson; Richard Kenneth,2,1,Electrix AB|RICHARD JOHNSSON BYGGSERVICE AB
Olivus AB,5569538720,2,40,Sandberg; Mats Fredrik,1,2,Olivus AB
Rantus AB,5568826902,3,50,Vihöj; Niels Johan,3,1,Raido Holding AB|Rantus AB|Vihöj Bygg
Byggvision i Halmstad AB,5567772388,2,48,Karppinen; Knut Peter Oskar,3,4,Flygmaskinen 10 Fastigheter i Halmstad AB|Torsson & Karppinen Förvaltning AB|Byggvision i Halmstad AB
DesignLyftet AB,5591081491,4,46,Aiff; Josefine Liselotte,1,1,DesignLyftet AB
Totalbygg i Vallda AB,5566654470,2,55,Sand; Bernt Tommy,2,3,Totalbygg i Vallda AB|Totalbygg Vallda Handelsbolag
BCG Borban Consulting Group AB,5568615321,2,66,Borglund; Nils Jonas Alexander,1,0,BCG Borban Consulting Group AB
Ljungberg Montage AB,5568636699,2,49,Ljungberg; Curt Håkan Tomas,2,2,Ljungberg Montage AB|Ljungberg Montage & Service
Villamiljö i Halmstad AB,5567710768,2,46,Andersson; Anders Staffan,1,2,Villamiljö i Halmstad AB
Candera AB,5590960026,2,33,Ekstrand; Karl Andreas,2,8,Candera AB|pd3 studio AB
KRS Renshogen AB,5561311076,3,65,Samuelsson; Kai Ricky,2,3,KRS Renshogen AB|KRS Bil. Båt & Fritid
KRS Renshogen AB,5561311076,3,65,Mälarberg; Linda Monica Catherine,2,2,KRS Renshogen AB|LM assistans
GJM Bygg AB,5591086235,2,38,Thorsson; Guy Jesper Mikael,2,0,GJM Bygg AB|Jesper Thorsson Bygg & Entreprenad
D Larsson Bygg AB,5591560932,2,46,Larsson; Linda Veronika,1,0,D Larsson Bygg AB
D Larsson Bygg AB,5591560932,2,46,Larsson; Daniel Erik Fredrik,2,3,Black Cliffs ekonomiska förening|D Larsson Bygg AB
SMLXL Den lille Arkitekten AB,5568361355,2,51,Laursen; Sten Håkan,1,2,SMLXL Den lille Arkitekten AB
Peder & Jockes Måleriservice AB,5569957599,3,49,Börjesson; Stig Olof Peder,1,3,Peder & Jockes Måleriservice AB
