company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Vibratec Installation AB,5591074157,2,62,Hägerstrand; Svante Jonas,5,3,Vibratec Akustikprodukter AB|Blidö Industrihus BIHAB AB|Vibratec Installation AB|Extensio AB|Vibratec Group AB
Sandström ByggKonsult AB,5567661102,2,63,Sandström; Sten Mikael,1,1,Sandström ByggKonsult AB
Sweetside Productions AB,5590940580,3,54,Nordin; Karl Ove,3,2,Rove Nord AB|Aktiebolag UMEDALENS IF|Sweetside Productions AB
Sweetside Productions AB,5590940580,3,54,Nordin; Karl Lars Fredrik,1,2,Sweetside Productions AB
BDG Sweden AB,5591701593,2,39,Larsson; Maria Elisabet,2,1,BDG Sweden AB|Bostadsrättsföreningen Strålgatan
AES Anläggning i Rönninge AB,5568596968,2,51,Suorajärvi; Asko Einari,1,2,AES Anläggning i Rönninge AB
Bygg & Fastighetsservice i Stockholm AB,5566911037,2,46,Thegerström; Ulf Pontus,3,4,Stromvic Invest AB|Coment AB|Bygg & Fastighetsservice i Stockholm AB
HULDAB AB,5590151816,3,33,Östlund; Nils Oskar Andreas,5,15,Isoleringslandslaget AB|Motus Envi AB|Östfast AB|HULDAB AB|Lovelly AB
Talang 4 Bygg AB,5569990582,2,37,Adekov; Bakhtiyar,1,0,Talang 4 Bygg AB
Ångström Arkitekter AB,5569699464,2,70,Ångström; Malin Dagmar Eva,2,3,Ångström Arkitekter AB|Ångström Arkitekter
AÖ Bygg AB,5565904215,2,56,Örnberg; Nils Anders Enar,2,1,Högtryck Rockshow - Roll on Handelsbolag|AÖ Bygg AB
JoHe Projektledning AB,5569065351,2,68,Hellberg; Jörgen Ejnar,1,0,JoHe Projektledning AB
JONA Bygg & Fastighet AB,5569071805,2,43,Enbert; Pierre Jonathan,4,1,JONA Bygg & Fastighet AB|Senapskornet Förvaltning AB|Split Window AB|Vetekornet i Borås AB
be Safe and Take Care AB,5565351623,2,58,Hyvönen; Jan Erik,3,8,Banbury Properties AB|be Safe and Take Care AB|Pay Sweden AB
Huskur i Stockholm AB,5566680483,2,57,Myrsten; Lars Fredrik,1,0,Huskur i Stockholm AB
VIKING GROUP BYGG - VVS - EL AB,5568927569,3,44,Gür; Alexander,3,8,VIKING GROUP SOLUTIONS AB|VIKING GROUP BYGG - VVS - EL AB|VIKING GROUP STHLM Handelsbolaget
Västorts elservice AB,5566180286,2,61,Dahlin; Per Jonny,1,2,Västorts elservice AB
Kalani AB,5590313366,5,40,Sandgärde; Sara Linn‚a,4,4,Kalani AB|Jens Sjödin Management AB|Sandgarde AB|Jens Sjödin Förvaltning AB
polygrip AB,5568888878,2,46,Sjövall; Lars Ingvar Michael,6,12,Toofab AB|SBR Byggingenjörerna AB|Bostadsrättsföreningen Infanteristen 20|polygrip AB|Toofab Properties AB|Toofab Holding AB
Björn Enberg Entreprenad AB,5590281985,2,42,Enberg; Björn Anders,2,1,Björn Enberg Entreprenad AB|Björn Enberg Entreprenad
Stringblom specialdesign AB,5590971932,1,29,Stringblom; Hans Wisam,6,2,Stringblom Consulting AB|Takspecialisten i Mälardalen AB|Stringblom specialdesign AB|TuningTech Stockholm AB|Villa Relining i STHLM AB|GANLOM FÖRVALTNING AB
Active El Styr & Regler AB,5592067085,3,43,Ellenberg; Ulf Krister,7,11,Active VVS AB|Active Riv & Bygg i Stockholm AB|Active El Styr & Regler AB|KEMSI Consulting & Holding AB|Active Trading & Marketing I Stockholm AB|Active & Kemsi Holding AB|Active Design I Stockholm AB
Active El Styr & Regler AB,5592067085,3,43,Ahmad; Jagerkhin Majid,6,3,Active VVS AB|Active Riv & Bygg i Stockholm AB|Active El Styr & Regler AB|Active & Kemsi Holding AB|Active Trading & Marketing I Stockholm AB|Active Design I Stockholm AB
HESKO AB,5590135801,3,50,Dragan; Filip Robert,1,1,HESKO AB
Mårten Claesson Design AB,5567963268,2,49,Claesson; Jens Mårten,4,2,Claesson Koivisto Rune Arkitektkontor Aktiebolag|Mårten Claesson Design AB|Smaller Objects AB|CLAKORU Holding AB
Andrea G Design AB,5568404403,3,61,Gruvmalm; Elsa Anna Andrea,2,3,De två logopederna AB|Andrea G Design AB
Bygg och funktion Nacka AB,5566406608,2,64,Lindgren; Kim Christer Michael,5,5,kWh Energi i Nacka AB|SPARK Specialdetektorer Aktiebolag|Bygg och funktion Nacka AB|EffiSol AB|Energy and Environment Solutions Sweden AB
TF Project & Concept AB,5569373813,2,62,Fernandez Fredriksson; Antony Tage J,2,3,TF Project & Concept AB|CREATIVE VISION TF
Zazi Design AB,5567816540,2,59,Fridh; Zara Carolina,3,5,Zazi Design AB|Be sharp AB|Bostadsrättsföreningen Essingeutsikten 23
SVELARS Konsult AB,5590636303,2,69,Svensson; Lars Bertil Johan,1,1,SVELARS Konsult AB
SVELARS Konsult AB,5590636303,2,69,Svensson; Susanne Elisabeth,2,1,Bostadsrättsföreningen Hälsokällan 10|SVELARS Konsult AB
Esparto AB,5591653885,2,60,Egidéus; Hanna Fredrika,1,0,Esparto AB
Lindrum Consult AB,5565094959,2,70,Ziegler; Torbjörn Henry,1,1,Lindrum Consult AB
Lindrum Consult AB,5565094959,2,70,Lundin Ziegler; Anne Margareta R,1,0,Lindrum Consult AB
Fönstermontage i Norden AB,5591486567,2,29,Engström; Per Johan,1,0,Fönstermontage i Norden AB
Fönstermontage i Norden AB,5591486567,2,29,Hofsten; Lars Stefan Niklas,2,1,Fönstermontage i Norden AB|Mälardalens Markis & Persiennservice AB
Wessman Fastighetsutveckling AB,5567226757,3,56,Wessman; Per Oscar,2,13,JohJan Invest AB|Wessman Fastighetsutveckling AB
Järna Mark och Transport AB,5568600125,3,41,Lindberg Jättner; Per Gustav Olof,3,5,M3 Maskinuthyrning AB|m3 schakt AB|Järna Mark och Transport AB
Lundén Design & Teknik AB,5590803572,2,50,Lundén; Nils Åke,1,2,Lundén Design & Teknik AB
M2 Professional Training AB,5564967619,3,46,Elgstam; Magnus Christer,2,4,M2 Professional Training AB|MABO Plåtslageri Handelsbolag
B.H.S. Byggherresystem Aktiebolag,5561514950,2,73,Ahlgren; Rolf Harald,3,2,InstaDoc Ahlgren AB|GN-gruppen AB|B.H.S. Byggherresystem Aktiebolag
Stefan Karlsson Konsult & Fastighets AB,5590986120,2,52,Karlsson; Stefan Sven-Erik,7,31,STARK Fasadrenovering i Sverige AB|Mälardalens Mur och Puts AB|Valbo Fasad Entreprenad AB|Robust Hyrställning Sverige AB|V Fasad AB|STARK Hyrställningar i Sverige AB|Stefan Karlsson Konsult & Fastighets AB
Bygg- och Designgruppen BDG Holding AB,5569099889,3,42,Eriksson; Johan Erik Ragnar,7,2,Bygg- & Designgruppen BDG AB|Bygg- & Designgruppen BDG Entreprenad AB|Bygg- & Designgruppen BDG service AB|Bygg- & Designgruppen BDG Elteknik AB|Väsby-Vik Fastighets AB|Lykta Produktion AB|Bygg- och Designgruppen BDG Holding AB
AlarmOn Sverige AB,5569575953,2,47,Kosinski; Grzegorz,1,0,AlarmOn Sverige AB
Kastellholmen; Projekt- och Byggledning Aktiebolag,5564121852,2,74,Runnedal; Anders Göran Haneball,1,2,Kastellholmen; Projekt- och Byggledning Aktiebolag
Sparta Holding AB,5562072875,3,70,Ehrenborg; Didrik Georg,3,12,Kraftverket AB|Sparta Holding AB|Borgporten Aktiebolag
Spaces by Gottfarb AB,5590484191,2,52,Gottfarb; Johanna Charlotta,3,0,Smedslättens Tennisbanor Aktiebolag|Growthitude AB|Spaces by Gottfarb AB
Lindqvist Grafik&InfoDesign AB,5569693558,2,38,Lindquist; Hjördis Anna-Lena,2,1,Lindqvist Grafik&InfoDesign AB|Lindqvist kreativ kommunikation AB
Industrial Process Engineering Technology         Sweden AB,5567291454,2,71,Carlsson; Lars Staffan,9,20,Erik Carlsson Holding AB|Wohnung AB|Industrial Process Engineering Technology         Sweden AB|LaangHorn Aktiebolag|C. Carlsson Consultants Sweden AB|TBL i framtiden Holding Aktiebolag|Småbrukarvägen Förvaltning 3 AB|TBL 2 i Framtiden Holding AB
Celloptimum AB,5568083942,2,57,Rovaniemi; Natalie Danuta,2,3,Celloptimum AB|Natalie Rovaniemi; Nutritionist & Fotograf
AB 3A Bygg och inredning,5591800940,2,36,Ahlskog von Arnold; Karl M Andreas,2,2,AB 3A Bygg och inredning|AB 3A Group
Arsenalen Besiktning AB,5569615015,2,46,Danielsson; Karl Johan Alexander,4,0,Arsenalen Projekt AB|Arsenalen Besiktning AB|Bostadsrättsbesiktning.se Sverige AB
Unnerstad Consulting AB,5591476915,4,38,Unnerstad; Björn Gunnar,1,0,Unnerstad Consulting AB
Ingemar Almqvist AB,5569259632,3,50,Almqvist; Ingemar Einar,1,2,Ingemar Almqvist AB
Entré AB,5567492425,2,59,Strömberg; Johan Lennart,1,2,Entré AB
Umbilical Talks AB,5569960684,2,63,Hertz; Anna Cecilia Josefine,2,2,Umbilical Talks AB|umbilical design AB
Rationell Service J L Aktiebolag,5560412289,3,61,Lindgren; Karl Jörgen Roger,2,3,Guttae AB|Rationell Service J L Aktiebolag
Bright Sunday AB,5590486246,4,48,Engström; Niklas Bertil,4,11,Crabhug AB|Bright Sunday AB|Bright Sunday Capital AB|Bright Sunday Portugal 1 AB
BLBK konsulter AB,5567718357,2,70,Anjou; Björn Ivan Christer,2,5,Björn Lilja Byggkonsult|BLBK konsulter AB
ScandIn Entreprenad AB,5591392302,2,27,Blohm; Alexander Bernhard,3,2,ScandIn Entreprenad AB|Yuppie AB|Stockholm Food Mobility AB
Entreprenad och Projektledning Edde Palm          Aktiebolag,5560734963,3,56,Palm; Lars Tommy,1,0,Entreprenad och Projektledning Edde Palm          Aktiebolag
Daniel Wagenius AB,5568594005,2,39,Wagenius; Björn Olof Daniel,3,7,BorgenGruppen AB|Borgen Projekt & Bygg AB|Daniel Wagenius AB
Hair i Tyresö AB,5590028444,2,36,Wis‚en Åberg; Anna Sofia Margareta,1,3,Hair i Tyresö AB
Norruddens Värmemontage AB,5568058506,2,46,Innala; Hans Stefan,3,2,Innala Invest AB|Norruddens Värmemontage AB|Roslagens Värmemontage Aktiebolag
Mari Vattekar Markman Interior Design AB,5569254039,2,42,Vattekar Markman; Mari,5,5,Mari Vattekar Markman Interior Design AB|Icellate Medical AB|Jungfrutomten Värdeinvest Aktiebolag|Mavama AB|Aktiebolaget Auxio
LIAC; Lennart och Irja Andreasson Consulting;     Aktiebolag,5563454072,4,59,Andreasson; Bo Lennart,2,5,LIAC; Lennart och Irja Andreasson Consulting;     Aktiebolag|Bostadsrättsföreningen Stjärnstaden
Management & Das Schwarz AB,5568892680,2,42,Stenberg; Dominik Jakob,7,20,Management & Das Schwarz AB|Stenberg Balejko AB|Svenska Guldkontrollen AB|AU Invest AB|AU Holding AB|Stenberg Balejko Holding AB
Ante Arya Entreprenad AB,5591438675,2,46,Arya; Ante Ashkan,1,2,Ante Arya Entreprenad AB
Ante Arya Entreprenad AB,5591438675,2,46,Jonasson; Aryan,10,28,Speranza AB|Made in Gotland Skogsglänta AB|Made in Gotland Fastigheter AB|Made in Gotland Holding AB|Studio XVI Sthlm AB|Made in Gotland AB|Run in the Wild AB|Ante Arya Entreprenad AB|Made in Gotland Förvaltning AB|Isle of Gotland Invest AB
DIAGONAL ENTREPRENAD AB,5590670005,2,83,Johansson; Urban Valdemar,1,10,DIAGONAL ENTREPRENAD AB
DIAGONAL ENTREPRENAD AB,5590670005,2,83,Johansson; Erna Wivi-Ann,1,1,DIAGONAL ENTREPRENAD AB
Bo Lindgren El Aktiebolag,5562704113,2,61,Lindgren; Bo Gustav,1,3,Bo Lindgren El Aktiebolag
Åström Konsult & Invest AB,5568207780,2,46,Åström; Lars Tomas,2,7,Bygg; Kakel & Vvs i Stockholm AB|Åström Konsult & Invest AB
Ungt Boende i Roslagen AB,5590549381,2,46,Andersson; Björn Olof,8,2,BA SOLUTIONS AB|Valda Hus i Hallstavik AB|Dalbyvägen 10 Fastigheter AB|Ungt Boende i Roslagen AB|LA Bostäder AB|Två systrars café i Norrtälje AB|BASAB HOLDING AB|Bostadsrättsföreningen Solbacka Herrgård
JMR Next Living AB,5568363823,4,52,Randler; Lars Martin Gustaf,2,0,AWF Holding AB|JMR Next Living AB
JMR Next Living AB,5568363823,4,52,Nauclér; Cecilia Elisabet,4,2,JMR Next Living AB|Nacita AB|Nacita Holding AB|Nacita Invest AB
JMR Next Living AB,5568363823,4,52,Randler; Joanna Maria,2,3,AWF Holding AB|JMR Next Living AB
TECONOVA Aktiebolag,5568016371,4,69,Landgren; Bo Lennart,1,4,TECONOVA Aktiebolag
Lasse Dargren El / Tele / Data AB,5568715378,2,49,Dargren; Lasse,2,1,Lasse Dargren Transport|Lasse Dargren El / Tele / Data AB
Skafferiet i Vaxholm Aktiebolag,5564186327,2,46,Svedberg; Helene,1,8,Skafferiet i Vaxholm Aktiebolag
Skafferiet i Vaxholm Aktiebolag,5564186327,2,46,Müller; Zackarias Fredrik,1,1,Skafferiet i Vaxholm Aktiebolag
Rolaco AB,5569370017,2,70,Lagerquist; Kerstin Linnéa Marie,1,3,Rolaco AB
Rolaco AB,5569370017,2,70,Lagerquist; Rolf Gunnar,1,4,Rolaco AB
GJ Gruppen AB,5569812653,2,47,Johansson; Elisabet,1,0,GJ Gruppen AB
Tyresö Byggkonsult AB,5591677454,2,61,Exhed; Leif Gunnar,1,0,Tyresö Byggkonsult AB
Roslagens Kontrollansvar AB,5569654741,2,54,Ring; Hans Stefan,1,7,Roslagens Kontrollansvar AB
Terragrip AB,5567238737,2,41,Degerlund; Åke Fredrik,1,0,Terragrip AB
Lillahill AB,5591094304,2,47,Sommerfeld; Bo Mattias,6,6,Lillahill AB|Mattias Sommerfeld Invest Holding 1 AB|Bostadsrättsföreningen Skogsbacken i Strängnäs|HanssonGruppen Bresshammar 1 AB|Blåhallonvägen Lgh AB|Levante Management AB
RVG Holding AB,5567995625,2,49,Österdahl; Björn Erik Robert,1,4,RVG Holding AB
Synerga AB,5566068440,2,76,Müller; Hans Dietrich Wilhelm,3,7,Scanholm Tech AB|Synerga AB|H.Dietrich Müller Design & Produktion
BSER Skarpö Entreprenad AB,5569980716,2,74,Svensson; Bo Benkt Edvard,3,1,BSER Skarpö Entreprenad AB|Lights in Line AB|Skarpö Data
Breviks Entreprenad AB,5591601066,2,46,Berndtsson; Pär Bertil,1,0,Breviks Entreprenad AB
ÅKVN byggnads AB,5568204969,2,72,Nilsson; Åke Krister Vilhelm,4,6,ÅKVN byggnads AB|4857 Bygg AB|Pefo projekt AB|Andreas Nilsson Bygg AB
Ingeniarius AB,5591934665,2,35,Björkström; Tom Johan Crister,9,1,Acenzi AB|Tule Bemanning AB|Ingeniarius AB|Björkström Holding Aktiebolag|61Invest AB|Bostadsrättsföreningen Härad 1|Hasselgårdens fastigheter AB|Swedish House Architects AB|Bostadsrättsföreningen Snuggan
HPH Sweden AB,5591765002,2,33,Nguyen; Huu Huy,1,0,HPH Sweden AB
Christer Jentzen Butikssupport AB,5561952473,2,68,Jentzen; Carl Bert Christer,1,1,Christer Jentzen Butikssupport AB
POK Consulting AB,5567455612,2,60,Kjellarsson; Per Olov Christer,1,0,POK Consulting AB
A&M AllService AB,5569703050,2,30,Akila; Manar Hana,2,2,A&M Brands AB|A&M AllService AB
In&Ut Reda AB,5590396981,3,53,Hedkvist; Per Anders,1,2,In&Ut Reda AB
MGR Bygg AB,5590404983,2,41,Sorokin; Andrei,1,2,MGR Bygg AB
Champary AB,5569032930,2,40,Bernhoff; Hampus Peder Rudolf,1,0,Champary AB
Pnthaus AB,5569435240,2,42,Svedbrant; Oskar Fredrik,3,3,Stockholmtinyhouseexpo AB|Pnthaus AB|Pnthaus
CLV Byggentreprenad AB,5566329503,2,53,Backlinder; Christian Rolf,1,5,CLV Byggentreprenad AB
T.KH Consulting AB,5591716492,2,37,Khoshdel Mohazab; Tomaj Tomi,1,5,T.KH Consulting AB
ALKA AB,5567670640,2,49,Eriksson; John Peter,3,4,LLP Stockholm AB|ALKA AB|LPT Construction AB
Cartera AB,5562953694,2,50,Lindblad; Hans Göran Einar,15,18,Bolandsfastigheter AB|Järnbalken Fastighets Aktiebolag|Bostadsrättsföreningen Gnistan 9|Grönmarks Fastighets AB|Moutarde Holding AB|Garaget Diana Holding AB|Terraviva 1 AB|Cartera AB|Garaget Diana AB|Stiffler Uppsala AB|Garaget Diana II AB|Dragarbrunn 4:11 Holding AB|Sovasa AB|Moutarde Equity AB|Stiffler Holding AB
Strömma Projekt AB,5568613730,3,51,Bulus; Deniz,6,10,Östersjösten Aktiebolag|Torshäll Fastigheter AB|Strömma Projekt AB|Silversjö Fastigheter AB|D Bulus Holdings Aktiebolag|Bostadsrättsföreningen EP Värmdövik
Wondell Project AB,5590068671,2,37,Wondell; Wojciech Edward,3,1,Bostadsrättsföreningen Skogsgungan|Bostadsrättsföreningen Stapelbädden 7|Wondell Project AB
Nordisk Energideklaration AB,5567349120,3,60,Hjortling; Birgitta Camilla,1,0,Nordisk Energideklaration AB
Järfälla Fasad AB,5567443543,3,57,Thorström; Per Urban,6,4,MURETTAN AB|Järfälla Fasad AB|Bricklayer Fastigheter Silverdalen AB|Bricklayer Holding AB|Bricklayer Fastigheter AB|Lionbrothers Sverige Holding AB
Travolt Elinstallationer Aktiebolag,5562105519,2,61,Gavelfält; Karl Tommy,2,0,Tommy Gavelfält Solutions AB|Travolt Elinstallationer Aktiebolag
H&C Söderqvist AB,5567105035,2,53,Söderqvist; Christin Elisabeth,5,3,Pelarstaden Bykkaret 3 i Stockholm AB|H&C Söderqvist AB|H&C Söderqvist Consulting AB|Håkan Söderqvist Fastigheter AB|Christin Söderqvist Fastigheter AB
Luciora AB,5569714032,2,56,Björklund; Ingrid Kristina,2,2,Howaldina AB|Luciora AB
Luciora AB,5569714032,2,56,Björklund; Jaan Thomas,1,0,Luciora AB
HearteartH Production AB,5565576229,4,38,Hellgren; Marie-Louise Josephine,1,2,HearteartH Production AB
Konst Arkitektur Integrations Gruppen i Stockholm AB,5565903175,2,64,Kai-Larsen; Torsten,26,21,SBU Svensk Bostadsutveckling AB|Birkaharen AB|Konst Arkitektur Integrations Gruppen i Stockholm AB|Cityfastigheter i Lycksele AB|Kai-Larsen Affärsutveckling AB|Krutvikens Fastighetsutveckling AB|Bostadsrättsföreningen Krutviken i Karlskrona|absint fastighetsutveckling AB|Eldfödd fastigheter AB|Kilskrona AB|Bostadsrättsföreningen Amerika Tio|Bostadsrättsföreningen Buxbomen|Bostadsrättsföreningen Vision Betsö|SBU F-dotter AB|Eldfödd Restaurang i Karlskrona AB|Betsövägen Vision Fastighets AB|3vita Sverige AB|Inframodulen AB|Krutviksdotter AB|Betsövägen Vision AB|Bostadsrättsföreningen Lilla Holm i Karlskrona|Kilsdotter AB|H12 i Södertälje AB|Kilströmsparkering AB|Eldfödd AB|SBU Framtid AB
Ulf Åhrman Byggprojektledning Aktiebolag,5564905106,3,73,Åhrman; Ulf Rickard,1,2,Ulf Åhrman Byggprojektledning Aktiebolag
ENGANS Konsult och Service AB,5590512603,2,54,Engström; Bertil Erik,1,1,ENGANS Konsult och Service AB
Atlasmuren Fastighetsteknik AB,5561560482,2,53,Åkerberg; Marlene Elisabet,7,27,Atlasmuren Fastigheter AB|Atlasmuren Linaberg AB|Atlasmuren Styckjunkaren AB|Atlasmuren Laboratoriet AB|Atlasmuren Sjöboden AB|Atlasmuren Fastighetsteknik AB|Atlasmuren Skruven AB
Åke Wilén Projektledning Aktiebolag,5562577618,2,74,Wilén; Erik Bengt Åke,3,5,Bostadsrättsföreningen Volontären 10|Arriving Production AB|Åke Wilén Projektledning Aktiebolag
AB Energihytten,5563806545,3,42,Axelsson; Per Gunnar,8,6,Aktiebolaget Styrhytten|AB Industrihytten|Trädgårdsprakt Liselotte Nilsson AB|AB Grundhytten|Magasinsvägen 5 Fastighets AB|AB Energihytten|AB Garden Consulting Liselotte Nilsson|AB Fastighetshytten
AB Energihytten,5563806545,3,42,Axelsson; Carl Erik Gunnar,6,3,Aktiebolaget Styrhytten|AB Industrihytten|AB Grundhytten|Magasinsvägen 5 Fastighets AB|AB Energihytten|AB Fastighetshytten
ARTLINE Arkitekter Aktiebolag,5563577005,2,79,Skogh; Claes Vilhelm,2,0,Stofab AB|ARTLINE Arkitekter Aktiebolag
Fjälltrivsel Event AB,5568967045,3,65,Holm; Billy Magnus,1,3,Fjälltrivsel Event AB
Jan-Åkes Bygg AB,5591288872,2,59,Ström; Jan Åke,1,0,Jan-Åkes Bygg AB
saldovägen fastighet 9c AB,5590855069,2,39,Kaib; Fadi,3,8,Hasselstigen Consulting AB|saldovägen fastighet 9c AB|City Hostel Stockholm AB
saldovägen fastighet 9c AB,5590855069,2,39,Kaib; Francois,3,3,Hasselstigen Consulting AB|saldovägen fastighet 9c AB|City Hostel Stockholm AB
Rönninge Torghuset Fastighets AB,5591509392,6,47,Johansson; Tommy Michael Roger,40,5,SNB Förvaltning AB|SNB Någonting Holding AB|Brygghusen vid Väsjön Holding AB|Brygghusen i Väsjön Group 3 AB|Brygghusen i Väsjön Group 2 AB|Brygghusen i Väsjön Group AB|Mälarterrassen Ekonomisk förening|Rönninge Torghuset Fastighets AB|A Equity Förvaltning Management AB|Ekonomisk förening Poeten i Solna|Ekonomiska föreningen Ingentingskalden|SNB Ingenting 5 i Skalden DEF AB|Bostadsrättsföreningen Linbanan 2|SNB Mälarterrassen Holding AB|SNB Ingenting 4 i Skalden ABC AB|MittCafé Ingenting AB|Bostadsrättsföreningen Linbanan 3|Ekonomisk förening Esplanaden på Rinkebyterrassen|Brygghusen vid Väsjön Uthyrning AB|SNB Esplanaden Rinkeby Förvaltning AB|Rinkebyterrassen Holding 5 AB|MittGym Ingenting AB|SNB Ingenting Skalden P AB|SNB Mälarterrassen Fastighet 3 AB|SNB Mälarterrassen Fastighet 2 AB|SNB Ingenting 1 i Poeten 3 AB|MittGym Telefonplan AB|DiGum AB|SNB Häggvik 10 Fastighets 3 AB|SNB Mälarterrassen Fastighet 1 AB|SNB Ingenting 2 i Poeten 2 AB|SNB Mälarterrassen Uthyrning AB|SNB Ingenting 3 i Poeten 1 AB|Rinkebyterrassen Holding 6 AB|SNB Ingenting 6 i Skalden GH AB|SNB Häggvik 10 Fastighets 1 AB|SNB Häggvik 10 Fastighets 2 AB|SNB Häggvik 10 Förvaltning AB|Svenska Nyttobostäder AB (publ)|SHYB Torghuset Rönninge Holding AB
