company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Amsby Invest AB,5590001672,2,44,Yousef; Mohammad,6,8,Amsby Utveckling AB|Amsby Hus AB|Amsby Kommersiella AB|Amsby Invest AB|A.K Maskinhantering AB|Bostadsrättsföreningen Äppelblomman i Norrtälje
J&A Stenspecialist AB,5591241343,2,34,O'Connor; Thomas,1,0,J&A Stenspecialist AB
Stefan Lind AB,5590732326,2,60,Lind; Björn Stefan,1,2,Stefan Lind AB
Brännjärn AB,5566484134,3,45,Östlund; Carl Mikael Nils Oskar,2,0,Brännjärn AB|BlackShield AB
Living Design Holding Stockholm AB,5567613566,3,32,Hegazy; Tarek,4,14,Living Design of Sweden AB|Living Design Consultancy of Sweden AB|Csilla Päls AB|Living Design Holding Stockholm AB
Björksäters Bygg AB,5591003354,2,58,Andersson; Sören Ove,1,1,Björksäters Bygg AB
ToP's Gruppen AB,5563113686,3,54,Eriksson; Peter,5,11,ToP's Estates AB|Iskuben I Hamra AB|ToP's Gruppen AB|PSDC Aktiebolag|Gilla Läget AB
e-Print & mail i Stockholm AB,5565872628,3,74,Wimmerman; Rolf Olof,1,1,e-Print & mail i Stockholm AB
Esite Design AB,5565586053,3,46,Ljunggren; Inese Ligita,1,4,Esite Design AB
Asfaltsystem i Sverige AB,5567232029,2,53,Karlsson; Karl Ola Patrik,1,2,Asfaltsystem i Sverige AB
Per Ohlsson Bygg & Entreprenad AB,5591269203,2,70,Ohlsson; Sven Per-Olof,2,2,Per Ohlsson Bygg & Entreprenad AB|Per Ohlsson Bygg & Entreprenad
Green Properties Sweden AB,5592244262,3,60,Andreasson; Bengt Thomas,30,70,T.Andréasson Fastighetsaktiebolag (publ)|Dalny Fastigheter Aktiebolag|Green Properties Sweden AB|T.Andreasson Torget Knivsta Ekonomisk förening|Andréasson & Svahn Nydal AB|Andréasson & Svahn Huddinge AB|Lemnius Fastigheter Holding AB|T.Andreasson Fastigheter Huddinge Holding 2 AB|Andréasson & Svahn Fastighetsutveckling Holding AB|Bostadsrättsföreningen Kallfors Golfaren 2|T.Andreasson Nydal Knivsta Ekonomisk förening|Holding 1 i Uppsala AB|AXT Investment VII AB|T.Andreasson Fastigheter Huddinge AB|Andréasson & Svahn Nydal Holding AB|T.Andreasson Minoritetsintressenter 2 AB|Andréasson & Svahn Knivsta Gredelby Holding AB|AXT Bostadsbolag AB|T.Andreasson Fastigheter Huddinge Holding AB|T.Andreasson Entreprenad AB|T.Andreasson Fastigheter Huddinge 2 AB|T.Andreasson Management AB|T.Andréasson Förvaltningsaktiebolag|T.Andreasson Entreprenad Holding AB|Andréasson & Svahn Knivsta Gredelby AB|Andréasson & Svahn Huddinge Holding AB|T.Andreasson Fastighetsaktiebolag                 Minoritetsintressenter 1 AB|T.Andreasson Fastigheter Nydal AB|Andréasson & Svahn Fastighetsutveckling AB|T.Andreasson Fastighetsaktiebolag Sågverket       Holding
Strömholm Zingmark Arkitekter AB,5566349360,2,60,Strömholm; Anna Ulrika,1,2,Strömholm Zingmark Arkitekter AB
Valor AB,5568126535,2,70,Holmqvist; Lillebror Folke,3,9,Stegbo Invest AB|Perfect Match Interior AB|Valor AB
Vattex AB,5563730877,2,32,Komlev; Dmitri,1,1,Vattex AB
LOVALOT AB,5569644221,2,34,Kudusi; Kudulaiti,1,1,LOVALOT AB
Sweatpants Studio AB,5592049794,2,51,Bryngelsson; Jesper Per Erik,1,0,Sweatpants Studio AB
Sosos Bygg AB,5590526314,2,43,Kvelashvili; Ioseb,1,2,Sosos Bygg AB
Idéföretagen i Mälardalen AB,5567771836,2,46,Karlsson; Peter Tony,4,3,Bålsta Glasmästeri Idéglas AB|Linds Snickerifabriks Aktiebolag|GLOP AB|Idéföretagen i Mälardalen AB
JT Elektriska AB,5591198055,2,44,Bergsten; Thomas Lars Gunnar,2,1,TB EL & TV|JT Elektriska AB
JHC Brandskydd i Stockholm AB,5590307657,2,67,Haenel; Jan Christer,3,4,Svenska Brandsäkerhetsföretag Utbildning AB|JHC Brandskydd i Stockholm AB|JH Consulting
Svenska Moderna Hus AB,5569259327,2,47,Rutqvist; Sven Joachim,7,52,Bastide Bygg AB|Svenska Moderna Hus AB|Bastide Consulting AB|Rosersberg 123 AB|c/o jannika AB|God Bostad Stockholm AB|Bastide Invest AB
Aesthetic Concept of Stockholm AB,5590316583,2,46,Valnert; Isabell Barreto,1,0,Aesthetic Concept of Stockholm AB
RBT (Ritnings- och Bygglovstjänst) AB,5569621435,2,43,Österberg; Sture Markus Patrik,1,5,RBT (Ritnings- och Bygglovstjänst) AB
RBT (Ritnings- och Bygglovstjänst) AB,5569621435,2,43,Rahko; Anna Katariina,1,2,RBT (Ritnings- och Bygglovstjänst) AB
Sigtuna Hantverksservice AB,5568228265,2,62,Lotthagen; Joachim Raymond,3,8,Sigtuna Hantverksservice AB|Steninge Hantverksservice AB|JV Limo
Bygguppdraget entreprenad i Stockholm AB,5590701636,2,38,Rosén Nevala; Ulf Jimmy,3,7,Bygguppdraget entreprenad i Stockholm AB|JMML Holding AB|Bygguppdraget i Stockholm AB
Bygguppdraget entreprenad i Stockholm AB,5590701636,2,38,Nevala; Niklas Olavi,3,3,HN Partner AB|Bygguppdraget entreprenad i Stockholm AB|Bygguppdraget i Stockholm AB
