company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
KC Trädgård & Marktjänst AB,5591576375,2,55,Rosenlund Abrahamsson; Eva Camilla,1,1,KC Trädgård & Marktjänst AB
KC Trädgård & Marktjänst AB,5591576375,2,55,Abrahamsson; Kjell-Arne Ingemar,1,0,KC Trädgård & Marktjänst AB
Per Olofssons Snickeri AB,5568346885,2,48,Olofsson; Per Mikael,2,0,Per Olofssons Snickeri AB|Per Olofsson Snickeri Allservice
IndoorSprings AB,5566930557,5,45,Siljeäng; Jesper Thomas,4,9,L T Ratio Process AB|IndoorSprings AB|Gothenburg Offshore Technologies AB|OE Systems AB
MAgency AB,5590542345,3,56,Alverlin; Lotta C A M,1,4,MAgency AB
MAgency AB,5590542345,3,56,Alverlin; Mimmi Charlotte,1,3,MAgency AB
ETTGRUPPEN AB,5590185806,4,54,Bergnehr; Karl Åke,1,6,ETTGRUPPEN AB
Room Shape Interior Sweden AB,5591888994,2,27,Cegallius; Magdalena Anna Elin,2,6,Room Shape Interior Sweden AB|Room Shape Sweden
ANDERSSONS HISS AB,5591119549,2,33,Andersson; Rasmus Samuel,1,0,ANDERSSONS HISS AB
L Broberg AB,5591207724,2,45,Broberg; Loffe Christopher,1,1,L Broberg AB
Plan- & ByggLaget i Bohuslän Aktiebolag,5567501902,4,49,Andersson; Stig Jan,4,14,Plan- & ByggLaget i Bohuslän Aktiebolag|Daticit AB|Borrby Nr 1 AB|Bruket Bovallstrand AB
Project WHY AB,5569967937,2,42,Blad; Hildur Isabelle,2,2,fixa&dona - Hildur Blad|Project WHY AB
Mölnlycke Energi & Miljö Aktiebolag,5561732776,2,71,Odmyr; Håkan Lennart,1,2,Mölnlycke Energi & Miljö Aktiebolag
Älggårdens måleri AB,5568189582,2,30,Rasoul Mahdi; Haidar,1,0,Älggårdens måleri AB
Johan Edin Konsult AB,5569394108,2,47,Edin; Johan Andreas,3,1,Infra Action Gbg AB|Kared Konsult AB|Johan Edin Konsult AB
Johan Edin Konsult AB,5569394108,2,47,Edin; Karin Kristina,2,0,Kared Konsult AB|Johan Edin Konsult AB
Figura Holding AB,5565754644,2,65,Andrée Nilsson; Bo Kenneth Richard,2,0,Figura Arkitekter Aktiebolag|Figura Holding AB
Ulebergshamn Fastigheter AB,5566923891,6,63,Torgé; Jan Sture Enar,4,9,Jantor AB|Ulebergshamn Fastigheter AB|Ulebergshamn Bygg AB|Strandhamnskile AB
Backa Mur och Kakel Aktiebolag,5564177631,2,68,Olofsson; Robert Lennart,1,1,Backa Mur och Kakel Aktiebolag
Hulting Arkitekter AB,5567376982,2,56,Hulting; Jan Peter,1,5,Hulting Arkitekter AB
Kurt Snickar'n AB,5569934556,2,67,Mårtensson; Anna-Lena,1,1,Kurt Snickar'n AB
Kurt Snickar'n AB,5569934556,2,67,Mårtensson; Kurt Rune Holger,1,1,Kurt Snickar'n AB
Pinly Design AB,5591036289,4,31,Harrysson; Tina Johanna,1,1,Pinly Design AB
Pinly Design AB,5591036289,4,31,Magnusson; Carl Marcus Olof,1,2,Pinly Design AB
Seagull invest AB,5568903487,4,58,Karlsson; Anne Dagny Christina,1,5,Seagull invest AB
Svenska Byggruppen Entreprenad i Bohuslän AB,5568063068,2,34,Fors; Victor Christian,4,1,Byggprojekt i Uddevalla AB|Svenska Byggruppen Entreprenad i Bohuslän AB|Byggprojekt Förvaltning i Uddevalla AB|Byggprojekt Holding i Uddevalla AB
Anivus AB,5569218141,2,51,Lundkvist; Karl Lennart,2,1,Anivus AB|Jerkléns Rör AB
Anivus AB,5569218141,2,51,Sörensen Lundkvist; Hege,2,0,Anivus AB|Jerkléns Rör AB
B.Carlsson Byggkonsult AB,5591718829,2,53,Carlsson; Bo Inge,1,2,B.Carlsson Byggkonsult AB
B.Carlsson Byggkonsult AB,5591718829,2,53,Link Carlsson; Veronica Cecilia,1,2,B.Carlsson Byggkonsult AB
Wirstad Arkitektur Landskap Ljus AB,5568374861,2,61,Gustafsson Wirstad; Jannika Gunilla,2,3,Wirstad Arkitektur Landskap Ljus AB|Ergonområd Aktiebolag
