company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
GFSOL AB,5569290876,3,57,Fritzson; Peter Ambjörn,1,7,GFSOL AB
GFSOL AB,5569290876,3,57,Fritzson; Daniel Peter Gustav,1,2,GFSOL AB
Träffs Elektriska Aktiebolag,5561488635,2,74,Johansson; Kenneth Evald,3,1,Idofix Aktiebolag|TLS teknik AB|Träffs Elektriska Aktiebolag
Fastighetsförvaltning i Motala AB,5590986849,3,46,Karlsson; Sven Thomas,5,10,Xplays AB|Studio Basement Rec/Thomas Karlsson|Fastighetsförvaltning i Motala AB|Kultur Bagen AB|Xplays Musikproduktion Handelsbolag
Fastighetsförvaltning i Motala AB,5590986849,3,46,Wall; Lena Sofie,2,1,Fastighetsförvaltning i Motala AB|Djurpensionatet i Motala
Hummelschakt AB,5568271034,2,68,Hummelgren; Karl-Olov Rune,1,2,Hummelschakt AB
Navringen Fastighets AB,5566938949,5,41,Evers; Benny Gunnar,3,6,Tube Energi Aktiebolag|RHEL-Gruppen AB|Navringen Fastighets AB
Torlamb byggkonsult AB,5591643597,2,47,Torlamb; Gunnar Kristofer,3,0,Saanum Service AB|Kinda Solenergi AB|Torlamb byggkonsult AB
Lo-Ka Comon Invest AB,5590055603,3,45,Karlsson; Ulla Christina,3,4,Lo-Ka Comon Invest AB|Kafé Kuriosa AB|Tina Karlsson Cafe å Sånt AB
Lo-Ka Comon Invest AB,5590055603,3,45,Lood; David Georg Anders,3,6,Lo-Ka Comon Invest AB|Kafé Kuriosa AB|Tina Karlsson Cafe å Sånt AB
Borensbergs Åkeri AB,5564651577,2,51,Andersson; Anders Jerry Emil,1,1,Borensbergs Åkeri AB
Spectra mark Öst AB,5591999650,2,41,Tolff; Lars Calle,2,3,Spectra Sverige AB|Spectra mark Öst AB
Fiwt AB,5590482500,3,51,Wirf; Fredrik Ingemar,2,3,Kerpator Fastighets AB|Fiwt AB
Eklund Hem-Bygg AB,5568947815,2,62,Butler; Robert Benjamin,1,2,Eklund Hem-Bygg AB
Bergs Företagstjänst AB,5591767438,2,54,Berg; Dick Richard Anders,1,1,Bergs Företagstjänst AB
AB Malfors Terapi & Byggforum,5565247698,2,50,Gustafsson; Erik Roland,2,3,Salary Sweden AB|AB Malfors Terapi & Byggforum
Mankans MC AB,5568953649,2,52,Eriksson; Veronica Birgitta Maria,1,2,Mankans MC AB
Mankans MC AB,5568953649,2,52,Eriksson; Göran Magnus,1,1,Mankans MC AB
Steisjö's måleri AB,5569355125,2,56,Steisjö; Bernt Magnus,1,2,Steisjö's måleri AB
Svenska Mark- och Anläggningsbolagen i Öst AB,5565231650,3,41,Alexandersson; Carl Christoffer,17,6,Bodén Mark & Anläggning i Mälardalen AB|Ockelbo Kabelteknik AB|Tjällmo Grävmaskiner Aktiebolag|Svenska Mark- och Anläggningsgruppen i Stockholm  AB|Tobbes Schakt AB|Svenska Mark-och Anläggningsbolagen i Syd AB|Andreasson & Lindh Entreprenad AB|Ekängen Bygg & Mark AB|Westins Maskin AB|JMR-Entreprenad AB|HJ Hydraulik Aktiebolag|Perssons Schakt i Mitt AB|Svenska Mark- och Anläggningsbolagen i Kungsbacka AB|FUTURISTAS AB|Svenska Mark- och Anläggningsbolagen i Öst AB|Svenska Mark och Anläggningsbolagen Återvinning AB|SMA Infrastruktur AB
PBKAB Byggkonsult AB,5590524608,2,49,Klitsie; Patrik Bertil,1,0,PBKAB Byggkonsult AB
Kattskär förvaltning AB,5569085847,2,59,Fredriksson; Mats Olof,5,3,Mats Fredriksson arkitektkontor AB|HMJ Förvaltning AB|Kattskär förvaltning AB|Mats Fredriksson Arkitektkontor|Krongården förvaltning AB
Bovirum konsult AB,5568428881,2,73,Söderman; Lars Kenneth,14,11,GEMFAST AB|Gropen 25 Fastighets AB|Stockholm Sprint 7 Fastighets AB|Sjöstaden Motala Fastighetsutveckling AB|Jaktvarvet 1 Fastighets AB|Vasastaden 17 Fastighets AB|Kungsholmens Fågel 12 Fastighets AB|Klappträet 6 Fastighets AB|GEMVERK AB|Bovirum konsult AB|Bigarråträdet 6 Fastighets AB|Sjöstaden Motala Mark Aktiebolag|GEMKAP AB|Iuppiter Mindre 14 Fastighets AB
CLAES ELGSTRÖM KONSULT AB,5591812259,2,58,Elgström; Claes Rune Mikael,1,2,CLAES ELGSTRÖM KONSULT AB
CLAES ELGSTRÖM KONSULT AB,5591812259,2,58,Forneman; Eva Maria,1,0,CLAES ELGSTRÖM KONSULT AB
Ullstorps Bygg- och Förvaltnings Aktiebolag,5563111201,2,75,Magnusson; Hans Karl Ingvar,1,1,Ullstorps Bygg- och Förvaltnings Aktiebolag
Forsberg Avans AB,5591568158,2,51,Forsberg; Pär Henrik Stefan,1,1,Forsberg Avans AB
IÅ Bygg & Konsult AB,5592069081,2,62,Åstrand; Lars Ingmar,1,9,IÅ Bygg & Konsult AB
Cepheus Fastighetsutveckling AB,5566711056,3,43,Frost Casselbrant; Per Michael,13,66,Bostadsrättsföreningen Mono|VestigiaHus Tallåsen AB|Pinegrove Asset Management AB|Vestigia Development AB|Pendula Invest AB|Cepheus Fastighetsutveckling AB|Cepheus Fastighetsservice AB|Alliance Svenska Holding AB|SMÖ Konsult AB|Vestigia Fastigheter AB|Cepheus Konsult AB|VestigiaHus Egendom AB|SMÖ Förvaltning AB
JTC Byggservice AB,5591132872,4,34,Cataldo Aguilar; Luis Jonathan,1,1,JTC Byggservice AB
JTC Byggservice AB,5591132872,4,34,Taivaloja; Johnny Alexander,1,1,JTC Byggservice AB
STROCON AB,5566668504,2,67,Svensson; Carl Johan Einar,1,4,STROCON AB
T.E.So - Tech & Energy Solutions AB,5592274137,2,35,Björnson; Carl Oscar Victor,2,4,T.E.So - Tech & Energy Solutions AB|T.E.So - Tech & Energy Solutions
Bisam Service AB,5591410757,2,35,Kåberg; Raoul Pontus,1,2,Bisam Service AB
TENA Bygg AB,5591788640,2,40,Maric; Nijaz,2,0,TENA Bygg AB|NM Måleri
TENA Bygg AB,5591788640,2,40,Maric; Ena,1,0,TENA Bygg AB
Kinda Rörservice AB,5569705469,2,44,Eriksson; Kenneth Jimmy,2,0,Kinda Rörservice AB|Kinda rörservice
Lily klinik AB,5591390645,2,38,Abdulmajeed; Nada,1,1,Lily klinik AB
Beamways AB,5567486518,2,57,Gustafsson; Bengt Gunnar,1,1,Beamways AB
Graze Design AB,5567850416,2,78,Sköld; Olof Björn-Åke,2,4,Graze Design AB|Björn Åke Sköld Design Aktiebolag
GDAB i Östergötland AB,5590098017,1,49,Ringborg; Mats Martin,2,1,HSB Bostadsrättsförening Brudlyckan i Norrköping|GDAB i Östergötland AB
IGV Consulting AB,5569181620,2,62,Larsson; Lars Erik Gunnar,1,0,IGV Consulting AB
Erikssongruppen i Kimstad Aktiebolag,5564056322,2,63,Eriksson; Bo Ingmar,3,7,Bygg och Industriteknik i Norrköping Aktiebolag|Kårö Fisk & Rökeri AB|Erikssongruppen i Kimstad Aktiebolag
Laimis Kacergis invest AB,5591643803,3,43,Kacergis; Laimis,1,0,Laimis Kacergis invest AB
MVES AB,5568893720,3,33,Paananen; Sebastian Mangnus,1,0,MVES AB
MVES AB,5568893720,3,33,Lennartsson; Emil Mikael Andreas,1,2,MVES AB
KL Mark & Konsult AB,5569558702,2,62,Lindberg; Kim Elisabet,2,2,HETRES AB|KL Mark & Konsult AB
El & Ljus Produktion i Norrköping Aktiebolag,5565000634,2,63,Lundh; Lars Magnus,1,3,El & Ljus Produktion i Norrköping Aktiebolag
Byggnadsfysik A. & K. Aktiebolag,5562002708,4,60,Kårfalk; Tord Göran,2,2,Ormsjötorps ek för|Byggnadsfysik A. & K. Aktiebolag
Hemmafix i Sverige AB,5568406390,2,47,Sköld; Joakim Magnus,2,1,Hemmafix i Sverige AB|Östergötlands poolservice
Börkéns FörvaltningsAktiebolag,5564799624,2,56,Börk‚n; Håkan Henrik,6,23,Sandå Norrköping AB|Nordic Wash AB|Fastighets AB Skulbacken|Bolmängens Fastighets AB|Börkéns FörvaltningsAktiebolag|Håbö Invest AB
Ringbergets konsult AB,5569804627,2,40,Thune; Ingrid Johanna Viktoria,2,1,Ringbergets konsult AB|Reigun Konsult AB
PHP Bygg AB,5590056486,2,43,Wright; Paul Philip Robert,2,0,PHP Bygg AB|PPH Fönster och Bygg
By Judita Design AB,5590916176,2,50,Appelfeldt; Judita,3,1,By Judita Design AB|Appelfeldts Måleri & Interiör AB|Colour Decor i Norrköping
YEISAB - Your Envirovision in Sweden AB,5569638371,2,43,Gustafsson; Carl Henrik Jonas,1,4,YEISAB - Your Envirovision in Sweden AB
YEISAB - Your Envirovision in Sweden AB,5569638371,2,43,Levin; Caroline Anna Birgitta,1,2,YEISAB - Your Envirovision in Sweden AB
C Retreat AB,5590788963,3,67,Sågensjö; Mats Lennart Emanuel,1,1,C Retreat AB
C Retreat AB,5590788963,3,67,Carlsson; Ulf Harry Emanuel,1,2,C Retreat AB
Utvecklings AB Wä Rö Ryttargård,5566162235,2,85,Tegler; Ingemar Ulf Gösta,3,1,Aktiebolaget Granebergs Revision|Aktiebolag Roslagskreditkassan-RCC|Utvecklings AB Wä Rö Ryttargård
Lindmark Markkonsult aktiebolag,5590833447,2,68,Lindmark; Birgit Gunvor Margareta,1,4,Lindmark Markkonsult aktiebolag
Lindmark Markkonsult aktiebolag,5590833447,2,68,Lindmark; Alf Bertil,1,4,Lindmark Markkonsult aktiebolag
Mayam i Linköping AB,5591128193,3,40,Mahmoud; M A,2,1,GLMM Kosmetik AB|Mayam i Linköping AB
Elektromontage Installation i Norrköping AB,5566992318,4,53,Nilsson; Hans Johan Erik,6,0,Joh Sjö AB|Industriautomatik Norrköping Aktiebolag|JohSjö System AB|Joh. Sjö Industri Aktiebolag|EMI Elektromontage Installation AB|Elektromontage Installation i Norrköping AB
Cuclair Arkitektur AB,5568473051,2,48,Cuclair; Vincent,1,1,Cuclair Arkitektur AB
Kullans Fönster AB,5591578462,2,47,Holmström; Mahlin Sofia,1,1,Kullans Fönster AB
Bo I Kolmården AB,5591863203,4,47,Bergqvist; Fredrik Wilhelm,8,15,Norrköping trading AB|Mejeriprodukter i Norrköping AB|Norrköping Risängen 4:8 Fastighets AB|Norrköping Strömsfors 2:2 AB|Two Arrows AB|Svenskflygreklam AB|Bo I Kolmården AB|Stomab AB
ROSP AB,5565188975,2,65,Spångberg; Roland Henrik,1,3,ROSP AB
Töreboda Fiber AB,5591392237,2,54,Björklund; David Sebastian Göran,5,0,Netwest Sweden AB|Töreboda Fiber AB|Finspång Fiber AB|Maintrac Infra AB|Riksbyggen Bostadsrättsförening Gånglåten
HALLDAN Bygg & Måleri AB,5568870207,2,56,Halldan; Raoul Folke Roine,1,2,HALLDAN Bygg & Måleri AB
HALLDAN Bygg & Måleri AB,5568870207,2,56,Hultberg; Marie Mia Elisabeth,1,1,HALLDAN Bygg & Måleri AB
Jarnborgs Isolering AB,5561568048,2,62,Jarnborg; Jan Erik Pierre,2,1,Isolerpartner AB|Jarnborgs Isolering AB
L H Måleri i Linköping AB,5566564679,2,63,Johansson; Hans Gunnar,3,6,Måleri Konsult Hans Johansson|Åhmans Måleri Aktiebolag|L H Måleri i Linköping AB
Cepheus Fastighetsservice AB,5562512698,3,43,Frost Casselbrant; Per Michael,13,66,Bostadsrättsföreningen Mono|VestigiaHus Tallåsen AB|Pinegrove Asset Management AB|Vestigia Development AB|Pendula Invest AB|Cepheus Fastighetsutveckling AB|Cepheus Fastighetsservice AB|Alliance Svenska Holding AB|SMÖ Konsult AB|Vestigia Fastigheter AB|Cepheus Konsult AB|VestigiaHus Egendom AB|SMÖ Förvaltning AB
Comena Fastigheter AB,5569866527,3,49,Koszarek; Leszek Henryk,3,3,Bobjon Holding AB|Comena Fastigheter AB|Comena AB
Comena Fastigheter AB,5569866527,3,49,Joncevski; Bobi,2,2,Bobjon Holding AB|Comena Fastigheter AB
Östgöta Rörservice AB,5590572276,2,50,Friman; Daniel Folke Gunnar,1,0,Östgöta Rörservice AB
