company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Svenska Energitjänster AB,5590766241,4,49,Boric; Peter Mikael,4,4,Svenska Elnät AB|Svenska Byggskåp AB|Svenska Energitjänster AB|Boric & Svärd AB
Conada AB,5590293923,3,57,Burman; Markus Leif,2,1,Elis Clinic AB|Conada AB
Stockholms Storköksventilation AB,5591422711,3,48,Skoglund; Lee Thomas,1,0,Stockholms Storköksventilation AB
TunaGård Konsult AB,5591460695,2,54,Linder; Mats Anders,1,1,TunaGård Konsult AB
TunaGård Konsult AB,5591460695,2,54,Linder; Annika Maria Ulrica,1,0,TunaGård Konsult AB
Complett Rivteknik i Sthlm AB,5590342647,2,37,Rasekh; Ali,1,1,Complett Rivteknik i Sthlm AB
Rope Tech Brothers AB,5591977409,4,31,Olteanu; Ionut Adrian,1,0,Rope Tech Brothers AB
Rope Tech Brothers AB,5591977409,4,31,Olteanu; Florin Toma,1,0,Rope Tech Brothers AB
Riggert Projektstrategi AB,5590524020,3,57,Anderson; Riggert Lars Gunnar,2,1,Riggert Projektstrategi AB|Aron Anderson AB
Riggert Projektstrategi AB,5590524020,3,57,Karlsson; Kerstin Margareta,1,0,Riggert Projektstrategi AB
Byggmätning i Norrtälje AB,5567976625,2,50,Kjellander; Bo Fredrik,1,1,Byggmätning i Norrtälje AB
Arsenalen Projekt AB,5568298847,2,41,Danielsson; Karl Johan Alexander,4,0,Arsenalen Projekt AB|Arsenalen Besiktning AB|Bostadsrättsbesiktning.se Sverige AB
Brunnsviken Byggservice AB,5591337208,2,49,Husaini; Rai,5,5,Vinisia Bil och Båt inredning AB|Brunnsviken Byggservice AB|Sweden look|Louise Raidsson Factory|Raidsson Business
Thomas Hjelm Consulting Aktiebolag,5569495582,3,55,Holmberg; Alice Eva-Lena,1,0,Thomas Hjelm Consulting Aktiebolag
Thomas Hjelm Consulting Aktiebolag,5569495582,3,55,Hjelm; Lennart Thomas,1,1,Thomas Hjelm Consulting Aktiebolag
BTA Project AB,5591721633,2,66,Axelsson; Bo Thomas,1,2,BTA Project AB
TIRA Projekt & Bygg AB,5568761083,2,47,Saraci; Blenard,4,2,BnF Projekt AB|TIRA Projekt & Bygg AB|GT Journey Aktiebolag|AB Active Project Management Nordic
Byggbolaget Källden & Granath AB,5569081069,2,44,Trygg; Anna Kristina,4,2,Avaus Marketing Innovations AB|Honey we're home AB|Byggbolaget Källden & Granath AB|Saltispalatset invest AB
Byggbolaget Källden & Granath AB,5569081069,2,44,Granath; Hans Mikael,3,8,Dryft Sverige AB|Byggbolaget Källden & Granath AB|Saltispalatset invest AB
Dahlström Design AB,5565881330,2,66,Dahlström; Björn Håkan,5,5,Henrik Nygren Design AB|Dahlström Design AB|Articles Furniture Sweden AB|Fredrik Axelsson Design AB|AD Gunnar Ivarsson AB
Ls & Lz Entreprenad AB,5568943442,2,36,Lopez Lopez; Tamara Yeraldina,2,2,Lobos & Lopez Entreprenad AB|Ls & Lz Entreprenad AB
Henningssons Bygg AB,5569407009,2,60,Henningsson; Peter Mattias,1,1,Henningssons Bygg AB
Sustainable Innovation Of Scandinavia AB,5590935846,6,42,Söderby; Erik Olov Joakim,1,3,Sustainable Innovation Of Scandinavia AB
Sustainable Innovation Of Scandinavia AB,5590935846,6,42,Persson; Josefin Sara Johanna,1,1,Sustainable Innovation Of Scandinavia AB
IVY Agency AB,5567377154,2,44,Granström; Bengt Gustav,1,1,IVY Agency AB
IVY Agency AB,5567377154,2,44,Laufersweiler; Oscar Rickard,1,3,IVY Agency AB
Samkonsult Group AB,5567045561,3,34,Barikan; Mohammed Hamza,4,1,Samkonsult Group AB|Samkonsult AB|Sambuild AB|SamAcademy AB
Samkonsult Group AB,5567045561,3,34,Ehsanzamir; Siavash,4,1,Samkonsult Group AB|Samkonsult AB|Sambuild AB|SamAcademy AB
