company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Glass Monkeys AB,5590883202,2,36,Loks; Tomasz Edmund,2,0,Glass Monkeys AB|LOKS BYGG
Lundgrens Akustik AB,5590767207,2,58,Lundgren; Sven Thomas,1,3,Lundgrens Akustik AB
Tyresö Transport AB,5591361042,2,64,Svartling; Lelle Lennart Sven Olov,4,12,Tyresö Transport AB|Svenska Boprojekt AB|Guldspiken Aktiebolag|Guldhatten AB
PKB Sweden AB,5590470208,2,47,Björkeland Eriksson; Kent Arne,2,7,PKB Sweden AB|PKB Import Handelsbolag
Svensk Arbetsklättring AB,5568662711,2,59,Olandersson; Björn Erik Alfred,3,1,Arbetsklättring Norden AB|Svensk Arbetsklättring AB|Svensk Arbetsklättring
Alltilod AB,5590881255,3,48,Bodaghi; Ali,2,1,Gemgeo AB|Alltilod AB
Fabrilé AB,5569701328,2,59,Pyhäjärvi; Tuomas Petteri,2,7,Fabrilé AB|Tiny Media Production
Vendelsö Betonghåltagning AB,5568956774,2,51,Hammar; John Clarence,1,1,Vendelsö Betonghåltagning AB
Spirare Ventilation AB,5569496713,2,47,Kilman; Ronnie,13,11,Vivere Bygg & VVS AB|Frakka AB|Spirare Ventilation AB|Vivere Fastigheter AB|Vivere Properties AB|Vivere Uthyrning AB|Baan Thai AB|Vivere 01 AB|Patos Bygg & Entreprenad AB|Vendelsöhill AB|Fredhäll Skogslandet 3 Stockholm AB|Österåker Åkers-Åsättra 1:17 AB|Riddersvik kvarter 8 i Hässelby Villastad AB
Anders Johnsson Byggkontroll i Södertälje         Aktiebolag,5563732352,2,66,Johnsson; Anders Gustav,1,2,Anders Johnsson Byggkontroll i Södertälje         Aktiebolag
Infotech Access AB,5568739618,2,51,Haugen; Dag,1,7,Infotech Access AB
Bill & Bull Bygg och Måleri AB,5590854302,2,51,Rehak; André Lajos,4,12,André Konsulting AB|Bill & Bull Bygg och Måleri AB|André konsulting|Kohv AB
SSKB Mark Anläggning AB,5591146930,2,44,Jehan; Shah,1,3,SSKB Mark Anläggning AB
El & byggnischen Håkan Jansson AB,5568510738,3,49,Jansson; Sten-Håkan,2,1,Elmakarna Bylund AB|El & byggnischen Håkan Jansson AB
Nordbro i Stockholm AB,5564008364,2,63,Hellborg; Michael,1,6,Nordbro i Stockholm AB
Lindholms Måleri och Söner AB,5590366687,3,36,Lindholm; Leif Peter,1,1,Lindholms Måleri och Söner AB
Woolnut AB,5590503982,3,34,Lavin; Johan Erik Mikael,3,6,Technodrome Media AB|Sibirien Antik & Design AB|Woolnut AB
LVGM Byggservice AB,5590936711,3,48,Vornanen; Marko Juhani,1,1,LVGM Byggservice AB
Lingsmyre Bygg Mark & Transport LBMT AB,5567653018,2,46,Elovsson; Karl Johan Fredrik,2,2,Quick Seat Release Sweden AB|Lingsmyre Bygg Mark & Transport LBMT AB
63 El & Styrteknik AB,5591877583,2,33,Dahlberg; Christian Fredrik,2,2,C El & Styr AB|63 El & Styrteknik AB
63 El & Styrteknik AB,5591877583,2,33,Atternäs; Fredrik Gustav Lennart,3,1,IKASP Nätverkslösningar AB|63 El & Styrteknik AB|El & Styrteknik i Tyresö AB
Conall AB,5566389135,2,49,Rämö; Kimmo Ilari,1,2,Conall AB
PP-Design i Stockholm AB,5591574487,3,57,Hoff; Peter Michael,2,2,Peter Hoff Design AB|PP-Design i Stockholm AB
Menco AB,5567000053,2,45,Edman; Jens Anders Robert,3,6,Seqad Innovation AB|Innovationsforum i Järfälla AB|Menco AB
Sandin & Bülow Design Aktiebolag,5562406289,2,69,Bülow; Lars Ove Gösta,4,24,Sandin & Bülow Design Aktiebolag|Retrospective Scandinavia AB|Red Cup Games AB|Bostadsrättsföreningen Näktergalen 21
Aktiebolaget Novitas,5562532894,4,48,Junzell Månsson; Anna Maria,1,0,Aktiebolaget Novitas
Colora Måleri & Byggnads Aktiebolag,5563889491,2,74,Sic; Istvan Stefan,1,2,Colora Måleri & Byggnads Aktiebolag
Marcus Holm Schakt & Planering AB,5565953311,2,51,Holm; Per Marcus,1,1,Marcus Holm Schakt & Planering AB
LoftSweden AB,5591560650,4,52,Syrén; Johan Niclas,2,1,LoftSweden AB|LoftSweden Holding AB
AndrénFogelström AB,5590995683,4,38,Andrén; Moa Linnea,1,3,AndrénFogelström AB
AndrénFogelström AB,5590995683,4,38,Fogelström; Tove Sofia Fredrika,1,1,AndrénFogelström AB
RAILAB AB,5569831810,2,40,Petersson; Johan Björn,1,1,RAILAB AB
Tiler Stockholm AB,5591651996,2,27,Lukawski; Teodor Sebastian,2,0,Tiler Stockholm AB|City städ och bygg i söderort
ICR industri AB,5569898587,2,30,Njie; Ramatoulie,1,0,ICR industri AB
Armada Centrumfastigheter AB,5569369597,3,65,Tenselius Billborn; Thyra Lise-Lotte,9,4,Armada Fastighets AB|Armada Kommunfastigheter AB|Armada Bostäder AB|Österåkers Stadsnät AB|Österåkers Exploateringsfastigheter AB|Sågra Fastighets AB|Armada Blåljusfastigheter AB|Armada Centrumfastigheter AB|AB Åkers Kanal
Armada Centrumfastigheter AB,5569369597,3,65,Dahlberg; Mikael Lennart,9,7,Armada Fastighets AB|Armada Kommunfastigheter AB|Armada Bostäder AB|Österåkers Stadsnät AB|Österåkers Exploateringsfastigheter AB|Sågra Fastighets AB|Armada Blåljusfastigheter AB|Armada Centrumfastigheter AB|AB Åkers Kanal
Mr Urban AB,5590183744,2,30,Nyman; Max Urban,2,3,Mr Urban AB|Pär Nyman AB
LynxEye Labs AB,5591629778,3,51,Deinoff; Martin Leif,2,5,LynxEye Labs AB|Deinoff Consulting Aktiebolag
KSBI bygg garanti AB,5590620786,2,48,Kopinec; Eduard,1,0,KSBI bygg garanti AB
