company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Processkontroll GT AB,5567562540,4,57,Wideman; Erik Johan,5,1,Processkontroll PID AB|Processkontroll GT AB|Processkontroll Mekaniska i Stenungsund AB|Linder Medical Skärhamn AB|Affina AB
Arkitekterna Krook & Tjäder i Göteborg AB,5563408078,5,54,Andersson; Elin Margareta,3,1,DEFYRA Arkitekter Aktiebolag|Arkitekterna Krook & Tjäder i Göteborg AB|Earthbound Technologies AB
VBK Konsulterande ingenjörer AB,5566086103,9,48,Kjellman; Lars Ola,1,2,VBK Konsulterande ingenjörer AB
VBK Konsulterande ingenjörer AB,5566086103,9,48,Beets; Erik Christian,1,1,VBK Konsulterande ingenjörer AB
Brigo AB,5566283544,4,53,Ingvast; Sten Thomas,3,5,Brigo AB|Andinge AB|Inplastor AB
Byggnadsaktiebolaget Tornstaden Syd,5591424444,4,50,Olofsson; Erik Albert Harald,5,3,Byggnadsaktiebolaget Tornstaden|Byggnadsaktiebolaget Tornstaden Öst|Byggnadsaktiebolaget Tornstaden Syd|Vaxholm Kv Dykaren Ekonomisk förening|Tornstaden Bygg Holding AB
Byggspecialisten i Göteborg Aktiebolag,5567159115,3,59,Bratland; Magnus Christoffer,3,4,Ängspromenaden AB|Byggspecialisten i Göteborg Aktiebolag|NGB Utveckling AB
4D Bygg AB,5568490824,3,43,Nyman; John Fredrik,9,6,4D Bygg AB|Eco Foam i Sverige AB|Högberg Gillner Arkitektur AB|4D Utveckling AB|4D Group AB|4D Förvaltning AB|Långgatans smedja AB|Kolfiberförstärkning i Sverige AB|Sjömansgården i Göteborg AB
Boskalis Sweden AB,5562400050,3,50,Tomperi; Hannu Pekka,2,3,Terramare Oy; filial i Sverige|Boskalis Sweden AB
SLL Energi & Infrastruktur AB,5566571799,4,59,Johansson; Leif Erik,3,4,SLL Energi & Infrastruktur Group AB|SLL Energi & Infrastruktur AB|LL El o Linjeentreprenad Aktiebolag
SLL Energi & Infrastruktur AB,5566571799,4,59,Elofsson Waerner; Per Jonas,8,13,SLL Energi & Infrastruktur Group AB|SLL Energi & Infrastruktur AB|BNM Solutions AB|CoSafe Technology AB|Frändefors 1:226 AB|Tössedalen|JPE Capital AB|Bostadsrättsföreningen Hugin 16
CS Maskin i Göteborg AB,5567243091,5,51,Waern; Jens Peter Lennart,1,1,CS Maskin i Göteborg AB
Göteborgs Byggsystem AB,5591327308,5,53,Lindqvist; Johan Edvard,7,5,Göteborgs Byggsystem AB|Byggruppen Väst i Landvetter AB|Instö Hamn AB|Instö Marin AB|Byggruppen Väst i Landvetter Holding AB|Bergums Prästgård AB|Göteborgs Byggsystem Holding AB
Lindholmens Bygg i Göteborg AB,5567073043,2,35,Jonason; Olof Jerker,4,11,Lindholmens Bygg i Göteborg AB|Eriksbergs Holding AB|Hjuviks Fastighets AB|ALVIJO AB
Såg- & Betongborrning i Uddevalla Aktiebolag,5562264043,3,53,Qvarfordt; Kjell Urban,11,4,Idealbilar i Uddevalla AB|Såg- & Betongborrning i Uddevalla Aktiebolag|Såg & Betong Fastighets AB|Q - Mec Entreprenad och Förvaltning AB|KOMMANDITBOLAGET VIKTORSBERG 2|UMC Qvarfordt Förvaltning AB|Björbäck Förvaltning AB|Ideal Förvaltning i Uddevalla AB|Såg & Betong Förvaltning AB|UQ Finans AB|Q - Fastigheter AB
JÅLAB Bygg AB,5564332210,4,59,Karlsson; Martin Roger,5,2,JÅLAB Bygg AB|JÅLAB Projektutveckling AB|JÅLAB Construction AB|JÅLAB Holding AB|JÅLAB Entreprenad AB
Bergab-Berggeologiska Undersökningar Aktiebolag,5561732396,9,47,Karlsson; Hans Joakim,1,1,Bergab-Berggeologiska Undersökningar Aktiebolag
Bergab-Berggeologiska Undersökningar Aktiebolag,5561732396,9,47,Jansson; Krister Rune,2,4,Bergab-Berggeologiska Undersökningar Aktiebolag|H Konsult i Dalby AB
DC Wäst AB,5590044094,4,34,Westerberg; Claes Bertil,4,1,DC Wäst AB|Svetsmontage Fritsla AB|DC Wäst Holding AB|DC Wäst Fastigheter AB
Actemium Electro AB,5566013933,2,58,Klarén; Lars Jonas,4,1,Eitech Electro AB|Actemium Process AB|Actemium Electro AB|INAC Process AB
SMJ Entreprenad AB,5567861496,4,42,Hedberg Joelsson; Sven Magnus Marcus,6,6,SMJ Entreprenad AB|SMJ Byggservice Väst AB|Väne-Ryr Fastighet AB|Skogen 530 AB|Marcus Maskiner Vargön AB|MMD Import AB
ByggRex i Väst AB,5567519722,2,41,Olofsson; Mats Peter,4,0,ByggRex i Väst AB|Viddesgärdes Lantbruk & Entreprenad|Gamlestaden 79:5 Fastighets AB|Byggrex Holding AB
