company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Trigo Mätteknik AB,5591749691,3,54,Peters; Lars Boy Dennis,4,1,Salboheds Bygg och Anläggningstjänst AB|Palms Sprängtjänst Aktiebolag|Trigo Mätteknik AB|Dennis Peters Invest AB
Robin's VVS Service AB,5567400410,2,45,Alsbäck; Bengt Robin,1,1,Robin's VVS Service AB
Kolbäcks Måleriservice AB,5567282321,2,55,Pitkäkangas; Henri Erik,1,2,Kolbäcks Måleriservice AB
Ramcon AB,5568118730,5,50,Lindström; Pär Karl David,3,4,Förlunda Invest AB|NPC Holding AB|Ramcon AB
Mälark Aktiebolag,5562753987,3,52,Nordberg; Karl Anders,2,1,Mälark Aktiebolag|AN Landskap AB
ATB Entreprenad AB,5591553614,2,35,Berglind; Anders Thomas,1,0,ATB Entreprenad AB
SunStop AB,5569839623,2,37,Backman; Andreas Bertil,4,6,Basreklam Sverige AB|SunStop AB|Bostadsrättsföreningen Likströmmen 9|Engager AB
Malms VVS i Västerås AB,5569043226,2,33,Malm; Jan Henrik,1,0,Malms VVS i Västerås AB
S&G Installation AB,5568604630,3,47,Sundström; Hans Thomas,1,1,S&G Installation AB
S&G Installation AB,5568604630,3,47,Svenman; Jim Johan,1,3,S&G Installation AB
Nya Sala Måleri AB,5591587778,8,46,Olsson; Klas Magnus,2,2,Nya Sala Måleri AB|Sala Måleri AB
Lunds i Arboga fastigheter AB,5561678342,3,63,Lund; Hans Olof,40,44,Masmästaren Fastigheter AB|Byggnadsfirman Lund Aktiebolag|Asplunds i Örebro AB|Asplunds Fastigheter i Örebro AB|FinFast Aktiebolag|Marieborgs Lagerfastigheter i Arboga AB|Bostad Dalarna Förvaltnings AB|Läromästaren Fastigheter AB|Sturestadens Fastighets Aktiebolag|Masmästaren Konsult AB|Masmästaren Näktergalen AB|Masmästaren Lallarvet AB|Expect AB|Masmästaren Hus AB|Lunds i Arboga fastigheter AB|Seniorbostäder i Arboga AB|Lunds Fastigheter i Västerås AB|Lunds Fastigheter i Örebro AB|Norra skogen i Arboga Fastighets AB|Ekbackens Förvaltnings Aktiebolag|Lunds Gruppboende i Örebro AB|Masmästaren Fjärdingen AB|Örebro Mopsen 3 AB|O. Carlströms Aktiebolag|Örebro-Västmanlands Arkiv AB|Asplunds Parkering i Örebro AB|Kronomagasinet Fastighets AB|Moragatans Förvaltnings Aktiebolag|Lunds Förvaltning i Arboga AB|Prästtäkten Förvaltning AB|FinFast Parkering AB|Masmästaren Förvaltning AB|Lunds Fastigheter i Eskilstuna Aktiebolag|Sparta Operation AB|Verkmästaren Fastigheter AB|Masmästaren Skog AB|Gropgården Fastigheter i Arboga AB|HALU Förvaltning AB|Masmästaren Vitsippan AB|Hjälmarstadens Byggnads Aktiebolag
Malacon Infrastructure AB,5591674493,3,49,Gunstad Selin; Sara Elisabet,2,1,Naemi Invest AB|Malacon Infrastructure AB
