company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bärke isolering AB,5590545900,2,54,Andersson; Per Åke Stefan,2,1,Musnok Fastigheter AB|Bärke isolering AB
Mabergs All-Service AB,5569628331,2,47,Mabergs; Jens Joakim,1,1,Mabergs All-Service AB
Next Green AB,5590985585,3,44,Eriksson; Paul Kristoffer,2,9,Morchella AB|Next Green AB
VILLABODAL AB,5591667539,2,42,Johansson; Andreas,1,2,VILLABODAL AB
Dala El & Kraftmontage AB,5591820138,2,32,Wikström; Nils Jonas Kristoffer,1,0,Dala El & Kraftmontage AB
Infralink i Sverige AB,5591900914,3,34,Olivetti Jokiniemi; Marcus Angelo,2,2,Marcus Olivetti Infraprojekt AB|Infralink i Sverige AB
Sundborns El AB,5590393400,4,47,Finn; Nils Jörgen,1,1,Sundborns El AB
ÖSTERMALM'S Plåtslageri AB,5590692470,2,57,Göras Axner; Jari Tapani,4,2,JARIGÖR AB|ÖSTERMALM'S Plåtslageri AB|Goeras Football Education AB|Dalarnas Plåtslageri AB
Fast Mark Dalarna AB,5591044044,2,44,Fältsjö; Karl Erik Axel,3,1,Rökbacken AB|Fast Mark Dalarna AB|Jörgen Fältsjö AB
Tages Fasadmurning AB,5569976888,2,38,Pettersson; Jonny Tage Bertil,1,1,Tages Fasadmurning AB
Drake Projektledning AB,5569591604,2,56,Drake; Erik Olof Torbjörn,2,2,Drake & Westberg Projektledning AB|Drake Projektledning AB
Christer Sammils Sam Bygg Golv AB,5592060866,2,56,Sammils; Bengt Christer,8,7,Mälardalens Golv och Fastigheter AB|Christer Sammils Sam Bygg Golv AB|Dalälvens Bed & Breakfast AB|Christer Sammils Sam Bygg Group AB|HÅPPFULLT BOENDE DALARNA AB|Bostadsrättsföreningen Håppfullt boende Norberg 1|Hoppfullt Dalarna Holding AB|Bostadsrättsföreningen Håppfullt boende Avesta 1
B.O.R. All-bygg Aktiebolag,5562071422,2,69,Wallman; Bengt Tore Lennart,2,0,ENAVID AB|B.O.R. All-bygg Aktiebolag
Vogt Snickeri AB,5568195225,4,61,Vogt; Paul Martin,3,1,Vogt Snickeri AB|FMP Bygg o Gräv Handelsbolag|Vogt Förvaltnings Handelsbolag
Hanssons Lastmaskiner i Falun AB,5592061278,4,57,Hansson; Jan Karl Henrik,2,0,Hanssons Lastmaskiner i Falun Fastighets AB|Hanssons Lastmaskiner i Falun AB
Zetterström Kakel & Bygg AB,5590836341,2,37,Zetterström; Markus,1,0,Zetterström Kakel & Bygg AB
GRAMEK - Nilbild AB,5565121265,4,45,Imre Andersson; Maria Nil,2,3,GRAMEK - Nilbild AB|Vänliga Ord
GRAMEK - Nilbild AB,5565121265,4,45,Andersson; Sven Arne Bertil,1,4,GRAMEK - Nilbild AB
Swixtec AB,5591612709,3,39,Bergkvist; Lars Göran Edvard,2,7,SITEMEC AB|Swixtec AB
Swixtec AB,5591612709,3,39,Jäger; Martin Gerry Gustav,3,0,Swixtec AB|Dalakonsulterna AB|SWIX AB
Toivonen & Hagström Aktiebolag,5563771335,2,62,Hagström; Lars-Erik Tommy,1,1,Toivonen & Hagström Aktiebolag
VVS Gruvan i Borlänge AB,5565490165,3,52,Kaustinen; Ulf Viktor Tapani,3,15,VVS Gruvan i Borlänge AB|Kaustinen Förvaltning AB|Kakelgruvan i Borlänge AB
Gärdsjö Bygg AB,5591594691,3,39,Täpp; Jon Olof,1,0,Gärdsjö Bygg AB
Gärdsjö Bygg AB,5591594691,3,39,Täpp; Hans Tage,1,0,Gärdsjö Bygg AB
I Andersson Gräv & Schakt AB,5568134430,2,60,Andersson; Per Jan Ingemar,3,3,I Andersson Gräv & Schakt AB|Lyckåkers Schakt Aktiebolag|Ingemar Andersson Gräv o Schakt
A Isbergs Måleri AB,5591410997,3,36,Isberg; Hans Anders Inge,3,0,Anders och Jesper i Gustafs AB|Hans Isberg Invest AB|A Isbergs Måleri AB
Dalarnas Plattsättnings AB,5565235677,3,39,Gullberg; Arne Elof,1,1,Dalarnas Plattsättnings AB
Klingvalls schakt & entreprenad AB,5591238232,2,37,Klingvall; Marcus Anders Rikard,1,1,Klingvalls schakt & entreprenad AB
J Ö Service AB,5569513665,2,53,Öijermark; John Åke,3,1,Data-Planering Konsult Aktiebolag|J Ö Service AB|J.Ö. Service
Bygg & Fönstermontage i Dalarna AB,5591026744,2,45,Andersson; Stig Anders Wilhelm,3,2,Swe Tak Solceller AB|Andersson & Norberg AB|Bygg & Fönstermontage i Dalarna AB
Dalälvens Timmerhus AB,5569834988,2,59,Ondrejka; Dan Max Per,1,0,Dalälvens Timmerhus AB
Byggtjänst i Sälen AB,5568386535,2,42,Tors; Johan Henry,1,1,Byggtjänst i Sälen AB
Karl Mårtenssons Entreprenad & Rivning AB,5590658208,2,52,Mårtensson; Karl Ivar,3,4,Praphai Thai Food AB|US-Schakt|Karl Mårtenssons Entreprenad & Rivning AB
Karl Mårtenssons Entreprenad & Rivning AB,5590658208,2,52,Mårtensson; Robert Karl Heine,1,1,Karl Mårtenssons Entreprenad & Rivning AB
Kril AB,5569977860,2,46,Liljebäck; Sven Kristian Artur,2,1,Kril AB|Fundamentor AB
Mockfjärds Bygg AB,5568928179,5,48,Nilsson; David Arne Andreas,1,0,Mockfjärds Bygg AB
Mockfjärds Bygg AB,5568928179,5,48,Tysk; Kjell Mattias,1,0,Mockfjärds Bygg AB
G Hanes Bygg & Inredning AB,5569182040,3,47,Hane; Sven Göran,1,1,G Hanes Bygg & Inredning AB
MT Rail AB,5592027139,2,38,Koskinen; Mika Johnny Reino,1,1,MT Rail AB
Jens Karlsson Bygg AB,5569069239,2,56,Karlsson; Jens Erik Mikael,2,1,Jens Karlsson Bygg AB|Jens Karlsson Bygg
Jimmys El i Smedjebacken AB,5568423742,2,41,Eriksson; Lärkas Jimmy Nils Jonas,3,0,J & J Fastigheter i Dalarna AB|Jimmys VVS i Ludvika AB|Jimmys El i Smedjebacken AB
L-O Klahr Bygg Aktiebolag,5563003671,2,60,Klahr; Mait Inger Kristina,1,1,L-O Klahr Bygg Aktiebolag
Kol & Rosors Verkstad Aktiebolag,5567555387,3,41,Långberg; Inga Lise-Lott,2,3,Wictor Vall AB|Kol & Rosors Verkstad Aktiebolag
DALA Byggtjänst AB,5567452569,2,38,Vestberg; Gunnar Mattias,1,0,DALA Byggtjänst AB
Östbjörka Bygg AB,5569391856,2,65,Andersson; Djäken Göran Arvid,1,0,Östbjörka Bygg AB
