company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Cetemuko AB,5590260120,2,52,Dahlberg; Carl Magnus,6,5,carldahlberg fastigheter AB|Cetemuko AB|AD Support Sweden AB|Carl Dahlberg Help Supportcenter|RBB Consulting AB|Sven Dahlberg Förvaltnings AB
Nätfast AB,5591908941,2,31,Carlson; Emil Håkan Hjalmar,1,0,Nätfast AB
Joel Thorens Elektriska AB,5568932239,2,55,Thorén; Carl Joel,1,1,Joel Thorens Elektriska AB
ULC Engineering AB,5569966533,3,43,Svensson; Björn Rikard,4,2,ULC Engineering AB|ULC Glass Cube AB|Malolo AB|ULC Resources AB
Admida AB,5564950466,3,61,Rosvall; Petra Christina,5,5,Trade House Group Sweden AB|Awona AB|Awona B47:15 aktiebolag|Admida AB|HEPERO AB
Sjöbastun Invest AB,5590154760,2,60,Ahlander; Anders,3,5,Arnehjälpen AB|CamsWeb Solutions AB|Sjöbastun Invest AB
VästArkitekter Aktiebolag,5561164327,3,58,Dahlhielm; Jan Erik,1,2,VästArkitekter Aktiebolag
Bygg & Fastighetskonsult SBR Åke Nilsson AB,5568722770,2,73,Nilsson; Jan-Åke,2,8,Riksbyggen Bostadsrättsförening Ångaren Artemis|Bygg & Fastighetskonsult SBR Åke Nilsson AB
Baldursson Home AB,5569356206,2,63,Baldursson; Bragi Mar,3,13,Nr1 GREENDISPLAY Systems AB|Baldursson Home AB|B. BALDURSSON REKLAM
Black Badger AB,5591084743,2,42,Thompson; James William,2,2,Black Badger AB|Black Badger Advanced Composites
Tyrilux Aktiebolag,5561379768,3,46,nan,nan,nan,nan
Ti Pe Aktiebolag,5565181020,4,51,Järund; Pär Johan,11,8,Got Invest AB|Fiskaregården Investment AB|Fiskaregårdens Projektutveckling AB|Kommanditbolag Träflöjten|Ti Pe Aktiebolag|Fjällbacka Kök & Interiör AB|Fiskaregården Projekt Gulan AB|Badis i Fjällbacka Ekonomisk förening|JK Järund Holding AB|Fiskaregården Förvaltning AB|Bostadsrättsföreningen Leopold i Hjuvik
Dan Rahmqvist Aktiebolag,5563969723,2,74,Rahmqvist; Dan Stig Gustav,1,2,Dan Rahmqvist Aktiebolag
Bevo Bygg AB,5590469382,3,41,Björk; Dennis Per Arne,1,2,Bevo Bygg AB
Bevo Bygg AB,5590469382,3,41,Björk; Magnus Erik,1,1,Bevo Bygg AB
Viva Ocean Group AB,5590094941,2,45,Törnqvist; Sven Patrik,2,1,Björkö Hamn- och Fiskareförening                  Ekonomisk förening|Viva Ocean Group AB
E&L Bygg AB,5569812638,2,48,Suni; Ambrina,1,0,E&L Bygg AB
Jonas Olsson Style Lab. AB,5569317232,2,37,Olsson; Jonas Alexander,3,0,Nordisol Akustik i Göteborg AB|Trounce AB|Jonas Olsson Style Lab. AB
Robbies Golv AB,5591326292,2,44,Arnstål; Hans Erik Robbie,1,1,Robbies Golv AB
Altitude living AB,5569300378,2,34,Nylén; Alexander Sebastian,1,4,Altitude living AB
Stenhörning AB,5569111734,3,61,Hollén; Lars Mårten,1,1,Stenhörning AB
