company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Elselect AB,5566315056,2,46,Rosengren; Bengt Stefan,17,4,RSA Rosengren Consulting AB|Elselect AB|RSA Skåne Säkerhet AB|Dalby Strands Eltjänst AB|BAAB Security AB|RSA Skåne Syd AB|RSA VVS AB|Alouette Aktiebolag|MåPa AB|Lund Dioriten 3 Fastighets AB|Kumpana Invest AB|Servicepartner i Skåne AB|Stefan Rosengren Fastighet AB|Stefan Rosengren AB|Äppelhagen2012 AB|RSA Brandskydd AB|Stefan Rosengren Fastighet 2 AB
Elservice i Hälsingland AB,5569210189,2,40,Ellert; Per Hans Christian,3,1,C T Linjeservice i Bollnäs AB|Elservice i Hälsingland AB|Ellert Invest AB
Elservice i Trelleborg AB,5565359881,3,48,Larsson; Anders Morgan,4,1,Elservice i Trelleborg AB|Corryvrekan i Trelleborg AB|2M Rental AB|City EL Morgan Larsson AB
Elskarven i Funäsdalen AB,5567342745,2,46,Ramstedt Larsson; Lars David Abraham,2,7,Elskarven i Funäsdalen AB|Abraham i Bruksvallarna AB
Elspecialisterna i Eslöv AB,5567659445,3,50,Eliasson; Bengt-Åke Anders,2,4,Fastighets Aktiebolaget Concordia|Elspecialisterna i Eslöv AB
Elteam i Trollhättan AB,5566801816,3,57,Ölvne; Richard Andreas,5,4,Elteam i Trollhättan AB|Elteam i Trollhättan Service AB|Elteam i Trollhättan Mekaniska AB|A. Ölvne Förvaltning AB|Hojums Förvaltning AB
Elteam Svensson AB,5569080152,3,47,Svensson; Emil Sven Owe,1,2,Elteam Svensson AB
Eltec Köping AB,5562861558,2,66,Isaksson; Bo Anders Olov,4,2,Eltec Köping AB|AL Elkraftmontage AB|Isaksson Invest AB|Bostadsrättsföreningen Sigrun
Eltec Köping AB,5562861558,2,66,Tell; Leif Johan,2,1,Eltec Köping AB|Innehållsbyrå Tell AB
Eltek Entreprenad Sverige AB,5568413636,2,36,Gröhn; Marcus Jan Fredrik,2,1,Eltek Kraft & Montage Sverige AB|Eltek Entreprenad Sverige AB
Elteknik i Nässjö AB,5568100688,2,51,Särenborg; Håkan Roland,9,2,Svenska Elkedjan Aktiebolag|Nässjö Näringsliv Aktiebolag|Elteknik i Nässjö AB|Fastighetsteknik i Nässjö AB|Bluestone Fastighets AB|Centex El-Gross Aktiebolag|Höglandets Padelcenter AB|Stall Knight Handelsbolag|Emgus El & Fastighets AB
Elteknik L D i Östersund Aktiebolag,5566909668,3,45,Olsson; Lars Mikael,4,1,Elteknik L D i Östersund Aktiebolag|El-teknik i Bräcke AB|El-teknik förvaltning i Östersund AB|Elteknik Carl Einar Ohlsson Aktiebolag
Elteknik T. Mielonen Aktiebolag,5562053180,3,60,Mielonen; Anne Christina,2,0,Fastighets Aktiebolaget Armborstet|Elteknik T. Mielonen Aktiebolag
Elterm i Alingsås AB,5565304713,2,58,Andrén; Peter Joakim,1,4,Elterm i Alingsås AB
Eltjänst A.E. Gustafsson Aktiebolag,5560819129,4,57,Dalman; Per Niklas,2,1,Eltjänst A.E. Gustafsson Aktiebolag|DG i Åmål AB
Eltjänst i Bollnäs AB,5561271734,3,59,Andersson; Bert Anders Joakim,6,1,Eltjänst i Bollnäs AB|Bröderna Sandbäck Aktiebolag|JoAs Fastigheter AB|BAJA Energi AB|Sidnäs Ekonomiska Fastighetsförening              Ekonomisk förening|Sidnäs vattenledningsförening                     Ekonomisk förening
Eltjänst i Fjälkinge Aktiebolag,5565283008,5,43,Tell; Pär Anders Ingemar,2,2,Eltjänst i Fjälkinge Aktiebolag|Byggnadsbolaget Qbostaden Åhus AB
Eltjänst i Svanesund Aktiebolag,5562896380,4,48,Olin; Johan,1,2,Eltjänst i Svanesund Aktiebolag
Nordelektro Umeå AB,5562516939,3,51,Widestedt; Pär Åke,1,0,Nordelektro Umeå AB
Eltjänst i Ängelholm & Bjäre AB,5561051862,3,66,Sjöström; Stig-Bertil,2,0,Eltjänst i Ängelholm & Bjäre AB|Riksbyggen Bostadsrättsförening Jöns Möller
Eltrend AB,5569656464,4,53,Gunnar; Bo Martin Joacim,3,4,Bostadsrättsföreningen Fältspaten 2|Eltrend AB|eldesign i Varberg AB
El-Anderson i Vessigebro Aktiebolag,5563999951,2,49,Andersson; Anders Erik Bruno,4,1,El-Anderson i Vessigebro Aktiebolag|Alfshögs Förvaltnings Aktiebolag|Pensionat Ekholmen AB|Ullareds El AB
El-Arbeten Bjarne Olsson Aktiebolag,5561524488,3,73,Olsson; Bengt Erik Bjarne,1,0,El-Arbeten Bjarne Olsson Aktiebolag
El-Byggen i Stockholm Aktiebolag,5561377697,4,55,Gustafsson; Jan Anders,4,3,El-Byggen i Stockholm Aktiebolag|IN Stockholm Service AB|EL-Byggen i Stockholm Holding AB|Bostadsrättsföreningen Lingonrisgränd
El-Effekt System Service; EFS Aktiebolag,5564555851,4,55,Frykberg; Björn,3,2,El-Effekt System Service Fastighets AB|El-Effekt System Service; EFS Aktiebolag|El-Effekt System Service Holding EFS AB
El-Fast Göteborg AB,5567592059,2,55,Glans; Carl Johan Robert,1,0,El-Fast Göteborg AB
El-Finess Elinstallationer AB,5565621462,2,55,Johnsson; Lars Anders,3,14,El-Finess Elinstallationer AB|Kärralund Fastighets AB|Kärralund Investment AB
El-Fix Inge Sandström AB,5568586951,3,54,Sandström; Inge Rolf Daniel,1,2,El-Fix Inge Sandström AB
El-ljus i Uppland AB,5569040404,4,44,Ededahl; Kjell Henrik Elon,3,7,JOEL EDEDAHL RACING & FÖRSÄLJNING|El-ljus i Uppland AB|El-Ljus i Uppsala Aktiebolag
