company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Entreprenadallians i Mälardalen AB,5569441552,nan,nan,Urbom; Lars Anders,4,4,Birka Plåtslageri Produktion AB|Lars Urbom Projekt AB|Urbom Consulting AB|Urbehm Förvaltning AB
Sanis Bygg AB,5591228530,2,32,Aniszewski; Sylwester,4,4,Sanis Bygg AB|Generon-HUS AB|Sanis Fastighetsservice AB|Sanis Holding AB
GSB Entreprenad & Projektledning AB,5591103535,4,45,Johansson; Lars Niklas Ingvar,3,0,GSB Holding Sverige AB|Dressed for Tuesday AB|GSB Entreprenad & Projektledning AB
ÅF sandellsandberg arkitekter Aktiebolag,5564649308,4,58,Uebel; Joakim,25,36,ÅF sandellsandberg arkitekter Aktiebolag|Cresnia AB|BrickHouse Bostadsutveckling AB|sandell collection AB|Zencera Fastighetsförvaltning AB|Narva Konsult AB|Granängstorget nr 3 AB|Storsudrets Fastighetsutveckling AB|WeDo Effective Market Research in Stockholm AB|Linotech AB|Chelonia Fastighetsbyrå Aktiebolag|Glad Venture Aktiebolag|Sandell Sandberg AB|Bostadsrättsföreningen Klubbhusen 2|Bostadsrättsföreningen Solkatten i Katthammarsvik|Täbo hyresfastigheter AB|Sasacom AB|Diabilden Hyreslägenheter AB|Boris nr 8 AB|Diabilden AB|Arkitektbygger i Täby AB|Granängstorget nr 1 i Tyresö AB|BrickHouse Bostäder AB|Kulturhantverkarakademien AB|sandellsandberg fastigheter AB
Zenita Aktiebolag,5560906033,2,42,Lundgren; Lars Inge Roger,1,1,Zenita Aktiebolag
C.F. Møller Sverige AB,5565494712,7,48,Leringe; Klas Mårten,3,3,Sofia Leringe AB|Bostadsrättsföreningen Maria Prästgårdsgata 27|C.F. Møller Sverige AB
M.E.R Solution AB,5565273009,4,63,Bejdén; Cecilia Helena,3,6,Cecilia Bejdén Projekt AB|Obeon AB|M.E.R Solution AB
BJN Projekt AB,5568460504,2,53,Nylander; Bengt Jonas,4,6,BJN Projekt AB|Stom Konstruktion Södertälje AB|Anna Nylander AB|BJNH Nykvarn AB
Partnex AB,5591727945,2,52,Arengård; Jens Patrik,4,74,Partnex AB|3 Konsulter Lindstedt AB|Kompisfastigheter AB|Jorm Byggkonsult AB
GSCC Entreprenad AB,5568970437,3,37,Söderberg; Gustaf Marcus,7,44,GSCC Entreprenad AB|GSCC Maskiner AB|GSCC förvaltning AB|GSCC Parkering AB|GSCC Bro-Skällsta 1:169 AB|GSIC AB|GS Fastigheter AB
Infrakonsult Sverige AB,5566820493,3,50,Salvo Miranda; Salem Omar,5,5,Infrakonsult Sverige AB|Infrakonsult STHLM Nord AB|Infrakonsult STHLM Syd AB|Infrakonsult Gruppen Skandinavien AB|Infrakonsult STHLM Väst AB
Infrakonsult Sverige AB,5566820493,3,50,Aboudrar; Abderahim,4,9,Infrakonsult Sverige AB|Infrakonsult STHLM Syd AB|Infrakonsult Gruppen Skandinavien AB|Infrakonsult Mälardalen AB
Svensk Markentreprenad AB,5568919624,3,46,Mattsson; Anna-Karin,14,13,Boträsk Holding AB|Hallstaviks Schakt AB|Hallstaviks Entreprenad AB|Svensk Markentreprenad AB|AU Kross AB|Hallstaviks Mekaniska Maskinmontage AB|Boträsk Fastigheter AB|Lindblad & Mattsson fastighetsbolag AB|Solbacka Mitt AB|Lindblad & Mattsson bostad AB|Solsidan Holding AB|Lindblad & Mattsson AB|Backtorpshöjden 18 AB|Backtorpshöjden 20 AB
Polytan Scandinavia AB,5562526516,3,53,van Wijk; Frederik Antoine,1,1,Polytan Scandinavia AB
ETTELVA Arkitekter AB,5562987445,9,52,Karlsson Kazeem; Christina O R,4,4,Castellum Aktiebolag|ETTELVA Arkitekter AB|Millimeter Arkitekter AB|Creador AB
Codesign Sweden AB,5565613980,4,54,Carpner; Lars Johan,3,3,Codesign Sweden AB|Johan Carpner Design AB|JOHAN CARPNER DESIGN
TioTak AB,5590339874,3,50,Österberg; Tom Kenneth Eber,3,1,Värmepatrullen AB|TioTak AB|Auxilio Consulting AB
G:ssons El Aktiebolag,5563188191,3,48,Gustavsson; Nicklas Karl-Gunnar,6,12,G:ssons El Aktiebolag|G:ssons Trädgård & Markentreprenad AB|A N K Fastighets AB|ANK 2.0 Fastighets AB|Bjälkvägen 7 Fastighets AB|Fogdetorps El Aktiebolag
Nordic Infrapro AB,5590232780,3,59,Thulin; Jan Erik,3,5,SWECO Sverige AB|Nordic Infrapro AB|SWECO International AB
Y2 Anläggning AB,5566069471,2,64,Melander; Rolf,4,2,Y2 Anläggning AB|Fastigheten Intill AB|Fastigheten Upplaget AB|Y2 Förvaltning Aktiebolag
Demolit AB,5567871180,3,51,Cadenius; Tony Sebastian,4,3,Demolit AB|Cadenius Entreprenad AB|Cato Invest AB|Cawo Holding AB
ETCON El och Styr entreprenader AB,5565628228,6,46,Skoog; Mattias Bengt,5,17,ETCON El och Styr entreprenader AB|EtCon Fastighetsteknik AB|Etcon Automation AB|EtCon AB|Feel Free Annons & Design AB
