company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Entreprenad Aktiebolaget Stele,5560316217,2,74,Johansson; Karl Gustaf Martin,2,0,Entreprenad Aktiebolaget Stele|Entreprenad Aktiebolag STELE Förvaltning
Eriksson och Ahlqvist Fastigheter AB,5590732680,2,46,Eriksson; Pär Kennert,22,16,Eriksson och Ahlqvist Fastigheter AB|Ryssebacken Fastighets Aktiebolag|Eriksson och Ahlqvist AB|SEA TEKNIK AB|BPK Fastighets AB|EA Utveckling Calmarsundsparken AB|EA Utveckling Tullslätten AB|EA Utveckling Västerås AB|Bygg-Power Kalmar AB|Living in AB|Bostadsrättsföreningen Snäckan Oskarshamn|Bostadsrättsföreningen Gården Västerås|EA Utveckling Gården Västerås AB|EA Utveckling Oskarshamn Norrtorn 87 AB|Bostadsrättsföreningen Solsticksvägen             i Västervik|EA Projektering AB|Fastighetsbolaget Vasatomten AB|Eriksson och Ahlqvist Exploatering AB|EA Utveckling Tungelsta AB|Eriksson & Ahlqvist Holding AB|Eriksson och Ahlqvist Exploatering 2 AB
Eriksson och Ahlqvist Fastigheter AB,5590732680,2,46,Ahlqvist; Per Erik Daniel,24,40,Eriksson och Ahlqvist Fastigheter AB|Ryssebacken Fastighets Aktiebolag|Eriksson och Ahlqvist AB|SEA TEKNIK AB|Handelshuset P&E AB|Slipen i Västervik AB|EA Utveckling Calmarsundsparken AB|EA Utveckling Tullslätten AB|Piperskärr Bostad AB|Nykulla Fastighets Aktiebolag|EA Utveckling Västerås AB|Living in AB|Bostadsrättsföreningen Gården Västerås|Bostadsrättsföreningen Solsticksvägen             i Västervik|EA Utveckling Gården Västerås AB|Fastighetsbolaget Vasatomten AB|Eriksson & Ahlqvist Holding AB|Bostadsrättsföreningen Riddaresporren i Kalmar|Eriksson och Ahlqvist Exploatering 2 AB|EA Utveckling Tungelsta AB|Eriksson och Ahlqvist Exploatering AB|EA Projektering AB|Bostadsrättsföreningen Snäckan Oskarshamn|EA Utveckling Oskarshamn Norrtorn 87 AB
IBS Byggnadsställningar AB,5564263241,2,45,Asp; Pär Daniel,9,4,DAP Fastigheter AB|IBS Byggnadsställningar AB|IBS i Kalmar Län AB|IBS i Göteborg AB|IBS i Östergötland AB|Björröds Fastigheter AB|Hwita 7 AB|DA1 AB|DA2 AB
Mörebyggarna AB,5590190848,4,46,Andersson; Arne Carl Henrik,2,1,Mörebyggarna AB|Henkes Mur & Bygg AB
Sandbäckens Rör i Kalmar AB,5590185681,5,52,Jonsson; Christer Mikael,1,2,Sandbäckens Rör i Kalmar AB
IBS i Kalmar Län AB,5591411136,3,55,Nilsson; Robert Mattias,3,0,IBS i Kalmar Län AB|StällningsGruppen i Götaland AB|Maniro Invest AB
Takteam i sydost AB,5590011127,4,30,Lansdowne; Billy Daniel Anders,7,4,Takteam i sydost AB|Lillegårds Förvaltning i Kalmar AB|Billy Lansdowne i Kalmar AB|Nomile AB|Smart Lokal Sydost Holding AB|Solarteam Sweden AB|Smart Lokal Sydost AB
Takteam i sydost AB,5590011127,4,30,Cansund; Anton Martin David,5,4,Takteam i sydost AB|Lillegårds Förvaltning i Kalmar AB|Solarteam Sweden AB|Smart Lokal Sydost Holding AB|Smart Lokal Sydost AB
Rör-Karlsson Aktiebolag,5560681925,3,61,Fleetwood Karlsson; Eva Doris Iréne,2,2,Rör-Karlsson Aktiebolag|Oknö rör Aktiebolag
K-V Bygg Kalmar-Öland AB,5569365652,4,48,Sjöström; Carl-Evert Gustaf,5,2,K-V Bygg Kalmar-Öland AB|K-V Bygg Kalmar-Öland Fastigheter AB|K-V Bygg Kalmar-Öland Holding AB|Vångerslät AB|K-V Kalmar Fastigheter AB
Ostkustens Riv & Sanering AB,5567331185,2,49,Strand; Mats Fredrik,2,3,Ostkustens Riv & Sanering AB|Ostkustens Riv & Sanering i Oskarshamn AB
Blue Partner AB,5590301890,3,46,Ragnarsson; Sven Thomas,3,4,Blue Partner AB|Blue Partner Group AB|Blue Partner Holding AB
Telecenter i Oskarshamn AB,5564987120,4,41,Eos; Karl Robert Kristian,2,4,Telecenter i Oskarshamn AB|Eos Computer Games
Brand & Riskanalys - Aspegren Widlind AB,5565103818,6,42,Aspegren; Bo Ingemar,3,1,Brand & Riskanalys - Aspegren Widlind AB|I.A & M.W Holding AB|Kvarnvingen AB
Atrio Arkitekter Kalmar Aktiebolag,5565274197,6,50,Lunde; Johan Fredrik,3,5,Atrio Fastigheter AB|ÖLANDesign - På alvar och lek AB|Atrio Arkitekter Kalmar Aktiebolag
Solortus AB,5569097909,2,39,Rosenblad; Lisa Martina,1,3,Solortus AB
Nybro Golv Aktiebolag,5563333383,3,58,Engdahl; Jan Christer,4,0,Nybro Golv Aktiebolag|Miljöhuset i Nybro Aktiebolag|K-E Engdahl & Söner AB|Bröderna Engdahl Golv AB
Lundblads Måleri Aktiebolag,5561582411,3,52,Berggren; Jan Mikael,3,0,Lundblads Golv i Västervik AB|Lundblads Golv AB|Lundblads Måleri Aktiebolag
LJ Dunö AB,5566258223,3,52,Lindell; Jonas Urban,3,7,Verkmästaren i Kalmar AB|Skärbrädan i Kalmar AB|LJ Dunö AB
Triator Elinstallationer AB,5565781340,4,50,Lindberg; Per Jonas Mikael,2,0,Triator Elinstallationer AB|Jonas Lindberg Consulting AB
Losshållningsbolaget i Sverige AB,5590694732,2,59,Karlsson; Robin Emanuel,5,21,Uppländska Bergborrnings Aktiebolaget|Losshållningsbolaget i Sverige AB|Bergsprängningsentreprenörerna i Sverige          Ekonomiska förening|Sonny Mark och Anläggning AB|Robin Mark & Anläggning AB
Polyform Specialsnickerier AB,5565649554,2,65,Hoffstedt; Lars Johan Henrik,5,1,RM Snickerier Aktiebolag|Roxx Communication Group AB|Roxx Produktion AB|Polyform Specialsnickerier AB|Roxx Webb AB
Nybro Måleri Aktiebolag,5562456359,3,59,Venturi; Tomas Domenico,5,1,Måleriföretagen i Sveriges Serviceaktiebolag.|Nybro Måleri Aktiebolag|Miljöhuset i Nybro Aktiebolag|Måleriföretagen i Sydost Serviceaktiebolag|Tomas Venturi AB
Mark och Kabelservice i Kalmar AB,5568366214,3,48,Sundqvist; Magnus,2,3,Mark och Kabelservice i Kalmar AB|MKS Holding i Kalmar AB
Värme & Sanitet Agne Palmér Aktiebolag,5560894627,2,41,Eek; Peder Mattias,2,2,Värme & Sanitet Agne Palmér Aktiebolag|M. Eeks Rör AB
Tecomatic Entreprenad AB,5563806420,5,53,Svensson; Torbjörn,4,6,Tecomatic Entreprenad AB|Tecomatic Holding AB|Modern Marine Homes Sweden AB|Tecomatic Intressenter AB
Happify Communication AB,5564434289,3,59,Look; Carl-Johan Stefan,5,5,Happify Communication AB|Happify 016 AB|Agocs Consulting AB|Ledning & Ledarskap Look AB|Happify Content AB
Jontes El och Fastighetsbolag AB,5567991756,2,48,Karlsson; Kenneth Jonatan Mathias,2,2,Åkerbo El och Måleri AB|Jontes El och Fastighetsbolag AB
Mark & Trädgård i Trekanten AB,5567258776,3,56,Svensson; Lennart Michael,1,5,Mark & Trädgård i Trekanten AB
Rörsvetsarna i Mönsterås Aktiebolag,5564927167,4,56,Persson; Cecilia Anna-Maria,3,0,T. Pernius Transport AB|Rörsvetsarna Persson i Mönsterås AB|Rörsvetsarna i Mönsterås Aktiebolag
Rörsvetsarna i Mönsterås Aktiebolag,5564927167,4,56,Persson; Johan Mikael,2,0,Rörsvetsarna Persson i Mönsterås AB|Rörsvetsarna i Mönsterås Aktiebolag
Kalmargården Projekt AB,5591135537,3,49,Svensson; Simon Karl Arne,16,16,Kalmargården Projekt AB|VS-Installation i Kalmar AB|Kalmargården 5 AB|Kalmargården 9 AB|Kalmargården 10 AB|Kalmargården 11 AB|Kalmargården 12 AB|Kalmargården AB|Kalmargården Holding AB|Kalmargården Holding 3 AB|Kalmargården 8 AB|Kalmargården Holding 2 AB|Skorstensseglaren AB|Kalmargården Group AB|SiSv Konsult AB|Bostadsrättsföreningen Näckrosen 14 i Kalmar
KYL-BERGMAN LENNART Aktiebolag,5563628477,2,54,Bergman; Jonas,2,2,KYL-BERGMAN LENNART Aktiebolag|JBTB Fastighets AB
Byggnadsfirma Per Ahlquist i Färjestaden AB,5566414180,2,44,Ahlquist; Per Fritz Tommy,1,1,Byggnadsfirma Per Ahlquist i Färjestaden AB
Takrekond i Kalmar AB,5568015449,3,51,Jansson; Nils Karl Roland,4,3,Takrekond i Småland AB|Takrekond i Kalmar AB|Rekond Fastigheter AB|Rekond Holding i Småland AB
Takrekond i Kalmar AB,5568015449,3,51,Ax; Jan Niclas,2,3,Takrekond i Småland AB|Takrekond i Kalmar AB
Krafslösa Plåt AB,5568743008,2,41,Stjärndahl; Lars Johan Åke,3,0,Krafslösa Invest AB|Krafslösa Fastighet AB|Krafslösa Plåt AB
Kalmar FF Event AB,5566932488,9,49,Rosenlund; Markus Kurt Niklas,1,8,Kalmar FF Event AB
