name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
Hallins Måleriservice i Jönköping AB,5566788161,4,48,nan,nan
Hallqvist Entreprenad AB,5590383062,2,50,nan,nan
Hallsta Industrirör AB,5568899859,2,57,nan,nan
Hallsta Installationsbyrå Aktiebolag,5561723825,2,49,nan,nan
Hallstahammars Sprängtjänst Aktiebolag,5561782268,3,66,nan,nan
Hallstaviks VVS; Stefan Larsson Aktiebolag,5565447462,2,49,nan,nan
Halltorps Entreprenad AB,5566296447,2,45,nan,nan
Hallås Trä & Entreprenad AB,5566414404,2,51,nan,nan
Halmstad Fogservice AB,5565642781,4,45,2,0
Halmstad Industri El AB,5566852389,3,55,4,3
Halmstad Låsservice Aktiebolag,5561278937,2,52,10,18
Halmstad Snickarteam AB,5565523981,2,52,nan,nan
Halmstad Tönnersjö Golfbana AB,5566099874,5,61,2,2
Halmstads Plattvärmeväxlarservice AB,5569642027,2,52,nan,nan
Halmstads Stenhus AB,5567648323,3,51,nan,nan
Halmstads Västplåt AB,5590160825,4,50,9,9
Halna Bygg & Maskin AB,5568070931,2,42,nan,nan
Halor Sverige AB,5569260564,3,42,1,2
Hama Entreprenad AB,5568540305,2,43,nan,nan
Hamarx Bygg & Inredning AB,5566572177,4,58,nan,nan
Hamdot Bygg AB,5568668494,2,59,nan,nan
HaMi Plåt & Vent Aktiebolag,5564523453,3,44,nan,nan
Hamiltone AB,5590169941,2,41,nan,nan
HamLand Byggnads Aktiebolag,5564534500,2,59,nan,nan
Hammar VVS Teknik AB,5568222102,2,63,1,1
Hammarby bygg & konsult AB,5565974101,2,49,nan,nan
Hammarby Construction Holding AB,5590348982,2,59,nan,nan
Hammarby Sjöstad Förvaltnings Aktiebolag,5562747377,2,59,nan,nan
Hammarbystrands Lantbruk AB,5565279261,2,45,nan,nan
KM VVS & BYGG AB,5566055728,2,45,2,4
Hammarlund Bygg Entreprenad AB,5562674308,2,45,1,9
Hammarlund Måleri & Kakel AB,5567407589,2,61,nan,nan
Hammarskog Bygg i Eskilstuna AB,5569701039,3,55,1,0
Hammarsleven AB,5568070923,2,45,nan,nan
Hammarstedts VVS Eftr. AB,5569033458,5,55,nan,nan
Hammarstrands Bygg AB,5567471908,2,49,nan,nan
Hammarströms Entreprenad AB,5567101794,3,31,nan,nan
