company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Reine Ketola & Alexandra Projekt AB,5567892244,2,48,Ketola; Kenth Reine,3,10,Alexandra och Reine Ketola Projekt AB|Jarema Kommanditbolag|Reine Ketola & Alexandra Projekt AB
JK Golvservice AB,5590825930,2,41,Melgar Rojas; Jesus Napoleon,1,0,JK Golvservice AB
DAMAG AB,5590206859,2,34,Qasim; Reza Basem,3,3,Nordkraft AB|DAMAG AB|Amea bygg & projektledning
Storstockholm Lås & Säkerhet AB,5590409057,2,50,Bahri; Mounir,1,2,Storstockholm Lås & Säkerhet AB
Motus Envi AB,5569169518,3,33,Östlund; Nils Oskar Andreas,5,15,Isoleringslandslaget AB|Motus Envi AB|Östfast AB|HULDAB AB|Lovelly AB
Rinkeby Glas & Lås AB,5568872120,2,23,Dison; Dikran Dick,3,6,Partnergruppen Gratia AB|Rinkeby Glas & Lås AB|Rinkeby Glas & Lås Handelsbolag
Rinkeby Glas & Lås AB,5568872120,2,23,Dison; Joy Esther Manush,2,1,Partnergruppen Gratia AB|Rinkeby Glas & Lås AB
Michal P Arkitekter Aktiebolag,5565729695,2,62,Prusakiewicz; Michal,3,3,Tenniskompaniet JG AB|NCT Development AB|Michal P Arkitekter Aktiebolag
Roslagens Ventilation och Isolering AB,5567718530,2,48,Haag; Jan Erik,2,5,Roslagens Ventilation och Isolering Handelsbolag|Roslagens Ventilation och Isolering AB
Miljönära 08 AB,5567149561,4,50,Johansson; Ulf Sigvard Bertil,1,1,Miljönära 08 AB
Alcons Byggentreprenad AB,5569632473,3,50,Rönnberg; Leif Arne Johannes,3,6,Alcons Byggentreprenad AB|Stall C.K. Handelsbolag|Alcons Balkongentreprenad AB
Alcons Byggentreprenad AB,5569632473,3,50,Serban; Nicolae,1,1,Alcons Byggentreprenad AB
El och Scenteknik Svenska Aktiebolag,5564786241,2,43,Bill; Anders Hakvin,3,4,The Fiction House Stockholm AB|El och Scenteknik Svenska Aktiebolag|A. BILL ELEKTRONIK
Novi Bygg & Snickeri AB,5590405311,2,42,Dajic; Sandra,2,0,Novi Bygg & Snickeri AB|DAI Konsult
JY Koncept Måleri AB,5566969159,2,46,Yonetake; Daniel Joakim,2,2,JY Koncept Måleri AB|AndeVerket Handelsbolag
Studio RAM AB,5590908769,2,54,Ramirez; Ariel Jaime Arne Ludovico,1,2,Studio RAM AB
Calega AB,5568960214,2,54,Olsson; Joakim Robin Thom,2,5,Caisa Linde AB|Calega AB
Larm och Tele Elteknik i Botkyrka AB,5569944720,2,56,Larsson; Kicki Eva Annika Elisabet,1,3,Larm och Tele Elteknik i Botkyrka AB
Larm och Tele Elteknik i Botkyrka AB,5569944720,2,56,Larsson; Per Ragnar,1,3,Larm och Tele Elteknik i Botkyrka AB
Ulla Sjöström Måleri Aktiebolag,5564362761,2,68,Johansson; Hans Kenneth,2,1,Bostadsrättsföreningen Lättviktaren 27|Ulla Sjöström Måleri Aktiebolag
2MABYGG AKTIEBOLAG,5569267577,4,56,Törmänen; Teuvo Tapani,1,0,2MABYGG AKTIEBOLAG
2MABYGG AKTIEBOLAG,5569267577,4,56,Törmänen; Markku Antero,1,0,2MABYGG AKTIEBOLAG
Hedins Måleri AB,5566768502,2,48,Hedin; Christer Michael Teodor,2,1,CH Entreprenad|Hedins Måleri AB
Prolegro Mark AB,5563767358,2,59,Utterberg; Johan Ernie Agne,11,8,HAZA AB|LindePac AB|Grustagsvägen 6 AB|Älta Däck & Motor AB|Brodalinde AB|Prolegro Mark AB|Utterberg & Partners AB|Mandevo Affärsledning AB|MHF Sverige AB|Utterberg Holding AB|Maritime Contractors Sweden AB
Ringens Rör AB,5561220426,2,52,Norin; Per Niklas,2,1,Norin Wahlberg VVS AB|Ringens Rör AB
Frank Etc. AB,5564856788,2,57,Frank; Nikolaus Per Johann,1,1,Frank Etc. AB
Bingo bygg AB,5591002083,2,41,Andrejev; Aleksei,2,0,Bingo bygg AB|LEKS RÖR MONTAGE
Lerhaga teknik AB,5569254583,2,53,Lagerroos; Hans Peter,4,1,Lerhaga teknik AB|Psykolog Peter Lagerros Aktiebolag|Ittner Sofia Lagerroos Joel AB|Peter Lagerroos Konsult AB
Lerhaga teknik AB,5569254583,2,53,Lord; John André,1,0,Lerhaga teknik AB
