company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bolaget NQAC AB,5590699921,2,53,Lindqvist; Hans Grim,1,5,Bolaget NQAC AB
Ljungheden Company AB,5569592438,2,45,Jansson; Mattias Rickard,4,2,Ljungheden Construction AB|LBM Construction AB|Ljungheden Company AB|Västerviks Företagsgrupp Ekonomisk förening
P&E Samhällsfastigheter AB,5591161194,3,65,Thiman; Jesper Karl-Johan,15,11,Anafor Måsnaryd Södertälje AB|Fallfrukten i Flen AB|P&E Samhällsfastigheter AB|Jkpg Property AB|P&E Vet Property AB|Anafor Villastaden Nyköping AB|Thiman Trading AB|Anafor Fastigheter Holding AB|Fastighets AB Stenkärnan|Thiman Holding AB|P&E Vet Prop Holding AB|Anafor Fastigheter AB|Anafor Invest Holding AB|TP Fastighetsutveckling AB|Bolagsutvecklarna i Kalmar AB
Digibygg i Sverige AB,5568053382,3,37,Bergström; Per Fredrik,4,0,Digibygg i Sverige AB|Mönsterås Padelcenter AB|Mönsterås Padel Invest AB|Bergström/Persson Invest AB
Infrahubs Entreprenad AB,5591975270,2,46,Ekberg; Åke Andreas,16,18,Royal Design Group Holding AB|Royal Design Group AB|RD Nacka Forum AB|RD Kungens Kurva AB|RD Kristianstad AB|Cellsafe Europe AB|XternCap AB|Infrahubs AB|HVBL Holding AB|Ekberg Holding AB|HVBL Vilhelm Estates AB|Bostadsrättsföreningen Svensknabben i Kalmar|Fastighet RDG AB|Fastighets AB Svensknabbevägen 17|Öland Padel Club AB|Infrahubs Entreprenad AB
Trångsvikens Bygg Aktiebolag,5563688471,3,50,Bernhardsson; Ulf Sune,25,28,Björkforsen AB|Trångsvikens Bygg Aktiebolag|Fallmorans Lägenheter AB|Skalshöjdens Pensionat AB|Bernhardsson Levander AB|Hotel Hovde AB|Gästservice i Vemdalsskalet AB|Bostadsrättsföreningen Kvarnbäcksfallet|Ulf Bernhardsson AB|TVB Holding 2 AB|Bostadsrättsföreningen Högsta Lägdan|Skalshöjdens Projektholding AB|Ulf Bernhardsson Holding AB|Lägdan Exploatering AB|Bostadsrättsföreningen Klockarfjällsvallen 2|Bostadsrättsföreningen Klockarfjällsvallen|Näverån Invest AB|Bostadsrättsföreningen Sätervallen i Ramundberget|TVB Holding 3 AB|Skalshöjdens Försäljnings AB|VK 54:62 AB|Sune Bernhardsson Holding AB|Ulf och Sune Bygg AB|TVB Holding 4 AB|Bernhardsson Levander Holding AB
Treeab Bygg i Östersund AB,5566086376,4,55,Axne; Claes Olof,8,5,Treeab Bygg i Östersund AB|BJS Utvecklings AB|Björnrike Syd Lift AB|Björnrike Syd Hotellfastighets AB|Slottsfru AB|Björnrike Syd Holding AB|Axne Invest AB|Bostadsrättsföreningen Björnbäret
NymanWänseth Byggmästare AB,5567034987,3,57,Nyman; Nils-Åke,5,3,Heving & Hägglund Förvaltnings AB|Heving & Hägglund AB|NymanWänseth Byggmästare AB|Nils Nyman Förvaltning AB|Bostadsrättsföreningen Villa Tegenova
Markentreprenader i Östersund Aktiebolag,5563257376,3,56,Olofsson; Bengt-Erik Valter,8,6,Markentreprenader i Östersund Aktiebolag|KROKOMSBOSTÄDER Aktiebolag|Odins Åkeri Aktiebolag|Markentreprenader Uthyrning i Valne AB|Jämtidrottshallen i Ås AB|Frank Invest AB|Nilsson Invest i Offerdal AB|Markentreprenader Förvaltning i Valne AB
Toréns Entreprenad i Östersund AB,5565227864,2,59,Torén; Håkan Kristoffer,14,17,Torén Holding AB|Toréns Entreprenad i Östersund AB|Toréns i Åre AB|Härberget 4 i Östersund AB|Toréns H Maskin i Östersund AB|Sandnäset Sjöstad Utvecklings AB|Toréns Fastigheter AB|Toréns Garage AB|Toréns Fritid AB|Sandnäset 48 Ek. för.|Toréns Evolution AB|Toréns Utvecklings AB|Norra Åsvägen 93 Fastigheter AB|Österkilen Dvärsätt AB
Miljöteknik Byggentreprenader MT AB,5561666123,3,45,Molander; Kjell Daniel,2,2,Välje Invest AB|Miljöteknik Byggentreprenader MT AB
Safety Solutions Jonsereds AB,5569162620,3,53,Forsén; Anders Åke,3,12,Safety Solutions Jonsereds AB|Forsén Affärsutveckling AB|Forsén Förvaltning i Uppsala AB
K M Pavo Bygg AB,5566288071,2,53,Larsson; Kjell Gunnar,5,17,K.G. Larsson Invest AB|K M Pavo Bygg AB|Z-Borr AB|KM Entreprenad AB|K.G.L. Fastigheter AB
Överbygg Sverige AB,5569563496,3,51,Wiesner; Nils Cristian,6,2,Överbygg Sverige AB|Åre Jord & Bord AB|Wiesner Projekt AB|Exploateringsbolag 9394 AB|Mountainfluencer AB|Bostadsrättsföreningen Övre Björnbyn 3
Industrianläggningar i Norrland AB,5564317609,4,52,Olovsson; Marcus Gunnar,6,6,Industrianläggningar i Norrland AB|Bostadsrättsföreningen Bryggaren 4|Indotria AB|Industrianläggningar i Norrland Holding AB|KNOG AB|Bostadsrättsföreningen Villa Tegenova
Attacus Terramover AB,5567558456,4,50,Karlsson; Carl Michael,4,3,Attacus Terramover AB|Karlsson i Bledäng Fastigheter AB|Karlsson i Bledäng AB|Attacus Terramover Holding AB
Attacus Bygg AB,5566153259,4,59,Mooe; Lars Gunnar,5,12,Attacus Invest AB|Attacus Bygg Väst AB|Attacus Bygg AB|Attacus Stål & Smide AB|Attacus Entreprenad Stockholm AB
EAG Entreprenad Aktiebolag,5563971679,4,48,Nilsson; Anders Erik Hjalmar,2,0,EAG Entreprenad Aktiebolag|Sörehill Mark & Skogsfastigheter AB
Pilgrimsta Hus Bygg AB,5565606430,2,51,Gustafsson; Mats Robert,7,6,Pilgrimsta Hus Bygg AB|Pilgrimsta Fjällhus 1 AB|Pilgrimsta Fastigheter AB|Bruksvallarna by Holding AB|Björkvistet i Bruksvallarna AB|Byn i Bruksvallarna AB|Pilgrimsta Hus Bygg Invest AB
OVAB Optimal Ventilation AB,5568061310,4,43,Eriksson; Jimmy Peder,6,1,Miljöventilation i Mellannorrland AB|OVAB Optimal Ventilation AB|Jämtdriv AB|Hoverbergets Fastigheter AB|Jämtvidden AB|Thetil AB
Totalbyggaren i Jämtland AB,5568353618,2,53,Sandström; Per Niclas,2,0,Totalbyggaren i Jämtland AB|Byggresursen Entreprenad i Jämtland AB
Stureplansgruppen Projekt AB,5565992913,3,44,Svensson; Erik Jesper,2,4,Stureplansgruppen Projekt AB|Klippviken Projekt AB
Rör-Teknik Energi i Östersund Aktiebolag,5562309616,2,49,Ågren; Magnus Viktor,6,9,Rör-Teknik Energi i Östersund Aktiebolag|Rörteknik Energi i Åre AB|Aqua Energiborrning i Jämtland AB|Y-ZÄTA Rör & Vent Aktiebolag|Stuguns VVS Aktiebolag|Magnus Viktor AB
Marklunds El AB,5565455457,3,55,Andersson; Olof Stefan,5,9,Installatörsföretagen Service i Sverige AB|Marklunds El AB|Marklunds Service AB|Marklunds Invest i Östersund AB|Wanbetec Invest AB
Målarkompaniet i Östersund AB,5567261960,4,55,Olsson; Pål Ronny Patrik,4,7,Målarkompaniet i Östersund AB|Stall Marw Handelsbolag|PJP Holding AB|HSB Bostadsrättsförening Kaptenen i Östersund
Z-Borr AB,5566140512,2,48,Halle; Magnus Erling Christoffer,1,0,Z-Borr AB
Östersunds Värme & Kylteknik Aktiebolag,5564433901,3,67,Bergström; Bengt Patrik Asbjörn,4,2,Östersunds Värme & Kylteknik Aktiebolag|Handelsbolaget Alfred Elowsson|Värme och Kylteknik i Jämtland AB|Värme och kylteknik i Härjedalen AB
Marklunds Service AB,5567389050,3,55,Eriksson; Lars-Erik,4,3,Marklunds El AB|Marklunds Service AB|Marklunds Invest i Östersund AB|Lars-Erik Eriksson i Österböle AB
KM Entreprenad AB,5591629190,2,52,Ångström; Pär Roland,1,1,KM Entreprenad AB
SpiceTec Sweden AB,5568084296,5,66,Lundmark; Knut Helge Micael,3,7,SpiceTec Sweden AB|HockeyPractice Sweden AB|MOGUL
Åke Abrahamsson Bygg AB,5566637277,4,62,Abrahamsson; Per Olof Magnus,1,1,Åke Abrahamsson Bygg AB
Vemhus Bygg Aktiebolag,5563580710,3,47,Westfält; Karl Gunnar Magnus,2,7,Vemhus Bygg Aktiebolag|Hovde Linbana Vemdalsskalet AB
PÅ Montage AB,5590757265,2,43,Ångman; Pierre Thorbjörn,1,1,PÅ Montage AB
Offerdals Gräv o Transport Aktiebolag,5564013802,2,57,Jönsson; Hans-Olov Anders,4,2,Offerdals Gräv o Transport Aktiebolag|Bröd. Bäckvalls Åkeri Kommanditbolag|Offerdals kök och catering Kommanditbolag|OGT Förvaltning AB
N.O Sjöstedt Entreprenad Aktiebolag,5564714359,3,59,Sjöstedt; Nils Olof,5,5,Aspsjö Entreprenad AB|N.O Sjöstedt Entreprenad Aktiebolag|JV Heating AB|Nils Olof Sjöstedt|N.O Sjöstedt Förvaltnings AB
J & E Pettersson Transport i Stugun AB,5566080353,2,35,Pettersson; Erik Örjan,3,0,J & E Pettersson Transport i Stugun AB|J & E Pettersson Holding i Stugun AB|J&E Pettersson Åkeri i Stugun AB
Norrlands Constructions Bygg & Mark AB,5567435424,2,34,Nilsson; Peter Nils Olof,3,0,Norrlands Constructions Holding AB|Norrlands Constructions Fastigheter AB|Norrlands Constructions Bygg & Mark AB
Larsson i Tännäs AB,5568351125,2,52,Larsson; Ulf Patrik,3,2,Kåvanstugorna AB|Larsson Holding AB|Larsson i Tännäs AB
Svegshus Aktiebolag,5564913639,3,55,Vallström; Hans-Erik,2,7,Kockgården Dryck AB|Svegshus Aktiebolag
Telehantering i Östersund AB,5568884190,5,44,Eriksson; Pär Erland,4,3,Telehantering i Östersund AB|Sven Eilert Eriksson AB|Östersund Aspnäs 6 AB|Fri Kraft AB
Svensta huskomponenter AB,5566628128,3,40,Mattsson; Jens Christian,3,4,Svensta huskomponenter AB|JMM Sjöbergs Plåt AB|jm allservice
Svensta huskomponenter AB,5566628128,3,40,Åsén Mattsson; Anneli Madeleine,2,1,Svensta huskomponenter AB|JMM Sjöbergs Plåt AB
Teknisk Klimatservice Rör Norr AB,5569737256,4,63,Gabrielsson; Per-Ingvar,2,5,Teknisk Klimatservice Rör Norr AB|Pelixos AB
Storhogna Trähus AB,5568751225,3,63,Hamberg; Bo Johan,8,14,Storsjöhus AB|Storhogna Trähus AB|Storsjöhus Bygg AB|Pilgrimsta Fjällhus 1 AB|Pilgrimsta Fastigheter AB|Storhogna Torg AB|Bostadsrättsföreningen Storhogna Torg 1|Storsjöhus Holding AB
Stornäsuddens Värmeanläggningar AB,5567627996,2,50,Lindberg; Bengt Erik Håkan,2,0,Stornäsuddens Värmeanläggningar AB|Stornäsuddens värmeanläggningar
Östersunds Låstjänst Aktiebolag,5561684928,2,52,Eriksson; John Pierre Matthias,10,18,Aktiebolaget Byggbeslag|Bysmeden Lås Aktiebolag|Lås och Säkerhetscenter i Uppsala AB|Lås o Nycklar i Linköping Aktiebolag|Lås & Nyckel i Luleå AB|Låskedjan i Umeå AB|Halmstad Låsservice Aktiebolag|Östersunds Låstjänst Aktiebolag|AB Byggbeslag Lås & Säkerhet|Melida AB
