company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Bolaget NQAC AB,5590699921,2,53,Lindqvist; Hans Grim,1,5,Bolaget NQAC AB
Kalles Rör & Fastighetsservice AB,5568034523,3,60,Boman; Karl Erik Petter,3,0,Bomans Bostäder AB|Kalles Rör & Fastighetsservice AB|Kalles Rör & Fastighetsservice Handelsbolag
AB P. Dillner Bygg & Miljöprojekt,5565870739,2,53,Dillner; Per-Erik,5,4,AGO Servicebolaget i Åre AB|Kompetensen i Centrum.spets AB|AB P. Dillner Bygg & Miljöprojekt|AGO Servicebolaget i Vemdalen AB|AB SMADI INTERIOR & STUDIO
Jakob & Per Electro AB,5566847165,2,50,Sahlén; Per Jakob,1,4,Jakob & Per Electro AB
BÖRJE KURKI EL Aktiebolag,5564658689,2,56,Kurki; Lars Börje,1,0,BÖRJE KURKI EL Aktiebolag
Borrteknik i Östersund AB,5569996829,2,53,Malm; Jan Peter,1,1,Borrteknik i Östersund AB
S-O Pettersson Berg & Spräng AB,5591586507,3,65,Pettersson; Fredrik Sven-Olov,1,0,S-O Pettersson Berg & Spräng AB
Elin Engströms Bygg & Entreprenad AB,5590630140,2,48,Engström; Elin Maria,1,0,Elin Engströms Bygg & Entreprenad AB
Mittlingen Mark & Anläggnings AB,5591717904,3,47,Wagenius; Lars Jonas,1,0,Mittlingen Mark & Anläggnings AB
Mätkonsult Br. Bergstrand Aktiebolag,5562004860,3,69,Bergstrand; Olov Lennart Birger,3,1,Evis Vårdinsats AB|Wasa Wasa Förlag AB|Mätkonsult Br. Bergstrand Aktiebolag
Mark & Spårservice Skandinavien AB,5590635099,2,38,Berglund; Stig Olof Anders,3,4,Västra Mjälavikens Vattenförening                 ekonomisk förening|Mark & Spårservice Skandinavien AB|Anders Alltjänst
OUTDOOR WORKS NORTH AB,5568634124,4,46,Copp; Stephen Emmanuel,1,1,OUTDOOR WORKS NORTH AB
MidNord Consulting AB,5591072169,3,47,Nordström; Pär Olof,3,1,Nepsa Fastigheter i Östersund AB|MidNord Consulting AB|Storsjöfisk i Östersund
MidNord Consulting AB,5591072169,3,47,Nordström; Maud Anita,2,0,Nepsa Fastigheter i Östersund AB|MidNord Consulting AB
Asfaltteknik ASFATEK AB,5565325379,2,51,Bengtsson; Karl Arne,2,9,Asfaltteknik ASFATEK AB|Aktiebolaget ASFATEK Asfaltligan
Lofsdalens Skidcamp AB,5567026587,5,59,Mörk; Stian,3,32,Orre Egendom AB|Fjällripan Egendom AB|Lofsdalens Skidcamp AB
Din Byggpartner i Östersund AB,5568185598,2,55,Fridell; Lars Olov,1,0,Din Byggpartner i Östersund AB
Jämtlands plåtslagare AB,5569687477,3,45,Mattsson; Jonas Jan Paul,2,1,Jämtlands plåtslagare AB|Jämtlands Plåtslagarn
Stugusson AB,5565108445,2,61,Stuguby; Bengt Eric,5,2,Miljöplanering i Tumba Aktiebolag|Stugusson AB|Stuguby Konsult AB|Stuguby Consultning|Knippen AB
TECROC AB,5566510144,2,63,Hjälmbacken; Per-Åke,1,1,TECROC AB
Skogelids Entreprenad Aktiebolag,5561172551,3,61,Skogelid; Börje Emanuel,1,0,Skogelids Entreprenad Aktiebolag
AGATON i Funäsdalen AB,5567634661,2,44,Norberg; Per Agaton,6,7,Rödingbäcken i Ramundberget AB|AGATON i Funäsdalen AB|Mor Brittas i Ramundberget AB|Agaton bygg och fastighetsservice AB|KANA i Ramundberget AB|Bostadsrättsförening Myskoxen
BLN Konsult & kommunikation AB,5590308507,2,57,Norberg; Björn Anders,2,2,BLN Konsult & kommunikation AB|B A Norberg Entreprnad
Frostviken Plåt AB,5590050141,4,50,Strängby; Björn Erik,3,4,Frostviken Plåt AB|Variator Flödeskontroll i Östersund Aktiebolag|Variator Invest i Östersund Aktiebolag
El-teknik i Bräcke AB,5569966889,3,46,Eriksson; Kent Fredrik,1,1,El-teknik i Bräcke AB
Versvåg Konsult AB,5590308549,3,40,Versvåg; Nils Roger Niklas,1,0,Versvåg Konsult AB
Jennyin Byggkonsult AB,5591183131,2,38,Sundin; Jenny Christine,1,1,Jennyin Byggkonsult AB
Vikbäckens Mark & VVS AB,5590659305,2,35,Lindén; Karl Jonas Henrik,1,1,Vikbäckens Mark & VVS AB
Vikbäckens Mark & VVS AB,5590659305,2,35,Lindén; Karl Mikael Sebastian,1,1,Vikbäckens Mark & VVS AB
BJS Utvecklings AB,5567211585,8,65,Lundborg; Bengt Erik Helmer,7,8,Eco Life Global AB|BJS Utvecklings AB|BE Lundborgs Konsult AB|Björnrike Syd Lift AB|Björnrike Syd Hotellfastighets AB|Björnrike Syd Holding AB|ET2 Fastigheter AB
FZ-Elektro AB,5590000096,2,48,Zethelius; Fredric Björn Conny,1,0,FZ-Elektro AB
FZ-Elektro AB,5590000096,2,48,Näsström; Eva Camilla,1,0,FZ-Elektro AB
KM Väst Måleri AB,5567650840,2,50,Larsson; Hans Patrik,1,6,KM Väst Måleri AB
BoNorr AB,5591918965,3,43,Larsson; Hans Christer,18,28,BoNorr AB|Forskröken 1 AB|CET2008 ekonomisk förening|Bostadsrättsförening Ängsvallen 3|Bostadsrättsförening Forsasvängen|Tomt 43:500 AB|BoNorr Holding AB|Bostadsrättsförening Ås Ängar|Bostadsrättsförening Björnvallen 1|Bostadsrättsföreningen Ullådalsstugan|BoNorr Holding III AB|Tomt 43:501 AB|BoNorr Holding II AB|Ås Ängar 1 AB|Bostadsrättsförening Tallhöjden|Bostadsrättsförening Ängsvallen 2|Fjälludden Invest AB|Klock 54:77 AB
Lexcon AB,5564973278,2,55,Johansson; Per Gustav,2,3,Lexcon AB|Rörtjänst i Sveg Aktiebolag
Lexcon AB,5564973278,2,55,Viberg; Tina Anna Marlene,2,3,Lexcon AB|Rörtjänst i Sveg Aktiebolag
Baering AB,5569197089,3,48,Elmeskog; Hans Michael,3,1,Hedgehog AB|Baering AB|Vargen ekonomisk förening
Görviksjön Aktiebolag,5566142161,2,72,Stranne; Björn Åke,2,6,Förenade Fiberbyar Nr 1 ekonomisk förening|Görviksjön Aktiebolag
Olsson & Isaksson Bygg AB,5569322851,3,35,Olsson; Karl Fredrik,1,1,Olsson & Isaksson Bygg AB
Olsson & Isaksson Bygg AB,5569322851,3,35,Isaksson; Ulf Jonas,1,0,Olsson & Isaksson Bygg AB
Snickar'n i Strömsund AB,5569084337,2,64,Olsson; Sten Torgny,3,1,Stefan Pernetta Snickar'n AB|Snickar'n i Strömsund AB|snickarn i Strömsund
Åse Bruk Aktiebolag,5562617752,4,48,Åsling; Hans Gunnar Jonas,14,36,KROKOMSBOSTÄDER Aktiebolag|GODA AB|Trångsvikens Chark AB|arifiQ Development AB|Åse Bruk Aktiebolag|Åse Gård AB|Tillväxtkassan II i Trångsviken AB|Ålåsen Skog AB|Streamify AB|Wegrow Invest AB|Trång Förvaltning AB|Tillväxtkassan i Trångsviken AB|Trångsvikens Handelsförening ekonomisk förening
Märit Jonsson Design AB,5568726904,2,59,Jonsson; Toriz Märit Ingeborg,1,3,Märit Jonsson Design AB
Lövnäsvallen Bygg & Mark AB,5592086739,3,45,Fjätström; Lars Evert Patrik,3,0,Wildera AB|Norrlandsgrunder AB|Lövnäsvallen Bygg & Mark AB
S-E Sjöstedt Entreprenad AB,5568286156,2,73,Sjöstedt; Sven Erik Gunnar,1,0,S-E Sjöstedt Entreprenad AB
Brunflo VVS & Pannteknik AB,5592050909,2,59,Adolfsson; Karl Tomas,1,4,Brunflo VVS & Pannteknik AB
Brunflo VVS & Pannteknik AB,5592050909,2,59,Flemström; Karin Åsa Birgitta,1,3,Brunflo VVS & Pannteknik AB
Ranneberga Gård i Skärhamn AB,5563394708,2,66,Lindgren; Eva Margareta,15,23,Carl Lindgren Invest AB|AllOffice Nordic AB|Jämtlands Bryggeri Aktiebolag|Lager & Distribution i Norrland AB|Pappersgrossisten Skellefteå AB|Kontorsvaruhuset Nya i Östersund                  Fastighetsbolag Aktiebolag|Kontorsvaruhuset Terminalen AB|Alingsås Ekonomipack Aktiebolag|KTO Fastighet i Luleå AB|Ångbryggeriet Fastighets AB|Ranneberga Gård i Skärhamn AB|Alfta Kontorsvaror AB|Lindthel Invest AB|H.C.B. Marknadskonsult i Stockholm Aktiebolag|Ekonomipack Carl Lindgren Aktiebolag
Sundells Entreprenad och Kross AB,5591030118,2,40,Sundell; Nils Olof Jonathan,1,1,Sundells Entreprenad och Kross AB
Urban Design of Sweden AB,5569232316,2,52,Söderholm; Sune Urban,1,3,Urban Design of Sweden AB
OptoSat AB,5591050645,2,46,Höglund; Ulf Robert,1,1,OptoSat AB
LNJ Bygg & Konsult AB,5590659206,2,39,Nilsson; Lars Olof Jimmy,1,0,LNJ Bygg & Konsult AB
Anläggskonsulten i Östersund AB,5591513717,2,54,Sjölund; Bo Göran,2,0,Duvedsbyns vatten ek.för.|Anläggskonsulten i Östersund AB
S ELTJÄNST AB,5591343685,2,34,Muikku; Sami Daniel,2,1,S ELTJÄNST AB|SMB Eltjänst AB
P Hellgren Bygghantverk AB,5592038763,2,43,Hellgren; Wilhelm Petter,1,0,P Hellgren Bygghantverk AB
Ulf Alexandersson Aktiebolag,5562845056,2,73,Alexandersson; Ulf Erik,4,1,Ulf Alexandersson Aktiebolag|No Speed AB|Bostadsrättsföreningen Örnboet|PlaneraMera i Östersund AB
Anette Julander Creative Brand AB,5568797061,2,46,Julander; Berit Anette,1,2,Anette Julander Creative Brand AB
H Olsson Entreprenad AB,5590793773,2,67,Olsson; Sven Håkan,1,0,H Olsson Entreprenad AB
GEMKON AB,5590422183,2,45,Kjellgren; Karl Johan,2,3,GEMKON AB|GEOKONSULT ÅRE
Rask Entreprenad AB,5568228745,3,59,Haglund; Sven Rickard,4,1,Åre Byservice Aktiebolag|Åre Entreprenad AB|This is Åre AB|Rask Entreprenad AB
Anders Sunnfors Byggkonsult AB,5591964092,2,65,Sunnfors; Stig Anders,3,1,Bostadsrättsförening Odensala Ängar 2|Anders Sunnfors Byggkonsult AB|Jamtetten Aktiebolag
Alvtegen Design AB,5591873749,2,47,Alvtegen; Björn David Gunnar,1,0,Alvtegen Design AB
Peter Kvist Mur&Kakel i järpen AB,5592032014,2,48,Kvist; Peter Martin,1,0,Peter Kvist Mur&Kakel i järpen AB
Peter Kvist Mur&Kakel i järpen AB,5592032014,2,48,Raske Kvist; Sarah Paulina Isabelle,1,0,Peter Kvist Mur&Kakel i järpen AB
Rätt Hjälp AB,5569152514,2,42,Kärverud; Magnus Daniel,2,2,Bra Boende i Jämtland AB|Rätt Hjälp AB
Jämtholken AB,5569923138,2,67,Månsson; Åke Erik,3,3,Jämtholken AB|Månsson & Hansson Aktiebolag|Åke Månsson Arkitektur m.m.
FRP Entreprenad AB,5590090014,2,30,Persson; Karl Fredrik,1,2,FRP Entreprenad AB
Dyk-Hasse AB,5569067878,2,53,Johansson; Hans Kristian,1,6,Dyk-Hasse AB
AB Byggfocus Jämtland,5567725295,2,57,Eriksson; Jens Anders,3,6,Starskills AB|Iron Clothing|AB Byggfocus Jämtland
Blåsjöfallets Allservice AB,5592060155,2,37,Olsson; Björn Morgan,2,3,Blåsjöfallets Allservice AB|Jormbygdens utvecklings ekonomiska förening
MobileInvent Sweden AB,5566391388,2,57,Åhlund; Mats Erland,4,4,MobileInvent Sweden AB|Rickard Åhlund AB|Kallbygdens Fibernät Ekonomisk förening|Axelbacken Holding AB
K. Nordlöf Bygg & Konstruktion AB,5567556872,2,67,Nordlöf; Kent Olof,1,1,K. Nordlöf Bygg & Konstruktion AB
Wenker Form & Design AB,5569819609,2,39,Wenker; Nina,1,2,Wenker Form & Design AB
Stuguns VVS Aktiebolag,5562295864,1,49,Ågren; Magnus Viktor,6,9,Rör-Teknik Energi i Östersund Aktiebolag|Rörteknik Energi i Åre AB|Aqua Energiborrning i Jämtland AB|Y-ZÄTA Rör & Vent Aktiebolag|Stuguns VVS Aktiebolag|Magnus Viktor AB
JämtInvent AB,5590456116,2,53,Lindberg; Kent Lennart,2,1,JämtInvent AB|Tegenovahills Bostadsrättsförening
Primum Bygg Åre - Östersund AB,5591934400,2,47,Thunfors; Tommy Mikael,2,0,Primum Bygg Åre - Östersund AB|Primum Bygg & Entreprenad AB
Tredcon Sweden AB,5568992084,3,42,Nilsson; Ronnie Olof Sigurd,3,3,econic Homes AB|Tredcon Sweden AB|Way West
Archinova AB,5591971196,2,46,Wahlstrand; Jenni Linnea,1,0,Archinova AB
Algusan AB,5590492582,2,54,Sandberg; Alf Gunnar,1,3,Algusan AB
NORRLANDS MONTÖRERNA AB,5591118202,2,42,Albano; Anders Eero Ronny,2,1,NORRLANDS MONTÖRERNA AB|Licenssvets i Jämtland AB
Häffner Bygg & Kakel AB,5567282248,2,42,Häffner; Nils Pär Martin,3,4,Miljöteknik Byggentreprenader MT AB|Häffners Holding AB|Häffner Bygg & Kakel AB
B/E design AB,5591969570,3,49,Edling; Carl Fredrik,1,1,B/E design AB
Stuguby Konsult AB,5590618616,2,62,Stuguby; Bengt Eric,5,2,Miljöplanering i Tumba Aktiebolag|Stugusson AB|Stuguby Konsult AB|Stuguby Consultning|Knippen AB
Gehör AB,5591321798,2,43,Hedman; Pär Arne Emanuel,2,4,Gehör AB|Prowiz AB
Hellby's i Helleberg Aktiebolag,5563158434,2,73,Hellby; Hans Oscar,2,1,Jonsson-Hellby Handelsbolag|Hellby's i Helleberg Aktiebolag
VPAL AB,5564001161,3,54,Wiklund; Malin Birgitta,1,5,VPAL AB
Härjedalens ROT & Fastighetsservice AB,5568299688,2,64,Salminen; Kari Juhani,1,1,Härjedalens ROT & Fastighetsservice AB
Härjedalens Byggkonsult AB,5563572444,2,72,Lennholm; Anders Tommy,1,6,Härjedalens Byggkonsult AB
Hedung Konsulter Aktiebolag,5562638634,3,75,Hedung; Sven Olof Ingvar,12,53,Björnberget Produktion i Åre AB|Björnberget Fastighetsförvaltning AB|Edsåsdalen Turism AB|Sadeln Fjällgården Linbane AB|Björnberget Residens AB|Edsåsdalens Aktivitetsbolag AB|Edsåsdalen Invest AB|Årefjällsloppet AB|Hedung Konsulter Aktiebolag|Byborna i Edsåsdalen ek. för.|Destination Fjällupplevelser AB|Bostadsrättsföreningen Grofjället
IKC Konsult AB,5569292716,4,57,Karlsson; Kent Erik,1,5,IKC Konsult AB
Orell Invest AB,5566493119,3,32,Orell; Olof Tomas,6,13,Jämtlands Bildemontering Aktiebolag|Orell Kolaren 2 AB|Orell Inneklimat AB|Orell Trucken 5 AB|Orell Invest AB|Orell Fastigheter 2 AB
Daniel Messelt AB,5591745780,3,38,Messelt; John Thomas Daniel,2,0,Daniel Messelt AB|Frostvikens skoterklubb AB
GSJ DAMSAFETY AB,5592032212,2,65,Sjunesson Sjödin; Clara Marie,2,1,GSJ DAMSAFETY AB|KOMMANDITBOLAGET SALARGUS
GSJ DAMSAFETY AB,5592032212,2,65,Sjödin; Leif Gunnar,1,0,GSJ DAMSAFETY AB
Swedish Clear Water Technology AB,5591225155,3,57,Ahlin; Lars Göte,4,11,Ahlin Consulting AB|Ahlin Consulting|Swedish Clear Water Technology AB|Cambio Consulting AB
Aktiebolaget J. Liboms Konstruktionsbyrå,5561011163,2,52,Libom; Ulf Johan,1,0,Aktiebolaget J. Liboms Konstruktionsbyrå
M Selins EL AB,5590292628,2,55,Selin; Jan Mikael,1,0,M Selins EL AB
Fjällgruppen i Åre AB,5591243760,3,56,Andersson Kennergren; Leif Roger,3,5,Fjällgruppen i Åre AB|Lås och Larmteknik i Hälsingland AB|Ribcharter Hudiksvall
Ås Golv & Byggservice AB,5591544233,2,25,Lindgren; Simone Charlotte,2,3,Mattvälten AB|Ås Golv & Byggservice AB
BERGS TUNNELINREDNING & ENTREPRENAD AB,5592003148,2,57,Törnqvist; Mats Peter,2,0,BERGS TUNNELINREDNING & ENTREPRENAD AB|PTQVIST
Aimtracker AB,5591862478,3,59,Lundberg; Kjell Arne,5,24,Östersunds Bluesfestival AB|Jamtkulingen ekonomisk förening|Never Eat Lunch Alone NELA AB|Aimtracker AB|Föreningen Frösö Sportstuga u.p.a.
Frankid AB,5568033871,3,51,Eriksson; Jan-Erik Torbjörn,2,6,Bostadsrättsföreningen Björnlegan|Frankid AB
Frankid AB,5568033871,3,51,Eriksson; Erik Jonas Mujiarto,1,3,Frankid AB
Mariedal i Östersund AB,5590131552,2,63,Ågren; Bror Christer,4,10,Bil Aktiebolaget Sandström & Ljungqvist|Mariedal i Östersund AB|Sandström & Ljungqvist S & L Invest Aktiebolag|Föreningen Frösö Sportstuga u.p.a.
Acriseigan AB,5591136212,2,36,Lundh; Anna Karin Matilda,6,11,VISE AB|Acrisolutio AB|BOCAJKIA AB|Acriseigan AB|CNTINM Continuum AB|Svelef AB
Tumspiken Invest AB,5590350772,2,59,Hål‚n; Bo Ove Mikael,5,14,Hålén's Ventilationssanering i Jämtland Aktiebolag|Protect MPH i Jämtland AB|MIBOVE i Jämtlands län AB|Tumspiken Invest AB|Bostadsrättsföreningen Frösö Utblicken
Kreativitet och Design i Sverige AB,5568550163,2,54,Farrohi; Alee,4,0,Honesta Skolutveckling AB|Honesta Gymnasieskolor AB|Kreativitet och Design i Sverige AB|FLK Gaming Group AB
Zpyke AB,5592007941,6,47,Håkansson; Moniqa Jeanette,2,6,Jämtlands Markservice AB|Zpyke AB
Zpyke AB,5592007941,6,47,Fried; Nicholas Hans Eric,4,2,Jämtfiber AB|Zpyke AB|MoNic Holding AB|Bostadsrättsföreningen Räntmästaren 3
NHP Sverige AB,5590679584,3,51,Wist; Christian Alexander Horneman,4,0,NHP Munkeröd AB|NHP Sverige AB|NHP Stenungsund AB|NHP Jörlanda AB
Rundhögen Invest AB,5590324934,2,62,Fuchs; Thomas Viktor,1,19,Rundhögen Invest AB
Sjööns Tak & Montage AB,5591082846,2,42,Sjööns; Lars Jonas,2,3,Storsjö Tak AB|Sjööns Tak & Montage AB
S.H. Marklunds El Aktiebolag,5562561810,3,60,Marklund; Stig Hugo,3,3,Östersund Eldaren 1 Fastighets AB|Marklunds Invest i Östersund AB|S.H. Marklunds El Aktiebolag
Hans L Hansson Byggare Aktiebolag,5565852646,2,74,Hansson; Hans Lennart,2,0,Bostadsrättsföreningen Åre Sjösåg|Hans L Hansson Byggare Aktiebolag
Fastighetsbolaget Strådalen AB,5569591158,2,66,Olsson; Nils Ronald Ove,4,2,Boo Marin AB|Nallebo AB|Fastighetsbolaget Strådalen AB
Eias Byggteknik AB,5567546204,2,64,Wessel; Jan Erik,1,2,Eias Byggteknik AB
Fastighetssnabben Åre AB,5563888634,4,51,Nises; Bengt Anders,6,18,Fastighetssnabben Aktiebolag|Fastighetssnabben Holding AB|Localis Fastigheter Riks AB|Fastighetssnabben Åre AB|Nässjö Dalvik 24 AB|Iggöns Fastighets AB
PO i Jämtland AB,5567352165,2,44,Olsson; Anders Peter Örjan,1,0,PO i Jämtland AB
Vestbergs Entreprenad i Hammarstrand AB,5566116074,2,58,Vestberg; John Roger,1,1,Vestbergs Entreprenad i Hammarstrand AB
WestJemtlands Transport AB,5590792106,2,31,Karlsson; Karl-Anders,1,0,WestJemtlands Transport AB
Uphill AB,5566671490,2,77,Ramstedt; Tomas Karl Ivar,1,6,Uphill AB
Åke Friberg Förvaltnings AB,5566667514,2,64,Friberg; Åke Olov,1,1,Åke Friberg Förvaltnings AB
Härjulfs Resor AB,5567376578,2,59,Olsson; Olov Anders,3,8,Åke Widén Måleri Express AB|Härjulfs Resor AB|W O Byggteknik Entreprenad AB
Byggresursen Entreprenad i Jämtland AB,5567557011,2,53,Sandström; Per Niclas,2,0,Totalbyggaren i Jämtland AB|Byggresursen Entreprenad i Jämtland AB
Byggkompetens & Event i Lit AB,5568368376,2,47,Magnusson Hemborg; Carl Fredric,2,2,Byggkompetens & Event i Lit AB|Jämtlands Parkettslip AB
JP Vind AB,5567549174,6,55,Duveskog; Per Gabriel,6,3,Mullbergs Vindpark AB|Mullbergs Elnät AB|Sjöbodarna 3 i Östersund AB|Hocksjön Vind AB|JP Vind AB|Sjöbodarna 1 i Östersund AB
"Forsbergs Glasmästeri Nisse ""Skepparn""            Johansson Aktiebolag",5563910727,2,47,Johansson; Nils Erik Thomas,2,4,"Östersunds Glasmästeri Aktiebolag|Forsbergs Glasmästeri Nisse ""Skepparn""            Johansson Aktiebolag"
Magnus på Berget AB,5567712673,2,50,Adolfsson; Bo Olov Magnus,3,2,Jadaab Invest AB|JADAAB AB|Magnus på Berget AB
Grafisk Kompetens Sverige AB,5568300916,2,49,Åkerblad; Bernt Magnus,3,4,Grafisk Kompetens - Magnus Åkerblad|Grafisk Kompetens Sverige AB|SpotOnSports
LINCON AB,5568655871,4,56,Leseth; Rune,1,1,LINCON AB
Firelight AB,5591753719,4,52,Pettersson; Maria Margaretha E,2,3,Firelight AB|Anders Östring Konsult AB
Lavato Group AB,5591768022,3,39,Mattsson; Lasse Kalevi,2,0,Lavato Group AB|Skorstensfolket Östersund AB
Aphatech AB,5591334882,2,58,Landgren; Ulf Daniel,5,3,Norrelektriska Östersund AB|Aphatech AB|SLing Design AB|Andalaca Holding AB|The Noir Concept AB
Safe At Site AB,5590975503,2,50,Boogh; Lars Daniel,3,3,Safe At Site Group AB|Safe At Site AB|Nordiska Investeringsbyrån AB
lasse.mark AB,5591984389,2,52,Sundmark; Lars Ingemar,1,1,lasse.mark AB
Bengt Skylare Elkonsultation AB,5590927918,2,43,Skylare; Bengt Erik Torsten,5,6,Tandläkare Lisa Skylare AB|Marklunds Invest i Östersund AB|ecoelk AB|Bengt Skylare Elkonsultation AB|Pilgrimstad Skola ekonomisk förening
Jämtlandshus AB,5592091390,2,44,Liljestrand; Karl-Fredrik Johan,5,8,212 Property AB|212 Tec AB|Stockholm Medical Solutions & Design AB|KFLI Holding AB|Jämtlandshus AB
Waplan Bygg AB,5569873101,3,55,Waplan Olsson; Marcus Olof Christian,1,1,Waplan Bygg AB
Norrelektriska Östersund AB,5592287147,4,40,Carlsson; Anders Emil,2,0,Andalaca Holding AB|Norrelektriska Östersund AB
Anpeer El AB,5591782189,3,49,Westin; Anders Mikael,3,3,Nordins Sol & Fiber AB|J.E. Nordins El Aktiebolag|Anpeer El AB
Dalvem Projekt AB,5591219844,3,52,Rensbo; Bertil Niklas,13,15,NR Konsulting AB|Rensbos Grill AB|Dalvem Kyrkby AB|Bostadsrättsföreningen Dalvem Kyrkby 2|Rensbo Holding AB|Tinnsten Holding AB|Dalvem Projekt AB|Vör Förvaltning AB|Håll Rensbo 1 AB|Håll Rensbo 2 AB|Håll Rensbo 3 AB|TNR Invest AB|Bostadsrättsföreningen Dalvem Kyrkby 1
IKEA of Sweden AB,5560747551,6,53,van der Poel; Peter Alexander,1,1,IKEA of Sweden AB
IKEA of Sweden AB,5560747551,6,53,Skjelmose; Mia Jeanette,3,0,IKEA Älmhult AB|IKEA of Sweden AB|Per Skjelmose Consulting AB
Kärnhem Bostadsproduktion AB,5566533922,3,49,Svensson; Malin Caroline Johanna,40,100,OBOS Sverige AB|Kärnhem Bostadsproduktion AB|Kärnhem Prefab AB|Uzura AB|Kärnhem Svenska AB|Tsushima AB|Kärnhem markprojekt 3 AB|Kärnhem Fastigheter 2 AB|OBOS Kärnhem AB|Kärnhem Utveckling AB|Fastigheten Sollentuna TP 17 AB|MAKE I-node AB|HOVHUS Aktiebolag|Kärnhem markprojekt 6 AB|Kärnhem Skåne AB|Kärnhem Markprojekt 7 AB|Uzura Projektbolag 4 AB|Kärnhem Markprojekt 8 AB|Kärnhem markprojekt 1 AB|Kärnhem markprojekt 2 AB|Kärnhem Gul AB|Uzura Projektbolag 2 AB|Kärnhem Projektbolag 9 AB|KNH Fastigheter AB|KHAF Utveckling AB|KH Kvarter 3 Ekonomisk förening|OBOS Nya Hem AB|Bostadsrättsföreningen Strandvägen i Edsviken 5|Åbysnåret AB|KNH Projektbolag 1 AB|Kams Ormsta AB|Kärnhem markprojekt 5 AB|Kärnhem Sandbyhof Gård AB|Uzura Projektbolag 3 AB|Bostadsrättsföreningen Strandvägen i Edsviken 4|Bostadsrättsföreningen Strandvägen i Edsviken|Kärnhem Edsviken AB|Kärnhem Röd AB|Kärnhem Blå AB|Kärnhem Mitt AB
Oryx Holding AB,5565994463,5,49,Johannesson; Lars Robert,7,70,Oryx Holding AB|Lagans Byggnads Aktiebolag|Dekorum Konsult & Förvaltning AB|Overman AB|JoNo Invest Stockholm AB|Söderqvist Gräv AB|Oryx Förvaltning AB
Lagans Byggnads Aktiebolag,5564917408,5,41,Fagersson; Erik Vilhelm,2,0,Söderqvist Gräv AB|Lagans Byggnads Aktiebolag
Dynacon Construction AB,5567724751,4,60,Stjernqvist; Karl Håkan,9,3,Nimb Holding AB|Dynacon Construction AB|Dynacon Construction Kalmar AB|Dynacon Construction Blekinge AB|Ljungadalsgatan i Växjö AB|Starwex AB|Dynacon Fastigheter AB|Värendshem AB|Värendshem Sjöspegeln AB
