company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
ENÅ-Gruppen Aktiebolag,5561822379,4,62,Thol‚n; Bengt Olov,2,5,ENÅ-Gruppen Aktiebolag|K U A B Konsult och Utveckling Aktiebolag
Mats Lindström Entreprenad i Smedjebacken         Aktiebolag,5564027125,2,62,Lindström; Mats Sven-Åke,2,0,PL Bil Sweden Aktiebolag|Mats Lindström Entreprenad i Smedjebacken         Aktiebolag
Rättvik Elservice & Entreprenad AB,5592072846,2,49,Fyhr; Per Anders,3,1,Sälen Elservice & Entreprenad AB|Rättvik Elservice & Entreprenad AB|Mora Elservice & Entreprenad AB
Restaureringsmasarna Bygg AB,5567140016,3,55,Rönnberg; Erik Torbjörn,7,5,Rönnberg & Mattsson Bygg Aktiebolag|Norbergs Bygg & Inredning AB|Högåsa Företagspartner AB|Restaureringsmasarna Bygg AB|Södra Dalarnas Tillväxtkassa AB|Åke Höglunds Måleri Aktiebolag|Engsbergs Holding AB
P. Strömstedt AB,5591565311,2,54,Strömstedt; Per-Eric,1,4,P. Strömstedt AB
Kjell Eriksson Mark & Byggkonsult AB,5591060917,2,56,Eriksson; Lars Kjell Ove Henrik,1,0,Kjell Eriksson Mark & Byggkonsult AB
AB Norslunds Elektriska,5568123540,2,63,Wellhardh; Göran Rikard Henry,2,1,AB Norslunds Elektriska|WESB; Wellhards Elektrotekniska Servicebyrå
Bygg3tt i Avesta AB,5592069800,2,42,Männikust; Herman,1,0,Bygg3tt i Avesta AB
H. Andersson Maskingrävning Aktiebolag,5562983105,2,69,Andersson; Karl Håkan,2,1,J.A Åkeri & Service AB|H. Andersson Maskingrävning Aktiebolag
Ulf Olsson Invest AB,5565081667,2,75,Olsson; Ulf Torsten,1,7,Ulf Olsson Invest AB
Byggutveckling i Stjärnsund AB,5591200802,4,45,Jansson; Mats Ingvar,3,5,Byggutveckling i Stjärnsund AB|HEMAKA Invest AB|LIRFO Invest AB
Ytvård i Mora AB,5590798632,3,46,Sys; Anna Kristina Viola,1,1,Ytvård i Mora AB
Nordisk Fuktteknik Aktiebolag,5566030499,3,54,Dahlin; Mats Olov,27,14,obmgruppen AB|OBM Fuktteknik AB|OBM Kronoberg AB|Pilbo-Krondike Consulting AB|OBM Besiktning Väst AB|Färghuset i Falun AB|OBM Norden Aktiebolag|OBM Byggnadsmiljö AB|OBM Skaraborg AB|OBM Örebro AB|Falu Järnhandel AB|OBM Avfuktning Väst AB|OBM Sverige AB|OBM Fastighets AB|Tisken Fastighets AB|Oktopal OBM I Norrland AB|Bergnils AB|OBM Byggnadsbesiktningar AB|Nordisk Fuktteknik Aktiebolag|OBM Jönköping AB|OBM Inomhusmiljö AB|OBM Besiktningar AB|OBM Besiktning Bohuslän AB|OBM Insurance AB|OBM Kalmarsund AB|BRAMM In Väst AB|OBM Besiktning i Dalarna AB
