company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Our Group AB,5591484554,3,37,Bylander; Nils Per Edvin,1,2,Our Group AB
PONTUS AB,5591533921,3,38,Lindström; Lars Håkan Pontus,2,2,Bostadsrättsföreningen Myntet25|PONTUS AB
Meraskruv i Skåne AB,5591245500,3,46,Åkesson; Per-Eve Robert,2,2,Robert Åkesson Konsult i Kristianstad AB|Meraskruv i Skåne AB
10-ten Global Media Aktiebolag,5565455028,3,55,Nordin; Anna Camilla Emilia,2,2,KEMI- OCH DATA CK Aktiebolag|10-ten Global Media Aktiebolag
Askar måleri AB,5569803652,3,36,Askar; Khaled,2,1,Askar entreprenad i Skåne AB|Askar måleri AB
Tofterö Consulting AB,5590300686,3,52,Tofterö; Cecilia Elisabeth,1,0,Tofterö Consulting AB
BIKO Building Information AB,5590209036,3,59,Kokkonen; Risto Juhani,2,2,BIKO Building Information AB|Tocoman AB
BIKO Building Information AB,5590209036,3,59,Kokkonen; Kari-Jonas,1,3,BIKO Building Information AB
Bjärno Fastighetsförvaltning AB,5565852539,2,67,Bjärno; Lars Ola,4,5,Bjärno Byggsystem AB|Bjärno Fastighetsförvaltning AB|Bjärno Bygg AB|Bjärno Holding AB
Lavins Bygg & VVS AB,5565059739,2,62,Lavin; Sven Eric Ingmar,1,2,Lavins Bygg & VVS AB
Packground AB,5590482047,2,34,Jiremark; Linus Alexander,1,2,Packground AB
Lial Property AB,5591894034,3,52,Brömer; Lina Viktoria,1,1,Lial Property AB
TURM AB,5590189915,2,42,Mårtensson; Bo Christopher,1,0,TURM AB
Royal Kakel Malmö AB,5590990460,2,39,Qato; Linda Helena,3,1,Enem AB|QML Invest AB|Royal Kakel Malmö AB
Grevie bygg & trädgård AB,5590967773,2,46,Sutkus; Saulius,2,0,Grevie bygg & trädgård AB|Grevie bygg&trädgård
BROH Brandingenjör Ola Håkansson AB,5590152244,2,48,Håkansson; Lars Ola Niklas,3,1,BROH Brandingenjör Ola Håkansson AB|Ecomentum AB|Mekanik konsult Ola Håkansson
Jefast Byggservice AB,5565819827,2,49,Jertshagen; Cassandra Ingrid Ellinor,24,74,Jefast Holding AB (publ)|Jefast i Helsingborg AB|Jefast Citygalleria AB|Jefast AB|Jefast Byggservice AB|Jefasthuset AB|Fastighets AB Snödroppen|Jefast City Fastigheter AB|Hjärtans(G)Hjärna AB|Jefast Parkering AB|Jefast Aviation AB|Jefast USA AB|Manere AB|Jefast Norra Belgien AB|Struere AB|Jefast Fastigheter Holding AB|Jefast Åstorp AB|Jefasthuset Holding AB|Jefast Borrower AB|Jefast Sundshörnet AB|Jefast LP AB|Jefast Borrower II AB|Jefast Specialfastigheter AB|Induere AB
Fönsterkonsulten i Krika AB,5568737687,3,63,Hansson; Jens Jörgen Daniel,2,3,Fönsterkonsulten i Krika AB|Danhan Förvaltning AB
Elkraftgruppen Installation i Norden AB,5590556030,4,40,Karlsson; Johan Hans-Erik,4,4,Elkraftgruppen i Norden AB|Elkraftgruppen Installation i Norden AB|Svenska Svets i Norden AB|Highland Business Development AB
Heinrich Färg & Måleri Aktiebolag,5562273028,2,55,Heinrich; Lars Göran Mauritz,1,3,Heinrich Färg & Måleri Aktiebolag
MBN-Huset AB,5569698565,2,44,Nyman; Nicklas,2,2,MBN-Huset AB|MBN-Huset Konsulttjänster AB
Krafttag AB,5591290977,2,55,Johansson; Karl-Gustav Stellan,1,0,Krafttag AB
Krafttag AB,5591290977,2,55,Johansson; Jens,1,2,Krafttag AB
Rojasta AB,5591359475,2,44,Janulevicius; Rolandas,1,2,Rojasta AB
SANICON AB,5564327392,2,58,Nilsson; Bengt Stefan,1,13,SANICON AB
Elmontören Syd AB,5590850938,3,47,Rosén; Per Anders Åke,4,2,Elmontören Syd AB|Fastigheter R Syd AB|Invest R Syd AB
Elmontören Syd AB,5590850938,3,47,Rosén; Pierre Mickie Erik,3,1,Fastigheter R Syd AB|Invest R Syd AB|Elmontören Syd AB
David Gölén AB,5566357488,2,54,Gölén; Karl David,2,2,Café Kagan Simrishamn AB|David Gölén AB
Shameless Creative AB,5590461215,2,46,Olsen; Åsa Johanna,2,0,Shameless Creative AB|Wade Brown AB
ITG Sverige Bygg AB,5566579149,2,58,Larsson; Knut Lennart,4,1,ITG Sverige Bygg AB|Certus Rail AB|BRÖDERNA LARSSON'S REKLAM HANDELSBOLAG|Prutat och Klart Tumba Handelsbolag
Maskintjänst Skåne AB,5591898431,nan,nan,Kristensson; Björn Tommy Daniel,1,1,Åstorps Gräv
Maskintjänst Skåne AB,5591898431,nan,nan,Clausen; Jessica Debbie,1,1,Christian Johansson Entreprenad AB
Jimans Plåtservice AB,5568995590,2,41,Andersson; Jimmy Per,2,0,Jimans Plåtservice AB|Jimmy Andersson Plåtservice
NPSolution AB,5591018782,2,28,Karlsson; Calle Adam,1,0,NPSolution AB
TILI Service AB,5569028854,4,42,Lind; Tina,2,6,CLEANLY i Nordvästra Skåne AB|TILI Service AB
TILI Service AB,5569028854,4,42,Kraft; Sarah Elisabeth,2,3,CLEANLY i Nordvästra Skåne AB|TILI Service AB
Schéeles at Kungsmarken AB,5590248497,2,52,von Sch‚ele; Ernst Robert Mikael,1,1,Schéeles at Kungsmarken AB
Strahla-Värme AB,5568084577,2,59,Danielsson; Stefan Birger,1,1,Strahla-Värme AB
A2 Måleri AB,5567043335,2,56,Tossavainen; Arto Olavi,1,1,A2 Måleri AB
Daras Team AB,5569913246,2,36,Klein; Dariusz Henryk,1,0,Daras Team AB
InsightX Analytics AB,5569774135,3,46,Leveen; Johan Christofer,1,0,InsightX Analytics AB
Fuga Gruppen AB,5591957781,2,34,Hartlén; Alexander Mattias,1,6,Fuga Gruppen AB
M&L Entreprenad AB,5591444756,3,34,Fazliu; Ahmet,1,0,M&L Entreprenad AB
M&L Entreprenad AB,5591444756,3,34,Rosander Fazliu; Tannia Olga Diana,1,0,M&L Entreprenad AB
Arkitektkontor Eva Arén AB,5565834172,3,42,Arén; Susanna Eva Louise,2,9,Kullahonung AB|Arkitektkontor Eva Arén AB
Jakob & Erik Construction AB,5567496111,3,46,Holm; Sven Erik,1,1,Jakob & Erik Construction AB
CMT Måleri Aktiebolag,5565447595,3,57,Lagerquist; Mats Jonas Mikael,1,2,CMT Måleri Aktiebolag
Entreprenadkraft Öresund AB,5591374961,4,51,Möller; Leif Åke,7,9,Arbetskraft Öresund AB|Jens Möller Byggtjänst Aktiebolag|Entreprenadkraft Öresund AB|Ligaska Fastighet AB|Limhamns Företagsgrupp Ekonomisk Förening|Västra Virestad 9:5 Trelleborg Fastighet AB|Glue Harbour Construction & Invest AB
LP3 Entreprenad AB,5591615322,3,44,Pihl; Jonas Mikael,3,0,CBK Art AB|Halmeko Scandinavia AB|LP3 Entreprenad AB
PanMetron AB,5569184590,5,40,Parkosidis; Andreas,6,6,divM AB|divM Solutions AB|divM Power AB|PanMetron AB|divM East AB|divM West AB
Railcore AB,5590623418,3,50,Puronranta; Ensio Michel,2,4,Railcore AB|ennepop
VERANDAGRUPPEN I SVERIGE AB,5564464872,2,39,Jönsson; Ulf Daniel,3,11,VERANDAGRUPPEN SCANDINAVIA AB|VERANDAGRUPPEN I SVERIGE AB|VG Ängelholm AB
