company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Testbedstudio Malmö AB,5569608473,3,49,Eriksson; Carl Henric Michael,3,5,Matilda Plöjel visuell kommunikation AB|Bostadsrättsföreningen Margaretha|Testbedstudio Malmö AB
Byggnadsmaskiner i Lund Förvaltnings AB,5566952551,3,59,Bergman; Magnus Peter,4,3,Byggnadsmaskiner i Lund AB|Byggnadsmaskiner i Lund Utvecklings AB|Byggnadsmaskiner i Lund Förvaltnings AB|ISOPHEMA AB
Takfönsterspecialisten Sverige AB,5568156367,2,45,Wald; Mats Jörgen,1,1,Takfönsterspecialisten Sverige AB
Fagerdesign AB,5591738074,2,34,Fagersen; Louise Hanna,2,2,Fagersen Investment AB|Fagerdesign AB
Solhagen Invest AB,5568767932,3,47,Köhn; Martina,2,4,Solhagen Invest AB|eno energy Sweden AB
CJ Bygg & Konsult i Höllviken AB,5590205323,2,53,Jönsson; Hans Christer,2,3,Personalkooperativet Pandans Förskola Ek För|CJ Bygg & Konsult i Höllviken AB
M.B.M Installations Consulting AB,5569609737,2,47,Mattsson; Bror Magnus,1,0,M.B.M Installations Consulting AB
KENNETHS PLÅTSLAGERI I HELSINGBORG AB,5590036165,2,61,Berggren; Jan Kenneth,1,0,KENNETHS PLÅTSLAGERI I HELSINGBORG AB
Öresunds inneklimat AB,5592201585,4,33,Littow; Linus Oskar Tom,1,1,Öresunds inneklimat AB
BC Bygg Service AB,5591172670,2,33,Preshtreshi; Donna,1,1,BC Bygg Service AB
M&J Måleri i Malmö AB,5569608853,3,57,Lindell; Per Jonas,3,2,Eriksfälts Redovisning AB|M & J Måleri Handelsbolag|M&J Måleri i Malmö AB
TM Kontaktledning AB,5591569453,2,27,Martic; Tomislav,1,1,TM Kontaktledning AB
Design lösning och bygg i Skåne AB,5590733845,3,38,Mårtensson; Daniel Joakim,2,2,Design lösning och bygg i Skåne AB|Gästis på 101 AB
Design lösning och bygg i Skåne AB,5590733845,3,38,Mårtensson; Simon Andreas,1,0,Design lösning och bygg i Skåne AB
Forum Fastighetsekonomi i Skåne AB,5567075956,2,53,Stålarm; Sven Anders,10,28,Kungsberget Projekt AB|Forum Fastighetsekonomi Öresund AB|Forum Fastighetsekonomi i Skåne AB|NEWS Förvaltning och Consulting AB|Stålarm Fastighetsekonomi AB|Bostadsrättsföreningen LEA 5|Strandlyckan Invest AB|Kungsberget Bostad AB|SLW Holding AB|ESSA-Gården AB
Form & Struktur Trädgårdsarkitektur Åhus AB,5590018007,4,52,Biel Jönsson; Eva Anna-Lena,1,1,Form & Struktur Trädgårdsarkitektur Åhus AB
Form & Struktur Trädgårdsarkitektur Åhus AB,5590018007,4,52,Sirensjö; Linda Ulrika Helen,1,1,Form & Struktur Trädgårdsarkitektur Åhus AB
FB Miljöisolering AB,5567464598,4,58,Bengtsson; Karl Åke Fredrik,1,0,FB Miljöisolering AB
The Joinery Malmö AB,5591768857,2,31,Tullberg; Kenny Gottfrid,2,2,The Joinery Malmö AB|Lokstallarna Studios i Malmö AB
Karlewi AB,5590466842,2,44,Arwidsson; Jessica Maria,1,1,Karlewi AB
Karlewi AB,5590466842,2,44,Arwidsson; Karl Fredrik Sebastian,2,1,Matteo Mellquist Holding AB|Karlewi AB
R-by Målaren AB,5591056394,2,51,Nilsson; Dan Jörgen,1,2,R-by Målaren AB
Inform Design AB,5590781091,2,42,Poirazis; Theocharis,1,0,Inform Design AB
Mantum Entreprenad i Sverige AB,5561744714,3,53,Strömqvist; Klas Greger,12,25,Mantum Holding AB|CBL Invest AB|Mantum Special AB|Mantum Entreprenad AB|Hyltebruks Transport Aktiebolag|Mantum Logistics AB|Veddige Åkeriaktiebolag|Martins Gräv Aktiebolag|Mantum Entreprenad i Sverige AB|Familjen Strömqvist Fastigheter AB|VÅ Holding AB|Nosign Holding Aktiebolag
Tessella Golv & Kakel AB,5569687121,3,32,Papadopoulos; Moisis,1,1,Tessella Golv & Kakel AB
Gideon Persson Aktiebolag,5560602855,3,62,Strid; Jan-Olof Hartvig,1,3,Gideon Persson Aktiebolag
NAN AB,5569411621,2,63,Nilsson; Nils Arne,2,3,NAN AB|NITAGE
CUPE consulting AB,5591341895,3,60,Cullin Persson; Bengt Johan Martin,1,75,CUPE consulting AB
Hallberg & Co AB,5569004111,3,44,Svahn Jensen; Karl Martin Robert,1,0,Hallberg & Co AB
Robin K bygg aktiebolag,5590697867,2,32,Kukec; Robin Slavko,1,0,Robin K bygg aktiebolag
Robin K bygg aktiebolag,5590697867,2,32,Kukec; Ina Jonna Nicole,1,0,Robin K bygg aktiebolag
Raspet Specialsnickeri AB,5569150336,2,51,Rasmusson; Anders Jonas,2,4,Raspet Specialsnickeri AB|AB Brönnestad 1910
Energy Service Management i Sverige AB,5569484677,2,44,Svensson; Bo Lennart Daniel,4,4,Energy Service Management i Sverige AB|Energy Project Management Nordic AB|GT i Höör AB|Sandmannen Holding AB
Global Print Solutions Sweden AB,5567849913,2,58,Ahlman; Sven Eskil,4,3,Wackes Aktiebolag|Global Print Solutions Sweden AB|K for Contact AB|Lomma Företagsgrupp Ekonomisk Förening
Hemfa Fastighetsförvaltning AB,5569467409,3,45,Rajabieh Fard; Hesam,1,0,Hemfa Fastighetsförvaltning AB
AM Mur & Puts AB,5569291148,2,31,Mulhi; Aiman,1,1,AM Mur & Puts AB
Nyrör Aktiebolag,5564367570,2,54,Fredriksson; Leif Conny Mikael,1,1,Nyrör Aktiebolag
ELEKTRIKER TDT AB,5591493621,2,53,Hjertman; Per Thomas,1,6,ELEKTRIKER TDT AB
MARKON AB,5569016727,2,53,Wernberg; Kent Peter,1,1,MARKON AB
LO Westbergs Måleri AB,5590498662,2,58,Westberg; Lars-Olov,1,2,LO Westbergs Måleri AB
Krondahl Entreprenad i Lomma AB,5569242513,2,49,Krondahl; Anton Sebastian,1,2,Krondahl Entreprenad i Lomma AB
Ganzo AB,5561927558,3,75,Andersen; Ernst Erling,2,1,Påva-Byggen AB|Ganzo AB
CRC Nordic AB,5590219811,3,34,Underdal; Dag Andris,2,3,CRC Nordic AB|Andris Innovations
CRC Nordic AB,5590219811,3,34,Cederholm Bretz; Truls Nils Martin,3,1,Bostadsrättsföreningen Madigan|Tove Bretz AB|CRC Nordic AB
Veritabel Värme & Sanitet Lomma AB,5592007156,2,29,Tedemalm; Anders Torbjörn,1,0,Veritabel Värme & Sanitet Lomma AB
Veritabel Värme & Sanitet Lomma AB,5592007156,2,29,Henriksson; Victor Gustav,1,0,Veritabel Värme & Sanitet Lomma AB
Torbjörn Landgrens Byggadministration AB,5591146195,2,43,Landgren; Torbjörn Christer,1,0,Torbjörn Landgrens Byggadministration AB
Torbjörn Landgrens Byggadministration AB,5591146195,2,43,Landgren; Marie Anette,1,0,Torbjörn Landgrens Byggadministration AB
Axtocon AB,5569600884,2,40,Axelsson; Jan Tobias,4,6,C3S Miljöteknik AB|Axtocon AB|Björnås Fastighets AB|Björnås Holding AB
AB Claes Anderssons Rörmokeri,5569907321,3,39,Andersson; Claes Olof,3,1,ViSes AB|AB Claes Anderssons Rörmokeri|Vidimedia
Jonas Fors AB,5562216258,2,52,Fors; Per Jonas,1,0,Jonas Fors AB
MBM Produktion AB,5591672489,4,37,Månsson; Tommy Stefan,2,3,Mur bygg syd AB|MBM Produktion AB
All by one Per Nielsen AB,5568998396,2,60,Nielsen; Per Ulrik,1,2,All by one Per Nielsen AB
MSS Konsult AB,5591139869,3,59,Skällenäs; Mats Bertil,3,3,MediBasse AB|MSS Konsult AB|MediKatarina AB
Rörsvets & Fjärrvärme i Skåne AB,5591638886,2,41,Isenhelm; Petri Michail Antero,1,1,Rörsvets & Fjärrvärme i Skåne AB
Noraz AB,5569332447,2,55,Weihager; Jan Peter Mikael,2,4,Noraz AB|PKM Professionell Köksmontering AB
El & Värme i Rättelöv AB,5565851788,2,55,Welin; Kaj Peter,2,2,Welins Mur & Byggnads AB|El & Värme i Rättelöv AB
Center Bygg i Landskrona AB,5590579354,2,52,Kazimirchik; Andrej,2,0,Verbi Consult Group AB|Center Bygg i Landskrona AB
swegypt blästring AB,5569672651,2,37,Elnggar; Ahmed Gharib Mohamed,1,1,swegypt blästring AB
Gynnerstedt Bygg & Fastighets AB,5568733181,2,63,Gynnerstedt; Björn Tage,1,5,Gynnerstedt Bygg & Fastighets AB
Gynnerstedt Bygg & Fastighets AB,5568733181,2,63,Gynnerstedt; Mariann Gunborg,3,6,Hustomtar Facility Service AB|Gynnerstedt Consulting AB|Gynnerstedt Bygg & Fastighets AB
Sydskånska miljöbyggarna Aktiebolag,5592007537,2,28,Eklund; Monika,2,1,Online Media by Eklund AB|Sydskånska miljöbyggarna Aktiebolag
Centuria AB,5569298143,2,61,Johansson; Jan Ove Henning,13,550,Bravida Holding AB|Eolus Vind Aktiebolag (publ).|Erik Hemberg Fastighets AB|Götenehus Group AB|STARKA AB|STARKA Betongelement AB|Malmö Cityfastigheter AB|STARKA Fastigheter AB|Senipar Entré Laröd AB|Granu AB|Centuria AB|Marta Lodge AB|Din Naprapat Helsingborg AB
ERAN Miljökonsult Aktiebolag,5566292685,2,74,Ander; Erik,3,0,ERAMKO|Fastighetsaktiebolaget Solvikingen|ERAN Miljökonsult Aktiebolag
Skäggestorps bygg AB,5591550701,2,48,Olsson; Johan Edward,1,0,Skäggestorps bygg AB
Bygg och El i Burlöv AB,5569960734,2,42,Christensen; Per Jörgen,2,0,Bygg och El i Burlöv AB|Bygg och El i Burlöv
Repteknik Sverige AB,5568359995,3,40,Gyllix; Jens Peder,2,5,Gyllix & Co AB|Repteknik Sverige AB
Mega Liten i Brösarp Fastighet & Byggkonsult AB,5566515085,2,65,Hernbrandt; Björn Carl-Fredrik,2,1,Cadato AB|Mega Liten i Brösarp Fastighet & Byggkonsult AB
Ateco AB,5567699284,2,49,Olofsson; Martin Andreas,1,0,Ateco AB
DAWN OF IDEAS AB,5568942311,2,59,Sjödell Nilsby; Fredrik Karl Lennart,2,5,Arkitektstudio N|DAWN OF IDEAS AB
MSA Konsult AB,5590478573,2,51,Karlsson; Kaj Håkan Magnus,2,0,MSA Väg AB|MSA Konsult AB
K P B Entreprenad AB,5568444300,2,42,Bergström; Karl-Philip,1,0,K P B Entreprenad AB
Arne Sjunnessons el AB,5566597349,2,62,Sjunnesson; Nils Arne,1,1,Arne Sjunnessons el AB
PQ Structure Construction AB,5591180723,3,46,Persson; Kent Magnus,3,1,Sveff Organisation AB|PQ Structure Construction AB|MP Byggkonsult AB
PQ Structure Construction AB,5591180723,3,46,Lindqvist; Karl Tommy Andreas,2,1,PQ Structure Construction AB|Lindqvist Solutions AB
KnowWithFlow AB,5567415863,3,54,Larsson; Carl Michael Kristoffer,4,11,Aktiebolaget LM-Transport|Bilfraktshuset i Kristianstad AB|KnowWithFlow AB|LM i Skellefteå AB
Skånebygdens Bygg AB,5569663452,2,35,Nilsson; Per Adam Jimmy,3,1,Tre fastigheter i Tågarp AB|Skånebygdens Bygg AB|Skånebygdens bygg och fastighetsservice
Fönstermix i Skåne AB,5591227839,2,52,Brodin; Frans Roger,2,0,Fönstermix i Skåne AB|Fönstermix i Skåne
Statikon AB,5568907512,2,69,Gerdt; Sven Arne Ronny,1,1,Statikon AB
Marcus Christensson Bygg AB,5590259106,2,48,Christensson; Marcus Erik,1,1,Marcus Christensson Bygg AB
DEVANTO AB,5566991518,3,46,Andersson; Tommy Jan Gösta,6,2,City Entreprenad i Malmö AB|DEVANTO AB|Devanto International AB|FU Östra Farmvägen Bygg AB|FU Östra Farmvägen AB|CityPlan Bostad AB
SM Skorstenar AB,5591888820,3,34,Röhr Åkerblom; Björn Svante Adonis,1,3,SM Skorstenar AB
SM Skorstenar AB,5591888820,3,34,Bergenrud; Paulo Johannes Matti,1,0,SM Skorstenar AB
RosénInnovations AB,5591168959,5,51,Alfredsson; Sven Jens-Patrik,3,11,Pur Partner AB|RosénInnovations AB|CS Kompetensutveckling AB
Bo Elservice AB,5591207237,2,54,Johansson; Bo Anders Roland,1,0,Bo Elservice AB
TYKARPS MÅLERI AB,5591522437,2,52,Ekelund; Benny Jörgen,1,2,TYKARPS MÅLERI AB
Sofieberg Fastighetsservice & Bygg i Helsingborg  AB,5591173090,4,44,Nilsson; Lars Henrik,3,3,Sofieberg Fastighetsservice & Bygg i Helsingborg  AB|T. Nilssons Anläggnings Aktiebolag|Nilssons Trädgård & Fastighets AB
Sofieberg Fastighetsservice & Bygg i Helsingborg  AB,5591173090,4,44,Alhorn; Göran Håkan Patrik,1,1,Sofieberg Fastighetsservice & Bygg i Helsingborg  AB
Sandin Brandt AB,5566890819,3,55,Sandin Brandt; Eva Johanna,3,4,Kuståkra AB|Cape to us AB|Sandin Brandt AB
Anders Granlund Underhållsplanering AB,5590787015,2,64,Granlund; Jan Anders,1,2,Anders Granlund Underhållsplanering AB
Hjelm & Co Entreprenad AB,5591786768,4,43,Wendel; Bengt Markus,6,4,Arbetslaget Hjelm & Co Byggnads AB|Framtidsvyn AB|Hjelm & Co Entreprenad AB|Framtidsvyn Invest AB|Framtidsvyn Kävlinge AB|Wendel Family Invest AB
Alkana Support AB,5569243859,4,55,Hansson; Anders Lennart,4,7,Abes Verktyg & Mekaniska AB|Metallus AB|Alkana Support AB|Mektek Öresund Handelsbolag
PJBK Skåne AB,5591126700,2,37,Kosmala-Szczurek; Beata Edyta,1,1,PJBK Skåne AB
Tors Plåt & Smide Aktiebolag,5565953709,2,63,Persson; Bo Krister,2,1,Tors Plåt & Smide Aktiebolag|Tor's Plåt & Smide Handelsbolag
IHAB Ingemar Holmberg Aktiebolag,5564912458,2,74,Holmberg; Stig Hans Ingemar,1,4,IHAB Ingemar Holmberg Aktiebolag
Beredningsbart AB,5569654634,2,42,Nilsson; Bengt Gustav Henrik,1,4,Beredningsbart AB
Arne Paulssons Byggnads AB,5566075908,3,45,Folkesson; Ewa Anna-Karin,18,0,Arne Paulssons Fastighets AB|Arne Paulsson förvaltning AB|Paulssons Fastigheter Öresund AB|Paulssons Fastighet Mårtenstorget AB|Paulssons centrumfastigheter i Lund AB|Paulssons Glas & Aluminium Aktiebolag|Löddesborg AB|Paulssons Fastigheter Gröna Lund 35 AB|Aktiebolag Paulssons Försäljning i Lund|Laltonan 2 AB|Paulssons Fastighet Svartbröder 18 AB|Arne Paulssons Byggnads AB|Paulssons Fastigheter Smaragden 2 AB|Interim Consulting Henrik Folkesson AB|Interim Consulting HF AB|Arenamarken 1 AB|Arne Paulssons Holding AB|Paulssons i Lund Holding 4 AB
KRISTINA STARK INDUSTRIDESIGN AB,5568556368,2,58,Stark; Ingrid Kristina,1,1,KRISTINA STARK INDUSTRIDESIGN AB
Lokrantz VVS AB,5591671846,3,56,Lokrantz; Bengt Ingvar,1,3,Lokrantz VVS AB
Konsult M Klang AB,5590610175,3,44,Klang; Leif Ingvar Magnus,1,3,Konsult M Klang AB
Lindsténs Elektriska Aktiebolag,5560978255,4,56,Petré; Johnny Hans Richard,9,24,Ideella föreningen Svenskt Näringsliv med firma   Svenskt Näringsliv|Installatörsföretagen Service i Sverige AB|Solkraft EMK AB|INSU AB|Länsförsäkringar Skåne - ömsesidigt|Elteknikbranschens gymnasieskolor i Sverige AB|Lindsténs Elektriska Aktiebolag|Bostadsrättsföreningen Sladdergatan|Elteknikbranschens utveckling i Sverige AB
