company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
InduMate Karlstad AB,5562674878,4,48,Haltorp; Henrik Micael Conny,1,4,InduMate Karlstad AB
Industriautomatik Norrköping Aktiebolag,5564705894,4,53,Nilsson; Hans Johan Erik,6,0,Joh Sjö AB|Industriautomatik Norrköping Aktiebolag|JohSjö System AB|Joh. Sjö Industri Aktiebolag|EMI Elektromontage Installation AB|Elektromontage Installation i Norrköping AB
Industri-Tele i Ulricehamn AB,5567936223,4,50,Wengbrand; Johan Fredrik,3,8,Bronäs Indfast AB|House of Wengbrand AB|Industri-Tele i Ulricehamn AB
Inez Johanssons Elektriska Aktiebolag,5563495695,2,52,Alriksson; Lars Robert Leonard,17,8,RA Gruppen AB|RA Elteknik AB|Almi Företagspartner Mälardalen AB|Ransta Elbyrå Aktiebolag|Arboga El-team AB|RA Säkerhet AB|Inez Johanssons Elektriska Aktiebolag|RA Låshuset AB|SA El & Säkerhet i Mälardalen AB|RA Vision AB|Nordiska Säkerhetsnätet AB|RA Rådjurshornet 2 AB|AKL i Arboga AB|Robert Alriksson Teknik|NSN Security AB|Konceptbostäder Sverige AB|MW Kruthornet AB
Infracare Sweden AB,5569995789,3,46,Svensson; Tony Morgan,3,3,Infracare Installation AB|Infracare Sweden AB|T Svensson Strandkullen Invest AB
Infracon Sverige AB,5590205869,3,42,Sjöström; Hans Jonas,4,4,Infracon Sverige AB|Infracon Norden AB|Infracon Projektutveckling AB|Infracon Maskin AB
Infrateam Sverige AB,5569836850,2,40,Thellnér; Stefan Andréas,3,10,Infrateam Sverige Fastighet AB|A-Track Uppsala AB|Infrateam Sverige AB
Ingarö Bergsprängning AB,5566619788,2,45,Bäcklund; Roland Christoffer,3,3,MAJTI Holding AB|MT Yrkeskläder Stockholm AB|Ingarö Bergsprängning AB
Ingemar Rääf Bod & Maskin Aktiebolag,5563302552,4,52,Rääf; Erik,4,8,Ingemar Rääf Aktiebolag|Ingemar Rääf Bygg Aktiebolag|Ingemar Rääf Bod & Maskin Aktiebolag|Ingemar Rääf Invest AB
Ingos Gräv & Bygg AB,5568735475,2,65,Johansson; Kurt Roger Gustaf Ingemar,9,3,Ingos Gräv & Bygg AB|Vimmerby Interiör AB|Polyform Specialsnickerier AB|JF Autodelar AB|IOR Fastigheter AB|I.M. Kapitalförvaltning Aktiebolag|Frågna AB|Quindecim & VOcto AB|Plexus AB
Inhab golv AB,5565573739,2,41,Nyberg; Leif Daniel,4,4,Inhab golv AB|INHAB Måleri AB|INHAB Golv Stockholm AB|Daniel Nyberg Holding AB
INJOGOLV Aktiebolag,5566286166,3,47,Persson; Ernst Mikael,2,1,INJOGOLV Aktiebolag|Bostadsrättsföreningen Tre Kronors Backe
Inkon Sverige AB,5590609649,4,53,Tholin; Hans Magnus,2,4,BT Elberäkningar i Sexdrega Aktiebolag|Inkon Sverige AB
Inlandets El och Entreprenad AB,5568020928,3,37,Linder; Erik Fredrik Alexander,1,0,Inlandets El och Entreprenad AB
Inlandets El och Entreprenad AB,5568020928,3,37,Linder; Arne Pontus Emanuel,1,0,Inlandets El och Entreprenad AB
Inlands Luft AB,5567038202,3,58,Wallrud; Leif Åke,7,4,Inlands Luft AB|Keyvent Öst AB|Keyvent AB|AB Melins Plåtslageri|Aktiebolaget Björna Industrier|LLW Fastigheter AB|WJP Invest i Björna AB
INLANDSBANAN (IBAB) Aktiebolag,5564381795,10,58,Portinson; Mats Joel,1,7,INLANDSBANAN (IBAB) Aktiebolag
INLANDSBANAN (IBAB) Aktiebolag,5564381795,10,58,Ekholm; Björn Peter,4,15,INLANDSBANAN (IBAB) Aktiebolag|Inlandståget AB|Destination Inlandsbanan AB|Nordicar AB
JBA Inneklimat i Gislaved AB,5568942576,4,51,Andersson; Dan Anders Johan,8,11,JBA Inneklimat i Gislaved AB|NC Oppertunities AB|Furuliden Förvaltning AB|NCV i Värnamo AB|SELAB i Värnamo AB|Selab Förvaltning AB|ASC i Värnamo AB|Furuliden Holding AB
Inneklimat Service i Skandinavien Aktiebolag,5565229159,2,46,Ferm Langmann; Peter Bengt,2,4,Inneklimat Service i Skandinavien Aktiebolag|Peter Ferm Konsult AB
Inneklimat Värnamo AB,5567108310,4,42,Andersson; Jörgen Roger,2,2,Inneklimat Värnamo AB|JRA Invest AB
Innemiljö i Mariefred AB,5566963798,2,55,Grave; Patrick Josef Günther,7,7,Innemiljö i Mariefred AB|Grave Invest AB|Slottspaviljongen Holding AB|Innemiljö i Mariefred Förvaltning AB|Bostadsrättsföreningen Tingstugatan 2 i Strängnäs|Innemiljö Fastigheter Hälleforsnäs AB|Bostadsrättsföreningen Kungshusen 11 i Mariefred
Inre och yttre renovering i Stockholm AB,5569947335,2,35,Jekabsons; Edijs,3,4,Bygglya AB|EJ Quality Service AB|Inre och yttre renovering i Stockholm AB
Inredningssnickarna i Linköping AB,5565551610,3,52,Svensson; Lars-Johan,6,9,ES Snickeri i Linköping Aktiebolag|Inredningssnickarna i Linköping AB|Elektrikern i Linköping AB|Linköpings Snickericenter Aktiebolag|Elektrikern i Linköping Holding AB|Sydstjärnan Holding AB
Install EL I Norr AB,5590563457,4,48,Fransson; Jan Urban,19,24,Install Nordic AB|Install Fiber I Norr AB|Norsjöfrakt AB|Install EL I Norr AB|U-lift AB|Freno AB|Step In AB|Install Fiber i Västerbotten AB|Install Fiber I Jämtland AB|Miljöverkarna AB|Ortman Specialanpassningar AB|QFL Fastigheter AB|Hemlunda Invest AB|Fordonsanpassningar i Norr AB|Norsjöfrakt Kapitalförvaltning Ekonomisk förening|Install EL I Umeå AB|Install Fastigheter I Norr AB|Install Fiber I Västernorrland AB|Freno Holding AB
Installationsbolaget El-Fyran AB,5563234953,3,60,Maurd; Per Johan Daniel,1,2,Installationsbolaget El-Fyran AB
Installationsgruppen i Stockholm AB,5566328273,3,42,Danner; Fredrik Hans Ola,9,14,Installationsgruppen i Stockholm AB|Lindesås Fastigheter AB|F & M Racing AB|Holdingbolag 1 Stockholm AB|Fjällby Centrala 2 A 6-10 AB|Fjällby Centrala Holding AB|Familjen Danner Invest AB|Fjällby Centrala 2 A 1-5 AB|Fjällby Centrala 2A 11-15 AB
Installationslandslaget El & Tele i Sverige AB,5568963739,3,58,Lindstedt; Anna Malin Maria,2,8,Installationslandslaget El & Tele i Sverige AB|Leasab Consulting & Human Resource AB
Installationspartner Datacord AB,5565643110,3,58,Bisting; Clas Håkan,5,4,Installationspartner Datacord AB|Raket Service Aktiebolag|INSTALLATIONS-PARTNER i Stockholm Aktiebolag|Bisting Keramik AB|Datacord Invest AB
Installationsservice Nicklas Eriksson AB,5566501366,3,55,Eriksson; Nicklas,1,3,Installationsservice Nicklas Eriksson AB
Installationsteknik i Lund AB,5569893091,2,40,Hansen; Björn Lennie,2,1,L. Hansen Holding AB|Installationsteknik i Lund AB
Installationsteknik i Småland AB,5590677950,3,41,Andersson; Lars Helmer Dennis,6,1,Torskinge Plåtslageri Aktiebolag|Installationsteknik i Småland AB|Vatten och Värme i Bredaryd Aktiebolag|VVS Holding i Bredaryd AB|TP Holding i Småland AB|Davidsson & Andersson Holding AB
Installatörerna Norr AB,5566439591,3,52,Tjärnström; Erik Andreas,2,0,Installatörerna Norr AB|3rd Degree Plumbing AB
Intemp AB,5566155528,2,35,Eriksson; Joakim Kjell Magnus,9,5,Intemp AB|Pavalos Aktiebolag|Perglobe Media AB|Inkitchen i Uddevalla AB|Lysekil Padel AB|Fiskebäckskils Padelcenter AB|Konfjord Förvaltning AB|Förvaltnings AB Lunneviksbryggan|Investimento AB
Inter El Kungälv Aktiebolag,5562194398,3,42,Andersson; Ulf Lennart,2,0,Inter El Kungälv Aktiebolag|Kungälvs Rörläggeri Aktiebolag
Stejo Montage & Konsult AB,5590523584,3,53,Jonsson; Per Stefan,1,1,Stejo Montage & Konsult AB
Interiörgolv i Helsingborg AB,5565297347,3,42,Hero; Carl Patrik,2,4,Interiörgolv i Helsingborg AB|Golvbolaget i Helsingborg AB
Intermontage i Bromölla AB,5565369252,3,43,Glad; Per-Ola Daniel,5,0,Intermontage i Bromölla AB|INTERMONTAGE FASTIGHETS AB|Glad Holding AB|Nordakbolagen AB|Patrik G. Invest AB
Internresurs i Stockholm AB,5566872981,2,62,Malmström; Per Johan Gunnar,18,15,ABC Scaffholding AB|ABC-Ställningsmontage AB|Maven Wireless Sweden AB|Bengt Wicksén AB|ABC Bygghissar och Byggmaskiner AB|Entreprenadställningar i Stockholm AB|Extern Resurs i Falun AB|ABC Franchise AB|Ursa Major Suecia AB|Blistafjärden AB|ASC Fastigheter AB|Järla Sjö Konsult AB|ABC Recycling AB|Internresurs i Stockholm AB|Gripsholm Securities AB|Extern Resurs i Örebro AB|Bånudden Drifts AB|Gripsholm Holding AB
INUinstallation AB,5569865016,5,50,Bolme; Per Martin,2,2,PMB INVEST AB|INUinstallation AB
Invarmex i Sverige AB,5569756470,6,60,Enmark; Per Mikael,1,2,Invarmex i Sverige AB
IPC Industriprojekt AB,5564191640,3,47,Ahl; John Patrik,5,4,IPC Industriprojekt AB|Handelsbolaget Stenungsund Stenung 3:278|IPC Fastighetsförvaltning AB|Handelsbolag Stenungsund Stenung 3:218|IPC Coeptis AB
IQ Security AB,5590185764,2,49,Adolfsson; Kim Kristina,3,1,Bellis Blommor Gbg AB|Dolfsson AB|IQ Security AB
Irenell Bygg AB,5590758610,2,39,Irenell; Nataliia,2,2,Irenell Services AB|Irenell Bygg AB
ISAB Rörinfodring Syd AB,5568135890,3,61,Andersson; Magnus Patrik,3,3,ISAB Rörinfodring Syd AB|Bostadsrättsföreningen Klinten i Veberöd|Romele Bygg Aktiebolag
Isolar Lösullsentreprenad AB,5567359517,2,69,Hörbäck; Frank Egon,6,1,Isolar Lösullsentreprenad AB|Swedish House Crew AB|Isolar Fastigheter Kommanditbolag|Isolar Fastigheter AB|Isolar Holding AB|Isolar Hus Örebro AB
Isoler Teknik Sverige AB,5568030125,4,61,Linderson; Tord Andreas,1,1,Isoler Teknik Sverige AB
Isolering Akustik i Västerås Aktiebolag,5563637130,4,43,Fronda; Helge Ingemar,2,2,Bostadsrättsföreningen Notudden 2 i Västerås|Isolering Akustik i Västerås Aktiebolag
Isoleringslandslaget AB,5590225800,3,33,Östlund; Nils Oskar Andreas,5,15,Isoleringslandslaget AB|Motus Envi AB|Östfast AB|HULDAB AB|Lovelly AB
Isolerservice i Sydsverige Aktiebolag,5562057249,4,62,Sternheden; Kenth Marcus,6,2,Isolerservice i Sydsverige Aktiebolag|My Store i Helsingborg AB|Provisol i Sydsverige AB|Industri- och Bostadsfastigheter i Sydsverige AB|Industrifastigheter i Sydsverige AB|Skandinavisk Lösull AB
Isolersystem Luleå AB,5563382430,2,54,Brudell; Sten Eric,3,18,Isolersystem Skellefteå AB|Isolersystem Luleå AB|Isolersystem Sverige AB
Issa Förvaltningskompaniet AB,5567227276,2,41,Issa; Rizk,6,12,Luxurious Era AB|ISSA Fastighetsservice AB|Issa Förvaltningskompaniet AB|Kafe Klevgränd AB|IQI AB|Angered Torgs Fastighetsförvaltning AB
IUT Furnaces and Energy Sweden AB,5590502513,nan,nan,Ohlsson; Sven Peter,1,4,Conro AB
IUT Furnaces and Energy Sweden AB,5590502513,nan,nan,Berge; Dan Fredrik,5,8,IUT Holding AB|IUT Industrial Furnaces Technology Sweden AB|IUT Industriell Ugnsteknik AB|IUT Solar and Wind Energy AB|IUT Group Sweden AB
IV Väst AB,5566013404,2,54,Wall; Leif Mickael,1,0,IV Väst AB
Ivar Andersson Byggnads AB,5567508790,2,60,Persson; Kerstin Marie,4,6,Ivar Andersson Byggnads AB|Asoolappa ekonomiska förening|Appaloosa Bygg AB|BISTA Bygg och Entreprenad ekonomisk förening
Ivar Lundqvist Entreprenad Aktiebolag,5562043801,4,55,Lundqvist; Nils Robert,1,2,Ivar Lundqvist Entreprenad Aktiebolag
IW Sprängservice AB,5567213201,2,67,Waltersson; Bror Ingvar,2,2,IW Sprängservice AB|IW Sprängservice
iwa21 AB,5567364921,2,38,Lundegård; Kenny Jens Arne,3,4,iwa21 AB|Övergran Fastighet AB|LunKen AB
i3 Entreprenad AB,5568967219,3,42,Landenberg Holst; Mattias Jon,4,6,i3 Entreprenad AB|Perfume me Define me AB|Potentia Bygg Aktiebolag|Quercus Holding AB
J Maskin i Oskarshamn AB,5566721741,2,46,Karlsson; Jörgen Lars-Erik,1,2,J Maskin i Oskarshamn AB
J Olofsson Byggtjänst i Nacka AB,5566800032,3,57,Davidsson; Sture Peter,5,3,J Olofsson Byggtjänst i Nacka AB|J Olofsson Fastigheter AB|Bostadsrättsföreningen Ringvägen i Saltsjöbaden|J Olofsson Holding AB
J S B Rör Aktiebolag,5565946919,4,56,Thunberg; John Lennart,4,5,J S B Rör Aktiebolag|J S B Rör Holding Aktiebolag|JSB Rör Holding 2 AB|John Thunberg Konsult AB
J S Rör Aktiebolag,5563099836,3,34,Ström; Erik Roger,3,0,Handelsbolaget Johansson & Ströms Rör|Ströms i Piteå AB|J S Rör Aktiebolag
J. Börjesson Bygg & Design AB,5567644363,2,51,Börjesson; Sven Jörgen,1,0,J. Börjesson Bygg & Design AB
J. Östling & C. Sparf El AB,5568047632,2,53,Östling; Bengt Lars-Joakim,3,0,J. Östling & C. Sparf Teknik AB|J & C El Holding AB|J. Östling & C. Sparf El AB
J.A Måleri AB,5568551898,3,45,Svensson; Jens Thomas Sune,2,1,Kinna Måleri AB|J.A Måleri AB
J.A Måleri AB,5568551898,3,45,Rapp; Ulf Andreas,2,1,Kinna Måleri AB|J.A Måleri AB
J.A.N.D AB,5591015846,3,43,Haugen; Joel,3,0,JANDAB Isolering AB|J.A.N.D AB|J. Haugens Isolering
J.E. Nordins El Aktiebolag,5561997882,4,54,Westin; Anders Mikael,3,3,Nordins Sol & Fiber AB|J.E. Nordins El Aktiebolag|Anpeer El AB
J.O.P. Exclusive Entreprenad AB,5568900897,3,60,Johansson; Sven-Ove,3,4,J.O.P. Exclusive Service AB|J.O.P. Exclusive Entreprenad Kommanditbolag|J.O.P. Exclusive Entreprenad AB
JA Falk Bygg AB,5567463459,2,47,Falk; Joachim,3,4,Lenx consultancy Aktiebolag|JA Falk Bygg AB|JE Falk Innovation AB
Jafab El AB,5590896402,2,32,Lindgren; Filip Kristian Olof,8,9,Jafab El AB|Jafab Projektering AB|Jafab El Öst AB|Jafab Larm AB|LyLi AB|LIOT AB|Assets i Malmö AB|Värdet i Malmö AB
Jamtbygg AB,5569879165,3,54,Engström; Jens Ola,2,6,Bostadsrättsföreningen SPELMANNEN|Jamtbygg AB
Jan Stoltz Energi Aktiebolag,5566325816,5,38,Borgman; Göran Peter Andreas,7,7,Jan Stoltz Energi Service AB|Aktiebolag Riktiga Konsulter i Sverige|Jan Stoltz Energi Onsite Service AB|Jan Stoltz Energi Aktiebolag|Scand Group AB|JS Logistics AB|Jan Stoltz Holding AB
Janek Jarosz AB,5590366653,2,50,Jarosz; Jan,1,1,Janek Jarosz AB
Janne Carlson Rör Aktiebolag,5561673491,3,67,Karlsson; Hans Erik,3,3,Janne Carlson Rör Aktiebolag|Nor-Schakt Aktiebolag|Nor-Schakt Invest AB
Janne Karlsson Skog & Maskingrävning Aktiebolag,5565359717,3,51,Karlsson; Jan Stefan Rolf,4,2,Janne Karlsson Skog & Maskingrävning Aktiebolag|Janne Grävarn i Vittorp AB|Janne Karlssons Traktorgrävning|Vittorp Holding AB
Jari Haaranen Byggteknik AB,5567048045,2,54,Haaranen; Jari Matias,3,4,Stall Up Front Handelsbolag|Maria Forsgren Haaranen & Jari Haaranen UH        Handelsbolag|Jari Haaranen Byggteknik AB
Jarla Rör AB,5568949688,2,38,Karlsson; Jan Fredrik,5,2,Jarla Rör AB|Bostadsrättsföreningen Koncepthallar Arninge|Jarla Skärgårdsservice AB|TIJ Holding AB|Sniper Trading AB
JAS Pipeweld AB,5566806948,3,48,Saurow; Anders Henrik,2,0,Br Jas AB|JAS Pipeweld AB
JAS TAK & FASAD AB,5567467567,2,49,Antonsson; Dan Jonas Alexander,1,1,JAS TAK & FASAD AB
JBT Security AB,5566119151,3,55,Bogren; Torsten Benny,2,2,Lärbro Fleringe Fiber Ekonomisk förening|JBT Security AB
JCS Snickeri & Montage Stockholm AB,5565420451,3,34,Lindelöf; Lars Olle,3,7,JCS Snickeri & Montage Göteborg AB|JCS Snickeri & Montage Stockholm AB|JCS Group Stockholm AB
Jedhammars Byggtjänst AB,5566290770,2,45,Jedhammar; Johan Martin,1,1,Jedhammars Byggtjänst AB
Jeesec Larm Skåne AB,5566869821,3,49,Andersson; Hans-Magnus Fredrik,3,4,Ystads Företagshotell AB|Safety Invest Syd AB|Jeesec Larm Skåne AB
Jemtel AB,5567435788,4,46,Brink; Johan André,3,2,Jemtel AB|Johnsons i Åre El Aktiebolag|Jemtel Kraftteknik AB
Jemtel Kraftteknik AB,5564391752,3,45,Jönsson; Nils Anders Roger,3,6,Jemtel Kraftteknik AB|Jemtel AB|RJ:S El
Jerkebys VVS AB,5569282519,2,35,Jerkeby; Johan Per Erik,8,4,Jerkebys VVS AB|Slite Vatten & Värme AB|Atollen Fastighetsförvaltning Aktiebolag|Öja Olovs AB|Öja Olovs Förvaltning AB|Jerkebys invest AB|Jerkebys VVS Holding AB|Vaters Vatten Ekonomiska föreningen
Jernandre AB,5569610776,2,34,Jern André; Patrik Mattias,3,2,Broand AB|Fredrik André Gräv & Mark AB|Jernandre AB
Jernmo Entreprenad & Golv AB,5566963004,2,38,Jernmo; Johan Vilhelm,2,2,Jegab Fastighets AB|Jernmo Entreprenad & Golv AB
JEROC El & Fastighetstjänst AB,5567794184,2,54,Rosén; Jan-Erik Gunder,4,7,JEROC El & Fastighetstjänst AB|Jeroc Fastigheter Aktiebolag|JEROC Återvinning AB|Jeroc AB
Jetmarine & Maskin Aktiebolag,5568043243,2,39,Johansson; Marcus Thobias,4,3,Jetmarine & Maskin Aktiebolag|Jetmarine & Maskin Fastigheter AB|MK Johansson AB
JG Optotech AB,5566044714,2,50,Gustafsson; Lars Jörgen,3,1,JG Optotech AB|JG Optotech Invest AB|JG Optotech
JGS Rör & Värme AB,5568659733,2,65,Blumenthal; Bo Bernhard,2,4,Bostadsrättsföreningen Bällstabacken 2|JGS Rör & Värme AB
JIB Elektronik AB,5565350682,2,51,Johansson; Björn Fredrik,3,1,Ranntorp Förvaltning Kommanditbolag|JIB Elektronik AB|JIB Förvaltning i Mölndal AB
JIGAB Golv AB,5565645040,5,44,Johansson; Christoffer,1,1,JIGAB Golv AB
jim björnssons bygg AB,5569918906,2,37,Björnsson; Björn Jim Set,5,1,jim björnssons bygg AB|Björnssons Bygg|Jim Björnssons Bostad AB|Hårtrollet AB|Björnpappan Holding AB
jim björnssons bygg AB,5569918906,2,37,Björnsson; Sofie Marie,4,2,jim björnssons bygg AB|Jim Björnssons Bostad AB|Hårtrollet AB|Björnpappan Holding AB
Jir Bygg & Stål AB,5567865059,2,47,Isola; Jouni Rikhard,2,4,Jir Bygg & Stål Förvaltning AB|Jir Bygg & Stål AB
JIR Måleri Service Aktiebolag,5566051826,2,50,Budai; Janos,1,1,JIR Måleri Service Aktiebolag
JJ Stensättning Tyringe AB,5568968266,2,45,Hallgren; Johan Olof Mattias,2,4,JJ Stensättning Tyringe AB|JMA Stensättning Tyringe AB
Mälargolv AB,5567345607,4,41,Andhagen; Lukas Axel Åke,2,2,Mälardalens Golventreprenad AB|Mälargolv AB
JK Projekt AB,5590221114,4,44,Jonsson; Tord Jens,3,3,M80 bygg och Entreprenad AB|JK Projekt AB|Interaktiva Fastigheter Sweden AB
JK Projekt AB,5590221114,4,44,Kleveryd; Kaj Magnus,2,1,JK Projekt AB|KMK Projekt
JKJ Transport AB,5568255565,3,37,Jokela; Jimmy Sebastian,1,0,JKJ Transport AB
JMAB Elinstallationer AB,5563748630,2,55,Pajunen; Jörgen Juhanni,3,0,Oxsätra Åkerlänna Utveckling AB (svb)|JMAB Gruppen AB|JMAB Elinstallationer AB
JMG Kakel & Klinker AB,5590055124,2,30,Gyllegård; Mikael Jens Emanuel,1,0,JMG Kakel & Klinker AB
JNS Mark AB,5564662988,2,55,Sangefors; Bo Niclas,1,2,JNS Mark AB
JNS VVS Service AB,5590609805,2,41,Janusauskas; Sigitas,2,0,Ervita Holding AB|JNS VVS Service AB
Jobsab Interpiping System Aktiebolag,5564848728,5,59,Jönsson; Johan Mattias,3,6,Rönnarps MB AB|Jobsab Interpiping System Aktiebolag|Jobsab Förvaltning Aktiebolag
Joccun AB,5565064655,3,50,Axelsson; Johan Axel Leif,3,5,Oaxen Trade AB|Johan Axelsson Projekt AB|Joccun AB
Jochnicks Rör Aktiebolag,5561946509,3,56,Hermansson; Ulf Kent Fredrik,3,2,Huluhammar Kraft AB|Jochnicks Rör Aktiebolag|U.M.K Förvaltnings AB
Jocke Åkerbergs Lyft AB,5569360810,2,34,Åkerberg; Lars Gustav Joakim,2,0,Jocke Åkerbergs Lyft AB|Jocke Åkerbergs Lyft
Jockes Schakt och TransportAktiebolag,5568524200,3,41,Ek; Per Erik Joakim,2,1,Jockes Schakt och TransportAktiebolag|Jockes Schakt
Johan Eriksson Bygg & Renovering AB,5565185161,2,56,Eriksson; Carl Johan,2,2,Johan Eriksson Fastighet & Administration AB|Johan Eriksson Bygg & Renovering AB
Johan Melins Elektromontage Aktiebolag,5563108918,2,53,Melin; Stig Erik Gösta,7,10,Johan Melins Elektromontage Aktiebolag|Södershorn Fastighetsförvaltning Aktiebolag|Melins Elektromontage i Stockholm AB|Fastigheten Meteorskuren 6 Kommanditbolag|Bostadsrättsföreningen Kattryggen 2|Kv.Odin 5 i Huddinge AB|Kv. Odin 36 i Huddinge AB
Johan Melins Elektromontage Aktiebolag,5563108918,2,53,Melin; Tom Johan Erik,4,0,Johan Melins Elektromontage Aktiebolag|Stuvsta installation & Fastighetsteknik           Handelsbolag|Melins Elektromontage i Stockholm AB|Fastigheten Meteorskuren 6 Kommanditbolag
Johan Persson Rör & Värme AB,5562328806,3,55,Sandéhn; Kaj Pierre,1,1,Johan Persson Rör & Värme AB
Johan & Ulf Bygg i Landsjö AB,5568781073,4,47,Wadsten Jarl; Johan Lennart,1,2,Johan & Ulf Bygg i Landsjö AB
Johannelunds Glasmästeri Aktiebolag,5561065359,3,62,Petersson; Hans Tommy,5,5,Johannelunds Glasmästeri Aktiebolag|Linköpings Bil- & Byggnadsglas Aktiebolag|TP2A Invest AB|Aquarii AB|J-Glas AB
Johannishus Bygg & Entreprenad AB,5569965113,3,45,Lindström; Sven Ingemar,3,4,Västra Vång By och Fiber ekonomisk förening|Johannishus Bygg & Entreprenad AB|Johannishus Bygg & Entreprenad
Johansson o. Gunverth VVS- och El Aktiebolag,5564017894,5,54,Weiss; Hans Joakim,3,4,Johansson o. Gunverth Fastighet Aktiebolag|Johansson o. Gunverth VVS- och El Aktiebolag|Andersson & Weiss Förvaltnings AB
Johansson & Karlsson Bygg Aktiebolag,5563223204,4,56,Björklund; Hans Emil,4,1,Johansson & Karlsson Bygg Aktiebolag|Lassasgården i Roteberg AB|Björklund & Sköld Holding AB|JK Villan AB
Johanssons VVS Ängelholm AB,5567039796,4,51,Ålund; Nils Emil Tobias,3,0,Tobias Ålund Förvaltnings AB|Johanssons VVS Ängelholm AB|Sandbäckens Rör i Bjäre/Halmstad AB
John Ericssons Plattsättning Aktiebolag,5560716879,2,58,Ericsson; Johan Per Victor,3,3,Ideella föreningen Stockholms Byggmästarförening  med firma; Stockholms Byggmästareförening|Bostadsrättsföreningen Hamrafjället|John Ericssons Plattsättning Aktiebolag
Liljehammar Entreprenad AB,5569599508,2,40,Liljehammar; Niklas Per,1,4,Liljehammar Entreprenad AB
Johnsons i Åre El Aktiebolag,5561351395,4,51,Jörgensen; Erik Simon,8,3,Svenska Elkedjan Aktiebolag|Johnsons i Östersund El AB|Johnsons i Åre El Aktiebolag|Jemtel AB|Jemtel Kraftteknik AB|Fastighetsbolaget Solbringen 2 i Åre AB|Trustmon AB|Josec AB
