company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Idekulla Byggservice AB,5567531354,2,45,Dausien; Florian Immo,3,2,Idekulla Byggservice AB|Idekulla Sommarhus Service AB|Idekulla Sommarhus Service Handelsbolag
Idekulla Byggservice AB,5567531354,2,45,Dausien; Adrian Hannes Stephan,3,1,Hanne Dausien Byggkonsult|Idekulla Byggservice AB|Idekulla Sommarhus Service Handelsbolag
Idéåtgärd Nacka AB,5590605365,3,51,Puhakka; Sofia A V E,6,7,Garageportexperten Sverige AB|Idéåtgärd Järfälla AB|Idéåtgärd Nacka AB|Idéåtgärd Stockholm AB|Hamlin Fastigheter AB|Hamlin Holding AB
IEAB installationsentreprenören AB,5569176174,2,49,Karimi; Hamid Reza,3,3,Holdingbolaget HK i Malmö AB|Fastighetsbolaget HK i Malmö AB|IEAB installationsentreprenören AB
IETV Elektroteknik AB,5562780873,4,53,Karlsson; Bengt Krister,5,0,IETV Elektroteknik AB|Nivatex AB|Powerhouse Sverige AB|AB Fastighet i Gällstad|IETV Holding AB
Iggesunds Industriisolering Aktiebolag,5564346012,3,62,Malmqvist; Kent Napoleon Amor,2,0,Iggesunds Industriisolering Aktiebolag|Sten Malmqvist Invest Aktiebolag
IKAB Entreprenad AB,5567769327,3,60,Nilsson; Dan Ola Peter,2,3,IKAB Entreprenad AB|Industrikraften i Kristianstad AB
Ikonhus AB,5569478109,3,48,Blomqvist; Sara Gabriella,18,13,Från Golv till Tak Bygg och Snickeri på Värmdö AB|Ikonhus AB|Från Golv till Tak på Värmdö Aktiebolag|Bågvägens Fastighets AB|Stenberg-Blomqvist 2 AB|Solbacken 300 AB|Solbacken 200 AB|Suhnokis Dotter AB|Solbacken 100 AB|Suhnoki Invest AB|Fågelbrohöjdens Fastigheter AB|Spindelns Dotter AB|Peblo 1 AB|Peblo 2 AB|Peblo 3 AB|Stenberg-Blomqvist 1 AB|Spindeln Holding AB|Stenberg-Blomqvist 3 AB
IMPERO EL AB,5569389108,3,50,Rosenquist; Mattias Per Allan Holger,2,0,Impero Fastighets AB|IMPERO EL AB
Implenia Construction GmbH; Tyskland filial       Sverige,5164049768,nan,nan,Ivansson; Stig Anders,4,3,Implenia Sverige AB|Implenia Construction Odenplan AB|Implenia Construction GmbH; Tyskland filial       Sverige|AB Nina Svalstedt
Implenia Construction GmbH; Tyskland filial       Sverige,5164049768,nan,nan,Köhler; Martin,1,1,Implenia Construction GmbH; Tyskland filial       Sverige
IMS Ventilation AB,5567002299,3,39,Boberg; Per Emil Jonas,5,1,IMS Ventilation AB|J Boberg Invest AB|JB service i Vingåker|Bobergs ventservice AB|LBA Service AB
Indra Invest AB,5590175237,4,47,Thomasson; Johan Kristofer,14,11,Bro & Tak Isoleringar i Umeå Aktiebolag|Västerbottens Travsällskap|DRSMA Sverige AB|Indra Invest AB|Edwin IT AB|Aweko Nord AB|Bosses Projektledning AB|JT Invest i Umeå AB|DRSMA Fastigheter AB|LEMMO JTG AB|Kvix AB|Michael Grönberg AB|Bostadsrättsföreningen Poeten|LEMMO JTG 1 AB
Fermeco Montage AB,5564208436,3,45,Ölund; Stig Erik,5,8,Stålinvest i Norr AB|Fermeco AB|Fermeco Montage AB|SST Svensk Ståltransport AB|NSS Nordic Steel System AB
Fermeco Montage AB,5564208436,3,45,Ek; Inger Cecilia,5,12,Stålinvest i Norr AB|Fermeco AB|Fermeco Montage AB|SST Svensk Ståltransport AB|NSS Nordic Steel System AB
