company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Thage i Skåne Aktiebolag,5560659145,6,58,Ferlesjö; Karl Robin Andréas,2,0,Thage i Skåne Aktiebolag|Byggmästarnas Service Aktiebolag Östra Skåne
Ikano Bostadsproduktion AB,5566347711,3,52,Hallengren; Mikael Fredrik,2,5,Ikano Bostadsproduktion AB|Brantås Bygg AB
Anläggning & Kabel Entreprenad i Malmö AB,5567643498,3,54,Condrup; Dan Peter Håkan,44,69,Eleda Holding AB|Anläggning & Kabel Entreprenad i Malmö AB|Mark & Energibyggarna i Göteborg Aktiebolag|Järfälla VA- & Byggentreprenad Aktiebolag|Salboheds Bygg och Anläggningstjänst AB|KEWAB; Kenneth Wahlström Aktiebolag|KEWAB AB|Västkustens Anläggnings AB|Annebergs Bygg och Anläggning AB|AXEDA Entreprenad AB|CC IT-Service i Sverige AB|Mark & Energibyggarna Infra AB|Eleda Acquisition AB|Sandins Entreprenad AB|Fjällbygdens Fastighets AB|Palms Sprängtjänst Aktiebolag|Sandins Rail AB|Mobill Scandinavia Aktiebolag|Trigo Mätteknik AB|Qevirp Holding AB|Deleme Invest AB|BRABAG AB|Reklambolaget Rapp AB|EMELED Fjällfastigheter AB|Capolista Media AB|Eleda Group Holding AB|Outstanding Education Landskrona AB|PETOSK Investment AB|MAPINE Invest AB|Eleda MidCo AB|cekeab partners AB|Ekeab Invest AB|MELEDE INVEST AB|PJ CH Fastigheter AB|Eleda BidCo AB|Tipal Invest Aktiebolag|DeDe Invest AB|PJ CH Invest AB|Kapedelem Invest AB|Eleda TopCo AB|Orkan Invest i Malmö AB|Eleda Group AB|HoldCo KW AB|JV Partners AB
Byggmästar'n i Skåne Aktiebolag,5564635273,5,51,Stoeckmann; Anna Carin,16,6,Byggmästar'n i Skåne Aktiebolag|Ideella föreningen Svenskt Näringsliv med firma   Svenskt Näringsliv|Byggföretagen i Sverige Service AB|Rehn Bygger Aktiebolag|Skånemark Exploatering AB|Havrehuset Fastigheter AB|Bo Bra i Höganäs AB|Ideella föreningen Ratio med firma Ratio|Tillväxt Landskrona AB|Sturk Syd AB|Sturk Fastigheter Aktiebolag|Bollspelaren 1 Fastigheter Aktiebolag|Roos Damm Intressenter AB|Sturk Förvaltning AB|Byggmästarn i Skåne Fastigheter AB|Familjen Dahlén Holding AB
Byggnavet AB,5565197000,4,60,Magnusson; Ulf Otto Mikael,17,37,Byggnavet AB|Byggnadsfirman Otto Magnusson AB|Byggnadsfirman Otto Magnusson Entreprenad AB|Byggnadsfirman Otto Magnusson Service AB|Fastighetsbolaget Giggen AB|HUB PARK AB|The Office AB|Nya Ellstorp Holding AB|Hyllie Fabriken AB|HUB PARK Hyllie AB|HUB Holding 1 AB|HUB PARK Solkvarteren AB|HUB Holding 2 AB|Otto Magnusson Holding 1:808 AB|Förvaltnings UD Hammaren AB|Byggnavet Holding AB|Fastighets Aktiebolaget Suell
Midroc Projects AB,5565329926,3,53,Syrén; Lars Peter,128,267,Midroc Properties AB|Midroc Projects AB|Midroc Construction AB|Midroc Property Development AB|Hackholmssund Konferens Aktiebolag|Sallerup Del B AB|Teknikportalen i Malmö AB|Midroc Land Development AB|Midroc Bostäder AB|Färgaren 25 Fastighets AB|Midroc Jöns Petter Borg Alléhuset Fastighets AB|Hotellfastighetsbolaget Västra Hamnen AB|Business Center Skeppsgatan Aktiebolag|Business Center Jungmansgatan Aktiebolag|Midroc Draken Parkeringsfastighet AB|Midroc Business Center AB|Business Center Hedvig Möllers gata AB|Centrumfastigheter i Kävlinge AB|Prisman 4 Fastighets AB|Klimathuset i Skåne AB|Kontorsfastigheter Propellergatan AB|Midroc Ångfärjan Stationen AB|Midroc Real Estate AB|Preco Fastighets Aktiebolag|Margretedalsbostäder AB|Malmö Mässhallen 3 AB|Förvaltnings AB Brunnshög 1|Själabodarna Fastighets AB|MPD Smaragd Grund 3 AB|Scandibox Aktiebolag|Hackholmsnäs Fastighets AB|Centrumfastigheter i Lomma AB|Sallerup Fastighets AB|Midroc PB Del A AB|Wasted Space AB|Midroc Ångfärjan Kongress AB|MPD Teal Grund 3 AB|MPD Gagat Grund 2 AB|MPD Holding Pyrop AB|MPD Teal Grund 2 AB|PB Del E AB|Midroc Properties Stockholm AB|MPD Holding Turmalin AB|MPD Cinnober Grund 3 AB|MPD Holding Arpajon AB|MPD Sienna Grund 3 AB|MPD Holding Röd AB|MPD Holding Alnico AB|MPD Sienna Grund 2 AB|MPD Pyrop Grund 4 AB|MPD Holding Grå AB|PB Del H AB|Townhouse AB|Midroc Property Öresund AB|MPD Holding Grön AB|MPD Sienna Grund 1 AB|MPD Teal Grund 1 AB|MPD Holding Baveno AB|MPD Holding Citri AB|MPD Cinnober Grund 1 AB|Bostadsrättsföreningen Lommaprinsen|Midroc Oceanhamnen AB|MPD Rubin Grund 2 AB|MPD Holding Karneol AB|Midroc Real Estate Holding Gamma AB|MPD Holding Smaragd AB|MPD Holding Gul AB|Midroc Draken Profilbyggnad AB|PB Sala Backe AB|MPD Jade Grund 3 AB|Midroc Land Holding AB|MPD Holding Opal AB|Lyckos AB|MPD Rubin Grund 1 AB|MPD Gagat Grund 3 AB|Abbe Fastighets AB|Midroc Kiwin Fastighets AB|MPD Holding Blåametist AB|MPD Gagat Grund 1 AB|Projektbolag Del V AB|MPD Holding Jade AB|Midcor Fastighets AB|MPD Jade Grund 2 AB|MPD Pyrop Grund 3 AB|MPD Jade Grund 1 AB|MPD Pyrop Grund 1 AB|MPD Pyrop Grund 2 AB|MPD Blåametist Grund 1 AB|Midroc Real Estate Fenix AB|MPD Cinnober Grund 2 AB|MPD Holding Teal AB|MPD Turmalin Grund 3 AB|MPD Karneol Grund 3 AB|MPD Aventurin Grund 2 AB|MPD Aventurin Grund 3 AB|MPD Turmalin Grund 1 AB|MPD Holding Cinnober AB|Fastighets AB Biologen i Växjö|MPD Holding Sienna AB|Fastighetsaktiebolaget Gräset|MPD Smaragd Grund 4 AB|Midroc Växjö Biologen Fastighets AB|MPD Blåametist Grund 2 AB|Projektbolag Del T AB|MPD Opal Grund 3 AB|MPD Holding Brun AB|Midroc Real Estate Holding Beta AB|Midroc Housing Concepts AB|MPD Holding Gagat AB|MPD Opal Grund 2 AB|Midroc Real Estate Holding Alfa AB|MPD Holding Rubin AB|MPD Holding Vit AB|Midroc Real Estate Reflux AB|Midroc Real Estate Redux AB|MPD Baveno Grund 2 AB|MPD Arpajon Grund 3 AB|MPD Citri Grund 3 AB|MPD Holding Helium AB|Fastighets AB Klitterbyn 2|MPD Baveno Grund 3 AB|MPD Holding Litium AB|MPD Arpajon Grund 1 AB|MPD Citri Grund I AB|MPD Arpajon Grund 2 AB|MPD Holding Väte AB|MPD Citri Grund 2 AB|MPD Baveno Grund 1 AB
Barsebäck Kraft Aktiebolag,5560945197,10,53,Carlson; Åsa Elisabet,2,4,Barsebäck Kraft Aktiebolag|Svensk Kärnbränslehantering Aktiebolag
Treano Bygg AB,5565306197,3,53,Kamf Schlyter; Fredrik Marcus,14,28,Treano Bygg AB|Aktiebolaget Optiol|Fastighets AB Lövsk.5|Sverog AB|Trähälsan Fastighets AB|Byborgen AB|For Rent i Skåne AB|KFB Invest AB|P & S Industrifastigheter Holding AB|Bulltofta Fastighets AB|FreDa Invest AB|Gråa Lagret Fastighets AB|Villa Kamf Schlyter AB|TPS Skåne Invest AB
Climat 80 Aktiebolag,5562240662,4,53,Sjöberg; Thomas Roger,6,6,Climat 80 Aktiebolag|AB Stjernfeldts VVS|Klimatkyl i Malmö Aktiebolag|Climat 80 Entreprenad AB|EL FASTIGHETSSERVICE SYD AB|Lunds Värme & Sanitets Aktiebolag
NIMAB Entreprenad AB,5565926010,4,53,Andersson; Kjell Martin,3,0,Nimab Support AB|NIMAB Entreprenad AB|Nimab Anläggning AB
Purac AB,5562293125,6,53,Grönborg; Marie,3,3,Permascand Top Holding AB|Purac AB|SSAB AB
Kraftringen Service AB,5565116398,3,51,Olsson; Bengt Arne Mikael,2,4,Skånska Energi Aktiebolag|Kraftringen Service AB
Servicekuben Aktiebolag,5566277405,4,61,Hylén; Lars Johan,2,5,Servicekuben Väst AB|Servicekuben Aktiebolag
Byggnadsfirman Otto Magnusson Entreprenad AB,5560656117,4,60,Magnusson; Dan Börje,20,29,Byggnavet AB|Byggnadsfirman Otto Magnusson AB|Byggnadsfirman Otto Magnusson Entreprenad AB|Byggnadsfirman Otto Magnusson Service AB|Restaurang Atmosfär Aktiebolag|Escama AB|Fastighetsbolaget Giggen AB|HUB PARK AB|Aktiebolaget Boost by FC Rosengård|The Office AB|HUB Holding 1 AB|Otto Magnusson Holding 1:808 AB|HUB PARK Hyllie AB|Hyllie Fabriken AB|Byggnavet Holding AB|Nya Ellstorp Holding AB|HUB Holding 2 AB|HUB PARK Solkvarteren AB|Förvaltnings DU Hornet AB|Fastighets Aktiebolaget Suell
ApQ El AB,5565400602,6,56,Qvarfort; Peter Andreas,9,13,ApQ El AB|ApQ Holding AB|ApQ EL Stockholm AB|ApQ Power AB|Nya Sjukhusområdet Malmö El Handelsbolag|Vattle AB|GAQ Contracting AB|VII Maskin och Verktyg AB|AB CAQ
Atkins Sverige AB,5566116751,5,45,Erlandsson; Carl Olof Johannes,1,5,Atkins Sverige AB
Stoby Måleri AB,5561289744,3,50,Olsson; Göran Stefan,19,29,Stoby Måleri AB|Stockeby Målerifirma Förvaltnings Aktiebolag|Mat by Fredholms AB|Åhus Äspet Tomt AB|Lindbergs Måleri i Lomma Aktiebolag|Stockeby Fastigheter Hässleholm AB|Stockeby Fastigheter Malmö AB|Stockeby Fastigheter AB|Brolsson AB|Hässleholm Stadsutveckling AB|Forumbostäder Sverige AB|Stoby Försäljning AB|Bomero Fastigheter AB|Forumbostäder Södra Äspet AB|Planeternas Tomt AB|Stoby Industri AB|Bygg & Färggrossisten Sverige AB|Löden i Hässleholm AB|Nordic Surface Group AB
Barslund Sverige AB,5567118004,6,58,Sørensen; Anders Kulmbach,1,2,Barslund Sverige AB
Sven Jinert Aktiebolag,5563251528,3,57,Jinert; Björn,3,5,Jinert Lack AB|Sven Jinert Aktiebolag|Bilfastigheter i Kristianstad AB
Henrik Anderssons Byggnads AB,5562512037,2,48,Andersson; Paul Henrik,5,1,Henrik Anderssons Byggnads AB|Henrik Anderssons Holding AB|Fastett AB|Fjälastorps Highland Cattle Handelsbolag|H2A Holding AB
Peab Fastighetsutveckling Syd AB,5566998430,4,52,Dahlman; Björn Christian,13,266,Peab Fastighetsutveckling Syd AB|Archus AB|Fastighets AB ML 4|Hyllie Point 3 AB|Archus Development Aktiebolag|Archus Partner AB|Skånehus AB|Peab FU Jupiter 11 Aktiebolag|Hyllie Point 4 AB|Värby Fastighets AB|INSPI Sweden AB|Point Hyllie Holding AB|Peab FU Vintrie 1 AB
Beijer Electronics AB,5567014328,3,59,Lager; Kurt Stefan,3,7,Beijer Electronics AB|Bong AB|Beijer Electronics Automation AB
ATS Kraftservice Aktiebolag,5564675998,4,46,Lantz; Markus,3,5,Hagström i Nås AB|ATS Kraftservice Aktiebolag|ATS Tjänster AB
Malmberg Water AB,5562929272,4,49,Malmberg; Simon Erik,7,9,MalmbergGruppen Aktiebolag|Malmberg Water AB|Malmberg Borrning AB|Malmberg Miljöhantering AB|Serneke Malmberg Entreprenad AB|Malmberg i Yngsjö AB|Malmberg Original Water Aktiebolag
MTA Bygg & Anläggning Skåne AB,5590115688,5,51,Granberg; Claes Andreas,30,25,MACNAT Holding AB|MTA Bygg & Anläggning Halland AB|MTA Bygg & Anläggning Skåne AB|MTA Maskin AB|Halmstad Vårdboende AB|MTA Bygg & Anläggning i Varberg AB|Kävlinge Vårdboende AB|Eirhem AB|Båstad Tuvelyckan AB|Båstadlyckan Fastighets AB|Båstads Communicationscenter AB|Trelleborg Vårdboende AB|MTAF nr 15 AB|Varberg Vårdboende AB|Midhem Projektutveckling AB|Varberg Trygghetsbostäder AB|MTAF nr 30 AB|MTAF nr 20 AB|MACNAT Construction AB|Expressgrus i Halmstad AB|MTAF nr 31 AB|MTAF nr 12 AB|MTAF nr 32 AB|MACNAT Property Development AB|Mölnlycke Vårdboende AB|MatsTommyAndreas Fastighets AB|MACNAT Property AB|Båstad Vårdboende AB|Falkenberg Vårdboende AB|MTA Trollängen Holding AB
Byggnadsfirman Otto Magnusson Service AB,5562535863,4,60,Magnusson; Ulf Otto Mikael,17,37,Byggnavet AB|Byggnadsfirman Otto Magnusson AB|Byggnadsfirman Otto Magnusson Entreprenad AB|Byggnadsfirman Otto Magnusson Service AB|Fastighetsbolaget Giggen AB|HUB PARK AB|The Office AB|Nya Ellstorp Holding AB|Hyllie Fabriken AB|HUB PARK Hyllie AB|HUB Holding 1 AB|HUB PARK Solkvarteren AB|HUB Holding 2 AB|Otto Magnusson Holding 1:808 AB|Förvaltnings UD Hammaren AB|Byggnavet Holding AB|Fastighets Aktiebolaget Suell
Great Security Sverige AB,5565354726,3,51,Skårner; Pontus Roland Gösta,13,4,Great Security Sverige AB|Great Security Solution Sverige AB|Great Security Mitt AB|Great Security Mekanik Stockholm AB|Lås & Säkerhet i Örebro AB|Great Security Nacka AB|Great Security Årsta AB|Great Security Mekanik GBG AB|EL & TELEANLÄGGNINGAR I STOCKHOLM Aktiebolag|Great Security Bromma AB|Great Security Elektronik GBG AB|Great Security Holding AB|AB Trosa Teleteknik
Allbygg i Höganäs AB,5567104384,5,63,Bengtsson; Bengt Gustav,5,6,Mutatis Mutandis Aktiebolag|Allbygg i Höganäs AB|Tjörröds Byggmaskiner AB|Bengt Bengtsson i Höganäs AB|Allbygg Småhus i Sverige AB
Allbygg i Höganäs AB,5567104384,5,63,Bengtsson; Pål Anders,5,2,Mutatis Mutandis Aktiebolag|Allbygg i Höganäs AB|Tjörröds Byggmaskiner AB|Bengt Bengtsson i Höganäs AB|Allbygg Småhus i Sverige AB
FASAB Mark AB,5565747283,3,56,Andersson; Bengt Stefan,20,8,FASAB Mark AB|FASAB Invest AB|FASAB Fastighetsskötsel AB|Åhus Äspet Tomt AB|FASAB Fastighets AB|FASAB Olshus AB|Forumbostäder Sverige AB|Forumbostäder Södra Äspet AB|FASAB Bygg AB|Hässleholm Stadsutveckling AB|Bostadsrättsföreningen Ocean i Åhus|TMA Invest i Hässleholm AB|Bomero Fastigheter AB|FASAB Consulting AB|Planeternas Tomt AB|ÅHAV Fastighets AB|Hav Development AB|FASAB Nyahus AB|FASAB Mekanikern 7 AB|Bostadsrättsföreningen Vikingsskog
Backahill AB,5565908547,5,64,Mauritzson; Per Lennart,76,43,GRAM GROUP AB|Backahill AB|Brinova Fastigheter AB (publ)|Backahill Fastigheter AB|Backahill Cityfastigheter AB|Rögle Marknads AB|Backahill Bostäder AB|BR i Gustavsberg AB|Norrviken Utveckling AB|Backahill Förmannen 3 AB|Backahill Hotellfastigheter AB|Backahill Projektutveckling AB|Backahill Påfågeln AB|Fastighetsutveckling i Båstad AB|Backastad Projekt AB|Backahill Lärkan AB|Hansan Aktiebolag|Lilla Båstad AB|Fastighets AB Förmannen 6|Backahill Neptus AB|H.U.S. Fastigheter i Båstad AB|Backahill Vegeholm AB|Backahill Båstad AB|Backastad Årsta AB|Backahill Norregården AB|Backastad Graninge 9 AB|Backahill Hjorten AB|Tomtbolaget i Båstad AB|Backahill Akvarellen 19 AB|Backahill Båtsmannen 6 AB|Backastad Graninge 8 AB|Backahill Taktäckaren AB|Backahill Sandvångsgatan AB|Backahill Evald 7 i Båstad AB|Backastad Silvergården AB|Båstad Financing AB|Projekt Gustavsberg AB|Backahill Apelryd AB|Backahill Vilhelmsfält AB|Hamnbacken i Båstad AB|Backahill Förvaltning AB|Norrviken Park AB|Backahill Gamlegården AB|Backahill Utveckling AB|Backahill Holding AB|Claerence Village AB|Backastad Omsorg AB|Backastad AB|Norrviken Event AB|MMBA Holding AB|Böske Backe AB|Backahill Lindvallen AB|Båstad Konst - och Kulturfastigheter AB|Chart Invest AB|Backahill Inter AB|Fastighetsaktiebolaget De-Ba|Backastad Graninge 3 AB|Hannes Mauritzson AB|Backahill Skåne AB|Backastad Graninge 7 AB|Backastad Graninge 2 AB|Backastad Graninge 5 AB|Backastad Graninge 11 AB|Backastad Graninge 10 AB|Backastad Graninge 6 AB|Backastad Graninge Holding 1 AB|Backastad Graninge Holding 3 AB|Backastad Graninge 4 AB|M Advisory & Holding AB|Backahill Kyrkan 2 AB|Backahill Elestorp AB|Backastad Graninge 1 AB|Backastad Graninge 12 AB|Böske Backe Invest AB|Backastad Graninge Holding 2 AB|LB Parkering AB
Backahill AB,5565908547,5,64,Swärdh; Rolf Magnus,98,170,Catena AB|GRAM GROUP AB|Backahill AB|Backahill Fastigheter AB|Backahill Cityfastigheter AB|S&E Stockholm Horse Week AB|Rögle Marknads AB|Backahill Bostäder AB|Foodhills Fastighet AB|Lima Timmerhus AB|BR i Gustavsberg AB|Competensum Skåne Nordväst AB|Norrviken Utveckling AB|Killebäckstorp i Båstad Aktiebolag|Backahill Förmannen 3 AB|Backahill Hotellfastigheter AB|Backahill Projektutveckling AB|Backahill Påfågeln AB|Fastighetsutveckling i Båstad AB|Backastad Projekt AB|Backahill Lärkan AB|Hansan Aktiebolag|Lilla Båstad AB|Fastighets AB Förmannen 6|Backahill Neptus AB|H.U.S. Fastigheter i Båstad AB|Foodhills Fastighet Två AB|Backahill Vegeholm AB|Backahill Båstad AB|Backastad Årsta AB|Backahill Norregården AB|Backastad Graninge 9 AB|Backahill Hjorten AB|Tomtbolaget i Båstad AB|Backahill Akvarellen 19 AB|JOPA Fastighets AB|Fastigheten Rosenholm i Ängelholm AB|Backahill Båtsmannen 6 AB|Backastad Graninge 8 AB|Backahill Taktäckaren AB|S&E Sport&Evenemang Holding AB|Backahill Sandvångsgatan AB|Backahill Evald 7 i Båstad AB|Backastad Silvergården AB|Båstad Financing AB|Projekt Gustavsberg AB|Backahill Apelryd AB|Backahill Vilhelmsfält AB|Backerhof 2 AB|Hamnbacken i Båstad AB|Backahill Förvaltning AB|Norrviken Park AB|Svantab Aktiebolag|Backahill Gamlegården AB|Backahill Utveckling AB|Backahill Holding AB|Claerence Village AB|Backastad Omsorg AB|Backastad AB|Norrviken Event AB|INIS Sweden AB|MMBA Holding AB|Backerhof Stanstorp AB|Böske Backe AB|Backahill Invest AB|Backahill Lindvallen AB|Båstad Konst - och Kulturfastigheter AB|Chart Invest AB|Backahill Inter AB|Fastighetsaktiebolaget De-Ba|Backastad Graninge 3 AB|Backerhof 4 AB|Backerhof Holding 2 AB|Backahill DABS AB|PMSA Aktiesparklubb AB|SVPA Holding AB|Backahill Skåne AB|Backastad Graninge 7 AB|Backastad Graninge 2 AB|Backastad Graninge 5 AB|Backastad Graninge 11 AB|Backastad Graninge 10 AB|Backastad Graninge 6 AB|Backastad Graninge Holding 1 AB|Backastad Graninge Holding 3 AB|Backastad Graninge 4 AB|Backahill Kyrkan 2 AB|Backerhof Holding AB|Backerhof 6 AB|Backahill Bjäre AB|Backahill Elestorp AB|Backastad Graninge 1 AB|Backastad Graninge 12 AB|Böske Backe Invest AB|Svenskehögs AB|Backastad Graninge Holding 2 AB|Ademos AB|LB Parkering AB
