company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
MJ s Kakel & Klinker AB,5590116785,2,46,Jönsson; Johan Markus,1,3,MJ s Kakel & Klinker AB
Sot of Sweden AB,5591235915,7,53,Bjelk; Jenny Paulina Viktoria Maria,5,2,SIMAB Sotarna i Skåne AB|SIMAB Ventilation & Brandskydd AB|Sot of Sweden AB|SIMAB Fastighets AB|SIMAB Säker Bostad i Skåne AB
Grandelius Plugg och Lugg AB,5591321509,2,52,Grandelius; Nils Robert,3,2,Skagarv Real Estate AB|Grandelius Plugg och Lugg AB|Simrishamns Bostäder AB
Grandelius Plugg och Lugg AB,5591321509,2,52,Grandelius; Cini Carina Margareta,1,1,Grandelius Plugg och Lugg AB
Tomelilla Glasmästeri och Ram AB,5566047964,3,67,Skoog; Bengt Ulf,1,1,Tomelilla Glasmästeri och Ram AB
CASALO GROUP AB,5567784037,2,47,Bülow; Charlotta Kerstin,2,3,CASALO GROUP AB|Casalo Medveten Interiör
WMI WELINS MASKIN INDUSTRISERVICE AB,5590759634,2,43,Velin; Alf Kent Ola,2,5,WMI WELINS MASKIN INDUSTRISERVICE AB|Welin's Maskin Montering
WMI WELINS MASKIN INDUSTRISERVICE AB,5590759634,2,43,Velin; Amra,1,0,WMI WELINS MASKIN INDUSTRISERVICE AB
Johan & Kristian Plåt & Byggservice AB,5591157945,3,52,Fagerberg; Karl Johan Peter,2,0,Johan & Kristian Plåt & Byggservice AB|Johan & Kristian Plåt & Byggservice Handelsbolag
Johan & Kristian Plåt & Byggservice AB,5591157945,3,52,Lindahl; Lars Kristian,2,0,Johan & Kristian Plåt & Byggservice AB|Johan & Kristian Plåt & Byggservice Handelsbolag
Aditus Science Aktiebolag,5564854734,2,68,Böhmer; Bernt Jörgen,4,10,Aditus Science Aktiebolag|Böhmer Audio AB|TelluSecure AB|Böhmer Holding AB
JVF Rörinstallationer AB,5566207089,2,51,Jarl; Mats Åke,2,1,JARLS BIL O KAROSSERI SERVICE|JVF Rörinstallationer AB
Fredrik Jönsson Måleri AB,5568597156,2,48,Jönsson; Bengt Fredrik,1,2,Fredrik Jönsson Måleri AB
illyrian prefab montage AB,5592079643,3,31,Zogaj; Dugagjin,2,0,Workfit AB|illyrian prefab montage AB
Elkällan syd AB,5591671549,4,33,Bernstein; Conny Arne Daniel,3,0,JS Elservice AB|Spicks Bernstein Holding AB|Elkällan syd AB
Elkällan syd AB,5591671549,4,33,Göransson; Thord Sebastian Alex,3,0,JS Elservice AB|Alex Göransson Holding AB|Elkällan syd AB
Automatiska dörrsystem i Malmö AB,5568792054,2,42,Börjesson; Bo Jerker Mattias,2,0,Säkerhetsteknik i Örestad AB|Automatiska dörrsystem i Malmö AB
Palmqvists Värmepumpsservice AB,5569799280,2,46,Palmqvist; Anna Jessica,1,0,Palmqvists Värmepumpsservice AB
Palmqvists Värmepumpsservice AB,5569799280,2,46,Palmqvist; Stig Håkan Ingemar,1,0,Palmqvists Värmepumpsservice AB
Vexam AB,5591790539,3,42,Meijer; Per Wilhelm,1,0,Vexam AB
Vexam AB,5591790539,3,42,Asplund; Alexander Lennart,1,1,Vexam AB
Peab AB,5560614330,14,60,Göransson; Jesper,18,828,Peab AB|Peab Sverige AB|Peab Anläggning AB|Peab Bostad AB|Fastighets AB Centur|Peab Markutveckling AB|Peab Lokal AB|Peab Industri Sverige Aktiebolag|Peabskolan AB|Peab Fastighetsutveckling Sverige AB|Peab Projektutveckling AB|Kompetens och Kultur Norden AB|Peab Industri AB|Peab Finans Aktiebolag|Peab Fastighetsutveckling AB|Peab FU Finland AB|Annehem Fastigheter AB (publ)|Fastighets AB Tornet
Peab Sverige AB,5560999202,5,49,Danielsson; Erik Stefan,6,11,Peab Sverige AB|Peab Bostadsproduktion AB|Peab Industribyggnad i Norr AB|HälsingeBygg i Hudiksvall AB|Undertak - och Fasadentreprenader Sverige AB|Rörman Installation & Service                     Sverige AB
Peab Anläggning AB,5565686721,5,53,Sandving Brändström; Charlotta Marie,7,20,Peab Anläggning AB|Peab Grundläggning Aktiebolag|Olof Mobjer Entreprenad Aktiebolag|Peab Industribyggnad i Norr AB|G; Nilssons Last & Planering i                    Ranseröd Aktiebolag|Berg & Betongtätning i Sverige AB|Stena Recycling Holding AB
Peab Asfalt AB,5560988122,4,56,Jakobsson; Hans Håkan,8,16,Swerock Aktiebolag|Peab Asfalt AB|Peab Asfaltfräsning Aktiebolag|Peab Asfalt Väst AB|Berg & Betongtätning i Sverige AB|Peab Industri AB|Bodenhus AB
Peab Byggservice Aktiebolag,5560663675,3,55,Hylén; Per Kristian,2,8,Peab Byggservice Aktiebolag|Aktiebolaget Hälsingborgsbostäder
Eolus Vind Aktiebolag (publ).,5563893956,6,61,Witalisson; Per Ingemar,45,120,Eolus Vind Aktiebolag (publ).|Långmarken Wind AB|Eolus Wind Power Management AB|Rockneby Vind AB|Uddevalla Vind AB|Hästhalla Wind AB|Ekovind AB|Triventus AB|Svenska Vindbolaget AB|Eolus Vindpark 29 AB|Lärkeskogen Vindkraft AB|Linusvind AB|Lunnekullen Vindkraft AB|Skuggetorp Vindkraft AB|Amnehärad Vindkraft Aktiebolag|Näset Vindkraft AB|Ölme Vindkraft AB|Eolus Elnät AB|Skogaryd Vindkraft AB|Eolus Vind Amnehärad AB|Blekinge Offshore AB|Eolus Vindpark Nitton AB|Eolus Vindpark 35 AB|Eolus Vindpark 25 AB|Eolus Vindpark 23 AB|Eolus Vindpark 26 AB|Eolus Vindpark 33 AB|Eolus Vindpark 37 AB|Eolus Vindpark 36 AB|Eolus Vindpark Tjugoett AB|Eolus Vindpark 28 AB|Eolus Vindpark 40 AB|Eolus Vindpark 43 AB|Eolus Vindpark 47 AB|Eolus Vindpark 49 AB|Eolus Vindpark 44 AB|Eolus Vindpark 38 AB|Eolus Vindpark 46 AB|Eolus Vindpark Fem AB|Eolus Vindpark 45 AB|Eolus Vindpark 34 AB|Eolus Vindpark 31 AB|Eolus Vindpark 27 AB|Eolus Vindpark 39 AB|Eolus Vindpark Sju AB
Eolus Vind Aktiebolag (publ).,5563893956,6,61,Landelin; Marcus Christian,5,13,Eolus Vind Aktiebolag (publ).|Eolus Wind Power Management AB|Ekovind AB|Blekinge Offshore AB|NIMA Energy AB
One Nordic AB,5560757287,3,53,Arvidsson; Lars Jonas,9,17,One Nordic Sverige AB|One Nordic Holding AB|One Nordic AB|Craftor AB|Lapplands Elnät i Jokkmokk AB|ONE Nordic Mätteknik AB|ONE Nordic Hydro AB|One Nordic Konsult AB|Craftor Holding AB
Assemblin Ventilation AB,5567289177,3,47,Ekvall; Bengt Håkan,14,12,Assemblin Ventilation AB|Luftkompaniet Sjöblom Aktiebolag|JVT Vent AB|Totalplåt i Sverige AB|Assemblin Installation Vent AB|Örestadskyl Aktiebolag|Projektuppdrag Syd AB|Assemblin HVAC AB|Assemblin Umeå Ventilation AB|Familjen Ekvall AB|Wake Fast Sjögatan AB|PolarLuft AB|Wake Fast AB|Villan i Falsterbo AB
MVB Syd AB,5560761214,4,58,Ellkvist; Gert Thomas,4,1,MVB Syd AB|MVB Astor Bygg AB|MVB Öst AB|MVB Väst AB
BAB bygg AB,5566089669,3,54,Andersson; Bert Ove Kenneth,30,25,BrA Invest CKS AB|BAB bygg AB|KB Components AB|AB Dogman|Draken i Reftele Aktiebolag|BAB anläggning AB|Djurens Center DC Aktiebolag|Huveröds Hund & Kattmat Aktiebolag|Dogman Butiker AB|Kristianstad Zoologiska AB|Örkelljungahus Korgarna AB|Djurriket i Helsingborg Aktiebolag|Dogman Lager AB|Mässhallen i Åstorp AB|Örkelljungahus Ejdern 16 AB|Örkelljungahus Hagtornet 1 AB|Fastighets AB 3Hus|Shopet AB|Fastighets AB Västra vägen|Gajadfastigheten i Åstorp AB|Progetti Getapeln 1 AB|3Hus Holding AB|Åstorpshus Nyvång 1:196 AB|Progetti Spaljén 1 i Trelleborg AB|Progetti Ramlösa 5:12 AB|Fyllinge 20:557 Fastighets AB|Örkelljungahus Ejdern 14 AB|Progetti Elinegard 1 AB|Bjuvshus Bjuv 3:58 AB|Progetti Ortica AB
Bravida Prenad AB,5564541315,7,59,Ahlquist; Anders Robert,7,11,Bravida Sverige AB|Bravida Prenad AB|AM Elektriska AB|NPI Ventilation Aktiebolag|Ventfyran i Göteborg AB|Herberts Rör Aktiebolag|Lindsténs Elektriska Aktiebolag
Thage i Skåne Aktiebolag,5560659145,6,58,Isaksson; Per-Åke Jörgen,1,2,Thage i Skåne Aktiebolag
