company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Niklas Conny Wikman Bygg I Väst AB,5568526684,3,43,Wikman; Niklas Conny,1,1,Niklas Conny Wikman Bygg I Väst AB
ToRoX Aktiebolag,5590100664,4,46,Sundberg; Peter Tomas Jimmy,3,3,ToRoX Aktiebolag|RoToX AB|ToRoX Fastigheter AB
Speedheater System AB,5562548726,2,57,Ericson; Olof Birger,1,5,Speedheater System AB
Strömson Bygg & Design AB,5568285349,4,53,Strömberg; Johan Patrick,9,3,Strömson Bygg & Design AB|Strömson Fastigheter AB|Strömson Home AB|Strömbergs VVS och Fastigheter AB|Strömson Holding AB|P Strömberg Invest AB|Mellby 4:149 Lokal AB|ASAB AB|Strömson Golf AB
ASTART AB,5569711368,2,42,Gustafsson Blom; Björn Johan Michael,1,5,ASTART AB
Mark Team på framsidan AB,5591630487,3,44,Eriksson; Thomas Lennart,4,0,Mark Team på framsidan AB|Svenska Prylbolaget AB|Byggarna på framsidan AB|Thomas Eriksson Förvaltning AB
JiA Byggtjänst i Borås AB,5591695761,3,41,Andersson; Jimmy Dennis,2,2,JiA Byggtjänst i Borås AB|JIA Byggtjänst
CMC Byggadministration Aktiebolag,5561025205,4,52,Johansson; Gustaf Martin,4,0,CMC Byggadministration Aktiebolag|CMC Projektledare Aktiebolag|CMC Byggadministration Holding AB|Martins och Kerstins Byggprojektledning AB
Vasastadens Plåtslageri Aktiebolag,5591516744,3,53,Aronsson; Karl Rasmus,3,2,Vasastadens Plåtslageri Aktiebolag|Aronsson & Karlsson Fastighetsinvest AB|Vasastadens Bleck och Plåtslageri Aktiebolag
WORK FORCE BYGGNADS AB,5567021661,3,46,Holmgren; Karin Veronica,2,0,WORK FORCE BYGGNADS AB|Norra Bohusläns Konsult AB
Stomkonstruktioner i Göteborg AB,5590395793,3,55,Klovland; Terje,7,10,Stomkonstruktioner Sverige AB|Stomkonstruktioner i Mälardalen AB|Stomkonstruktioner i Göteborg AB|Stomkonstruktioner i Malmö AB|JK Träning och Hälsa Mälardalen AB|TDS Teknik AB|TDS Holding AB
Säteråsens Riv AB,5590625702,2,42,Ekström; Pär Tony,2,2,Säteråsens Riv AB|Säteråsens riv & saneringskonsult
Brandprojektering Skövde AB,5591165609,3,33,Alniemi; Alexander,5,12,Brandprojektering Skövde AB|Brandprojektering Västerås AB|Brandprojektering Linköping AB|Brandprojektering Sverige AB|Alniemi Holding AB
Brandprojektering Skövde AB,5591165609,3,33,Emanuelsson; Robin Andreas,5,13,Brandprojektering Skövde AB|Brandprojektering Västerås AB|Brandprojektering Linköping AB|Brandprojektering Sverige AB|Nolosets VA & Fiber Ekonomisk förening
MENA BYGG AB,5569295230,2,52,Mroczek; Marzena Anna,3,5,POLMA AB|POLMA|MENA BYGG AB
IndustriRöjarna i Väst AB,5569721375,2,47,Brandt; Anette Monica,2,2,MAD Sweden AB|IndustriRöjarna i Väst AB
IndustriRöjarna i Väst AB,5569721375,2,47,Nylander; Jens Olof Ulf,4,4,IndustriRöjarna i Väst AB|MAD Sweden AB|Dchange AB
Inocean AB,5568731920,3,60,Helgesson; Sara Cecilia Elisabet,1,0,Inocean AB
Medoss Bygg AB,5591658710,4,48,Spelmans; Karl Niclas,3,0,Medoss Förvaltning AB|Medoss Holding AB|Medoss Bygg AB
Medoss Bygg AB,5591658710,4,48,Högrell; Anton Eric,4,2,Medoss Bygg AB|HECH Consulting AB|Medoss Förvaltning AB|Medoss Holding AB
Din Elkontakt i Kungälv AB,5568387822,4,42,Fahlberg; Roger Mattias,4,2,Din Elkontakt i Kungälv AB|Energi & Design i Sverige AB|Energigruppen i Väst Holding AB
Mats Mattias VVS Installationer AB,5569908691,4,37,Johansson; Mats Jörgen,2,0,Mats Mattias VVS Installationer AB|Betongarbeten i Göteborg AB
Mats Mattias VVS Installationer AB,5569908691,4,37,Lohf; Anders Mattias,2,1,Lohf Konsult AB|Mats Mattias VVS Installationer AB
