company_no,company_name
5561548305,Aktiebolaget Sollefteå Sprängtjänst
5563124378,CH Maskin Aktiebolag
5590769112,Quality constructions i Sundsvall AB
5567340624,Bergvärme i Sundsvall AB
5567590582,PL Bygg & Fastigheter AB
5591583132,Wiskan Svets & Maskin AB
5560658865,Elias Bygg Aktiebolag
5564461647,H Bengtssons Entreprenad Aktiebolag
5564581782,Larsson & Sjölander Golv Aktiebolag
5565315735,Bygger nu i Sverige AB
5566479266,Norrmalms Bygg i Sundsvall AB
5568389489,Kovlands Maskinentreprenad AB
5567122964,Sollefteå Plåtslageri AB
5566554712,Immobilia Entreprenad AB
5567866735,Nordic Skill Scandinavia AB
5568145113,RGT Bygg i Sundsvall AB
5566221288,Övik Låsteknik AB
5566516034,Kubbebyggaren AB
5568343551,Ottos El & Montage AB
5591439095,Sundsvalls Byggarna AB
5569879777,Johan Lindells Bygg.se i ö-vik AB
5566171160,Timrå Elmontage AB
5590030457,Bylunds VVS AB
5563024081,Ställningsbyggarna i Sundsvall Aktiebolag
5591932925,Nobicore Bygg AB
9697389535,arconi design och projektering Kommanditbolag
5565067765,Forsmo Åkeri AB
5565173076,Byggfirma P. Lööf Aktiebolag
5590662846,LuckyHouse Byggservice och Fönstermontering AB
5562826015,L Erlandsson Entreprenad (LEEAB) AB
5591402325,HÅLAB Entreprenad AB
5569990772,Nordströms El Sundsvall AB
5562783620,Mästarna Öbacka AB
5591812192,IPOMEA AB
5563164838,Renmarks Måleri Aktiebolag
5564596707,Norrlandsbyggarna Mark & Byggentreprenad AB
5566295316,Elkompaniet i Sundsvall AB
5569285900,Jämtlands Mobilkranar AB
5560732249,Njurunda Isolering Aktiebolag
5564048568,Olssons Elektriska i Ö-vik Aktiebolag
5590994421,Faradium Bygg Umeå AB
5568366792,H P Maskin AB
5563637270,Sundsvall SIAK Aktiebolag
5565656492,Kramfors Trading AB
5566889183,S B Mark och Byggservice AB
5568882046,Tonny Vestling Mattor & Kakel AB
5564185477,JBM i Själevad AB
5566556444,Industrirör i Liden Aktiebolag
5565066916,Norrlands Industriservice i Junsele AB
5567630164,EL21 Aktiebolag
5564008166,WEAND BYGGNADS Aktiebolag
5566191846,Do It All Scandinavia AB
5562651066,Alviks Traktor Aktiebolag
5563807089,L&G Ljungandalen VVS AB
5566520366,Mittport AB
5563679546,Sunds Entreprenad i Sundsvall Aktiebolag
5569931644,Stefan Hellbergs Måleri AB
5569171027,Stenstans Värme & Sanitet AB
5591174593,Midnet Kabel & Fiberteknik AB
5567683437,Långsele Bygg och Maskin AB
5567773493,Bysses Bergsprängning AB
5567009948,Jacobssons Bygg i Älandsbro AB
5567510614,Fönster och Fasadkonsult i Sundsvall AB
5562881176,Billströms Värme Aktiebolag
5562889542,NECON Nordlöfs El-Control AB
5568667199,Sollefteå Produktion AB
5561945543,Berixon Entreprenad AB
5591769038,R. Granlunds Måleri AB
5565902052,MEAB Melins Entreprenad i Nordingrå Aktiebolag
5562265669,Edebrants & Tägtströms Måleri AB
5564197993,Anders Berglund Golv Aktiebolag
5569132250,BIS Åkeri AB
5590245618,Marcus Berglund AB
5569126864,Kulls Bygg AB
5567811780,Nordriv AB
5567101794,Hammarströms Entreprenad AB
5590637152,Västernorrlands Industrimontage AB
5569943094,Säbrå El i Härnösand AB
5568698780,Rocab Berg Aktiebolag
5567283527,Bröderna Edmo AB
5563646297,Bröderna Lundbergs Gräv Aktiebolag
5591203087,El & Anpassning i Sundsvall AB
5590112743,MS Concept AB
5560683152,Arac-Elektriska Aktiebolag
5590713102,2B Bygg AB
5566377510,Bergvärme i Sollefteå AB
5566067558,JPL Mark och Anläggning AB
