company_no,company_name
5564029006,Bellmans Åkeri & Entreprenad Aktiebolag
5566384110,GBJ Bygg AB
5590239165,Hanssons Hus Entreprenad AB
5564647575,Linjemontage i Grästorp Aktiebolag
5560972084,Ryds Glas Sverige AB
5565026241,Botrygg Bygg AB
5560468638,Aktiebolaget Frijo
5563299113,Tengbomgruppen Aktiebolag
5568353725,Tengbomgruppen Holding AB
5566935010,Byredo AB
5564363538,Metrolit Byggnads Aktiebolag
5567561062,Empower AB
5567777908,BELSTROJ AB
5565548426,Tommy Allström Byggproduktion AB
5565429338,Q-gruppen Bygg AB
5568159692,Team Bäckström AB
5567622989,ByggTemagruppen Förvaltning AB
5567894877,Einar Mattsson Projekt AB
5564971322,Småa AB
5565195723,Mockfjärds Fönster AB
5568015324,Byggmästargruppen Stockholm BMG AB
5565926010,NIMAB Entreprenad AB
5565030029,Boetten Bygg AB
5565688560,ByggTema i Örebro Aktiebolag
5567666580,Linotol AB
5561652289,DKLBC Förvaltning AB
5562293125,Purac AB
5561547364,Peab Grundläggning Aktiebolag
5569314080,Betonmast Göteborg AB
5567505788,Sigurd Bostad AB
5565116398,Kraftringen Service AB
5560712167,Sallén Elektriska Aktiebolag
5566277405,Servicekuben Aktiebolag
5566284492,Power Heat Holding AB
5560656117,Byggnadsfirman Otto Magnusson Entreprenad AB
5567818405,MineDrill Gve AB
5562254440,TL Bygg Aktiebolag
5568574205,Nordic Railway Construction Underhåll AB
5565364477,Asplunds Bygg i Mellansverige AB
5566722145,Sallén Förvaltning AB
5566573522,Stenger & Ibsen Construction Sverige AB
5591452080,Viksjö Golvläggning AB
5563616787,Åke Sundvall Byggnads AB
5565400602,ApQ El AB
5566116751,Atkins Sverige AB
5591321210,Qvickbron Industriutveckling AB
5569437626,Selbergs Entreprenad i Umeå AB
5562022821,Schindler Hiss AB
5561924555,VTG Entreprenad AB
5562291582,BESAB AB
5563622074,Nordomatic Aktiebolag
5565719043,EUROMINING AB
5561289744,Stoby Måleri AB
5562957505,MVB Öst AB
5569406373,IBC Consulting AB
5565060067,Stockeby Målerifirma Förvaltnings Aktiebolag
5563093433,AF Bygg Göteborg AB
5567228241,PELATO Invest AB
5590062096,Byggnadsaktiebolaget Tornstaden Öst
5561465336,Älmby Entreprenad Aktiebolag
5562757897,Er-Ho Bygg Aktiebolag
5567118004,Barslund Sverige AB
5563799708,Aktiebolaget POM Sandelius
5563251528,Sven Jinert Aktiebolag
5563755478,Bjerking AB
5567054118,Karaten Bygg AB
5564808847,YLAB Larssons Bygg AB
5567719033,Sterner Stenhus Holding AB
5567985493,Solidum Group AB
5566280557,Einar Mattsson Byggnads Aktiebolag
5560741935,Aktiebolaget Infjärdens Värme
5562638246,Havator Aktiebolag
5561927525,ThyssenKrupp Elevator Sverige AB
5561536185,Hökerum Bygg Aktiebolag
5565858338,Visual Art Sweden AB
5590991898,Betonmast Mälardalen AB
5569012940,BOX Bygg AB
5590300256,Grundboxen AB
5562512037,Henrik Anderssons Byggnads AB
5566876537,Salboheds Bygg och Anläggningstjänst AB
5566998430,Peab Fastighetsutveckling Syd AB
5563807279,Vestia Construction Group AB
5567975486,ByggVesta Development AB
5565240081,Bergteamet AB
5561073502,Kungälvs Rörläggeri Aktiebolag
5566093067,FSG Entreprenad AB
5568666977,INHUS AB
5567014328,Beijer Electronics AB
5563603959,Skeppsviken Bygg i Skövde AB
5569916264,Midroc Construction AB
5562356906,Kålltorpsgruppen AB
5561506691,Nordgårdgruppen AB
5568351745,HLL Hyreslandslaget AB
5564675998,ATS Kraftservice Aktiebolag
5563451433,OLJIBE Aktiebolag
5562929272,Malmberg Water AB
5566556618,STRABAG Sverige AB
5564852159,DAB Group AB
5567271142,Ljungström & Andersson Invest AB
5561402586,Meraxil Bygg och Fastighets Aktiebolag
5590115688,MTA Bygg & Anläggning i Helsingborg AB
5568635303,OBK Sverige AB
5567630693,Desenio AB
5560252891,Credentia AB
5566456157,Hallonqvist Solutions AB
5565830741,Kålltorps Byggnadsaktiebolag
5566712872,Bäckström Anläggning Aktiebolag
5560802935,F.O. Arkitektkontor Aktiebolag
