company,id,year,net_sales,other_sales,op_profit_ebit,prof_after_net_fin_items,results,sub_unpaid_cap,fixed_assets,current_assets,assets,equity,untaxed_reserves,provisions,lt_liabilities,curr_liabilities,lia_and_equity,salar_board_ceo,royalties_board_ceo,sal_other_empl,perf_other_empl,social_exp,dividends,revenue,num_employes,net_sales_empl,pers_cost_empl,op_prof_ebitda,net_change,du_pont_model,prof_margin,gross_prof,working_cap,solidity,quick_ratio
Stadsbudskontoret Mikael Olsson Aktiebolag,5564541687,2012,53134,424,1002,705,292,0,5699,8474,14173,1036,1818,0,974,10346,14173,0,-,17915,-,5917,0,53558,52,1022,448,2669,8.13%,7.14%,1.90%,100.00%,-3.52%,16.76%,81.66%
Stadsbudskontoret Mikael Olsson Aktiebolag,5564541687,2011,49140,49,36,-247,10,0,7376,7541,14916,744,1539,0,1899,10734,14916,-,-,17059,-,5876,0,49189,49,1003,469,2055,37.60%,0.37%,0.11%,100.00%,-6.50%,12.59%,70.03%
Stadsbudskontoret Mikael Olsson Aktiebolag,5564541687,2010,35711,371,584,294,285,0,8538,6525,15063,734,1796,0,3214,9319,15063,359,-,12257,-,4511,0,36082,35,1020,489,2693,-,3.93%,1.66%,100.00%,-7.82%,13.66%,69.80%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2019,0,-,0,0,-2,0,4055,40,4095,3201,0,0,0,894,4095,0,0,0,0,0,200,0,0,-,-,0,-,-,-,-,-,78.17%,4.47%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2018,0,-,0,0,-2,0,4255,42,4297,3403,0,0,0,894,4297,0,0,0,0,0,200,0,0,-,-,0,-,-,-,-,-,79.19%,4.70%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2017,0,-,-1,-1,-1,0,4255,44,4299,3604,0,0,0,694,4299,0,-,0,-,0,200,0,-,-,-,-1,-,-,-,-,-,83.83%,6.34%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2016,0,-,0,-1,-1,0,4455,44,4500,3805,0,0,0,694,4500,0,0,0,0,0,200,0,0,-,-,0,-,-,-,-,-,84.56%,6.34%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2015,0,-,0,-1,-1,0,1810,2721,4531,4006,0,0,0,524,4531,0,-,0,-,0,200,0,0,-,-,0,-,-,-,-,-,88.41%,519.27%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2014,0,-,-1,59,57,0,1810,2922,4732,4207,0,0,0,525,4732,-,-,-,-,-,200,0,-,-,-,-1,-,-,-,-,-,88.91%,556.57%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2013,0,-,0,2575,2570,0,1785,2889,4674,4350,0,0,0,324,4674,0,-,0,-,0,200,0,0,-,-,0,-,-,-,-,-,93.07%,891.67%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2012,0,-,0,-109,-109,0,1723,406,2129,1979,0,0,0,149,2129,0,0,0,0,0,200,0,0,-,-,0,-,-,-,-,-,92.95%,272.48%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2011,0,-,0,211,215,0,2157,83,2241,2088,0,0,0,152,2241,0,-,0,-,0,0,0,0,-,-,0,-,-,-,-,-,93.17%,54.61%
Olle Petterssons Entreprenad i Hässleholm         Aktiebolag,5563613875,2010,0,-,0,26,23,0,2144,88,2231,2073,9,0,0,149,2231,0,-,0,-,0,200,0,0,-,-,0,-,-,-,-,-,93.22%,59.06%
Peter Noaksson Bygg AB,5591867394,2019,1273,-,20,20,16,0,54,77,131,66,0,0,0,66,131,-,-,-,-,-,0,1273,-,-,-,44,-,15.27%,1.57%,50.35%,0.86%,50.38%,116.67%
Scienta Omicron AB,5562259704,2019,149614,254,4810,3137,-403,0,1832,110117,111950,15034,2569,1433,0,92913,111950,-,-,23061,-,12660,0,149868,37,4044,965,4810,3.43%,4.31%,3.22%,38.63%,11.50%,15.22%,79.76%
Scienta Omicron AB,5562259704,2018,144658,2686,12135,10708,-1400,0,1761,111373,113134,15437,2129,7446,0,88122,113134,-,-,23378,-,11821,0,147344,33,4384,1067,12135,11.73%,10.73%,8.39%,40.58%,16.07%,15.11%,105.89%
Scienta Omicron AB,5562259704,2017,129474,72,4645,-2472,-4541,0,3621,87949,91570,16836,1451,5245,0,68038,91570,-,-,24008,-,8529,0,129546,37,3499,879,4645,0.83%,-1.15%,-0.81%,34.30%,15.38%,19.62%,99.11%
Scienta Omicron AB,5562259704,2016,128410,1925,5769,5136,836,0,2593,61023,63616,21155,912,250,0,41299,63616,0,-,21628,-,8396,0,130335,37,3471,811,6555,11.99%,9.57%,4.74%,39.09%,15.36%,34.37%,108.59%
Scienta Omicron AB,5562259704,2015,114667,111,18589,17916,4276,0,1657,70114,71771,20542,1675,250,1223,48081,71771,2296,-,19091,-,10798,0,114778,38,3018,-,18589,32.59%,26.00%,16.27%,100.00%,19.21%,30.44%,109.39%
Scienta Omicron AB,5562259704,2014,86480,2568,14946,14631,1655,0,2271,54060,56332,16266,250,0,4989,34826,56332,2325,-,16661,-,8965,0,89048,27,3203,1065,15625,37.62%,26.53%,17.28%,66.52%,22.24%,29.22%,114.32%
Scienta Omicron AB,5562259704,2013,62841,1250,596,114,57,0,3434,49083,52517,14611,0,250,12874,24781,52517,2381,-,13353,-,7764,0,64091,25,2514,945,1465,8.13%,1.15%,0.96%,65.27%,38.67%,27.82%,124.20%
