company,id,year,net_sales,other_sales,op_profit_ebit,prof_after_net_fin_items,results,sub_unpaid_cap,fixed_assets,current_assets,assets,equity,untaxed_reserves,provisions,lt_liabilities,curr_liabilities,lia_and_equity,salar_board_ceo,royalties_board_ceo,sal_other_empl,perf_other_empl,social_exp,dividends,revenue,num_employes,net_sales_empl,pers_cost_empl,op_prof_ebitda,net_change,du_pont_model,prof_margin,gross_prof,working_cap,solidity,quick_ratio
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2013,295424,-,21594,21063,16289,0,31413,44028,75440,28822,98,1491,0,45030,75440,2177,-,25307,-,8432,0,295424,70,4220,513,22803,3.20%,29.57%,7.55%,18.60%,-0.34%,38.21%,75.75%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2012,286274,150,18808,17612,12918,0,32452,32761,65214,22466,86,411,0,42251,65214,1357,-,26047,-,7822,0,286424,64,4473,550,19832,6.32%,29.39%,6.70%,17.98%,-3.32%,34.45%,51.54%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2011,269259,-,17285,16526,12030,0,16586,43497,60083,18547,84,96,0,41357,60083,1101,-,24593,-,7178,0,269259,67,4019,491,19046,5.27%,29.51%,6.58%,18.01%,0.79%,30.87%,78.51%
"Arne, Lennart & Inger Andersson Invest AB",5566875794,2010,255786,-,12906,10604,7569,0,16995,35554,52549,15517,71,4,0,36957,52549,1068,-,23388,-,6401,0,255786,67,3818,461,15134,-,25.17%,5.17%,17.29%,-0.55%,29.53%,69.59%
AB Miljö & Energiservice Per Olofsson,5563388601,2019,28058,48,-639,-1836,-897,0,1214,10437,11651,7447,0,0,117,4087,11651,-,-,-,-,-,0,28106,20,1403,572,-514,-6.03%,-5.48%,-2.28%,49.79%,22.63%,63.92%,255.37%
AB Miljö & Energiservice Per Olofsson,5563388601,2018,29859,18,1086,1078,812,0,784,14570,15355,8344,1100,0,762,5148,15355,-,-,-,-,-,0,29877,18,1659,603,1205,24.83%,7.07%,3.64%,46.16%,31.55%,59.93%,283.02%
AB Miljö & Energiservice Per Olofsson,5563388601,2017,23920,275,334,325,239,0,566,14653,15219,7532,1100,0,1322,5265,15219,-,-,-,-,0,0,24195,17,1407,594,488,-3.53%,2.19%,1.40%,58.60%,39.25%,55.13%,278.31%
AB Miljö & Energiservice Per Olofsson,5563388601,2016,24794,549,1674,1673,1279,0,5469,8995,14464,7293,1100,0,0,6071,14464,-,-,-,-,-,0,25343,16,1550,459,1884,63.03%,11.57%,6.75%,41.39%,11.79%,56.35%,148.16%
AB Miljö & Energiservice Per Olofsson,5563388601,2015,15208,730,159,147,1858,0,5381,4458,9839,6564,1100,0,0,2175,9839,-,-,4782,-,1837,550,15938,16,951,424,393,-20.64%,1.62%,1.05%,57.59%,15.01%,75.43%,204.97%
AB Miljö & Energiservice Per Olofsson,5563388601,2014,19164,576,4217,4183,2540,0,7306,5149,12455,5406,3374,0,0,3675,12455,-,-,4955,-,1648,500,19740,21,913,318,4484,11.42%,33.92%,22.05%,66.33%,7.69%,64.53%,140.11%
AB Miljö & Energiservice Per Olofsson,5563388601,2013,17200,636,4348,4222,2607,0,5781,6001,11782,3021,2481,0,2912,3369,11782,0,-,4046,-,1452,155,17836,18,956,310,4634,58.16%,37.11%,25.42%,65.48%,15.30%,42.07%,178.12%
AB Miljö & Energiservice Per Olofsson,5563388601,2012,10875,696,1907,1700,907,0,5884,3829,9713,564,1638,0,5055,2456,9713,0,-,2908,-,1050,150,11571,16,680,252,2164,-0.89%,19.89%,17.77%,64.00%,12.63%,18.24%,155.90%
AB Miljö & Energiservice Per Olofsson,5563388601,2011,10973,477,1945,1805,1024,0,8315,3437,11752,2670,1186,0,5298,2599,11752,851,-,2285,-,1134,300,11450,8,1372,556,2144,30.44%,16.70%,17.89%,81.37%,7.64%,30.16%,132.24%
AB Miljö & Energiservice Per Olofsson,5563388601,2010,8412,441,1161,1144,792,0,3762,3107,6869,2366,781,0,1891,1831,6869,844,-,2057,-,1144,720,8853,8,1052,510,1331,-,16.99%,13.87%,85.62%,15.17%,42.82%,169.69%
Huddinge Buxbom 1 AB,5567430003,2019,14517,-,6931,5607,1722,0,66251,15681,81932,15183,9075,0,48153,9521,81932,0,0,0,0,0,0,14517,-,-,-,10261,7.04%,8.46%,47.76%,100.00%,42.43%,27.17%,164.70%
Huddinge Buxbom 1 AB,5567430003,2018,13562,-,5967,5251,4086,0,69581,247,69828,13461,10287,0,0,46080,69828,0,0,0,0,0,0,13562,0,-,-,9293,-2.79%,8.55%,44.03%,100.00%,-337.95%,30.77%,0.54%
Huddinge Buxbom 1 AB,5567430003,2017,13951,-,6921,3762,2603,0,72551,176,72727,9375,11368,0,0,51984,72727,0,0,0,0,0,0,13951,0,-,-,10247,5.35%,9.52%,49.61%,100.00%,-371.36%,25.08%,0.34%
Huddinge Buxbom 1 AB,5567430003,2016,13243,-,4086,-568,447,0,75877,4485,80362,6772,10670,0,54419,8501,80362,-,-,-,-,-,0,13243,-,-,-,9763,3.36%,5.08%,30.85%,100.00%,-30.33%,18.78%,52.76%
Huddinge Buxbom 1 AB,5567430003,2015,12812,-,4149,3407,4268,0,81554,3967,85521,6325,15005,0,58655,5536,85521,-,-,-,-,0,0,12812,-,-,-,9801,0.95%,4.85%,32.39%,100.00%,-12.25%,21.08%,71.66%
Huddinge Buxbom 1 AB,5567430003,2014,12691,-,4549,4550,-498,0,86089,24035,110124,82051,16727,1006,0,10340,110124,0,-,0,-,0,0,12691,0,-,-,9735,-3.91%,4.13%,35.85%,100.00%,107.91%,86.36%,232.45%
Huddinge Buxbom 1 AB,5567430003,2013,13207,-,2127,2127,3004,0,89976,14650,104625,83330,15153,1367,0,4775,104625,-,-,-,-,-,0,13207,-,-,-,7750,0.60%,2.03%,16.11%,16.34%,74.77%,90.94%,306.81%
Huddinge Buxbom 1 AB,5567430003,2012,13128,-,4050,4047,-5205,0,95598,5287,100885,82376,16878,1098,0,533,100885,0,-,0,-,0,0,13128,0,-,-,9414,12.19%,4.02%,30.86%,30.85%,36.21%,93.98%,991.93%
Huddinge Buxbom 1 AB,5567430003,2011,11702,-,3239,3022,1522,0,106208,57,106265,8941,13849,0,0,83475,106265,0,-,0,-,0,0,11702,0,-,-,8343,4.25%,3.05%,27.68%,35.14%,-712.85%,18.02%,0.07%
Huddinge Buxbom 1 AB,5567430003,2010,11225,-,2547,632,-886,0,111572,325,111897,8212,12892,0,0,90793,111897,-,-,-,-,-,0,11225,-,-,-,7651,-,2.28%,22.69%,30.70%,-805.95%,15.83%,0.36%
ELMONTEX AB,5590860515,2019,4325,8,367,363,283,0,14,948,962,440,0,0,57,465,962,-,-,-,-,-,200,4333,4,1081,442,379,11.13%,38.15%,8.49%,65.41%,11.17%,45.74%,203.87%
ELMONTEX AB,5590860515,2018,3892,7,63,60,46,0,39,603,641,172,0,0,71,398,641,-,-,-,-,-,110,3899,3,1297,532,75,5.85%,9.83%,1.62%,58.25%,5.27%,26.83%,151.51%
ELMONTEX AB,5590860515,2017,3677,7,240,239,186,0,62,702,764,236,0,0,77,451,764,-,-,1224,-,385,169,3684,4,919,406,245,-,31.41%,6.53%,62.85%,6.83%,30.89%,155.65%
Skandwood Bygg&Development AB,5590641956,2020,35126,261,4224,4201,2394,0,380,9064,9444,3323,1100,0,0,5021,9444,-,-,-,-,-,2239,35387,21,1673,386,4299,28.48%,44.73%,12.03%,41.05%,11.51%,44.27%,180.52%
Skandwood Bygg&Development AB,5590641956,2019,27340,320,2189,2181,1202,0,320,6286,6606,2847,0,0,0,3759,6606,-,-,-,-,-,1900,27660,17,1608,360,2217,6.53%,33.14%,8.01%,38.52%,9.24%,43.10%,167.23%
Skandwood Bygg&Development AB,5590641956,2018,25665,-,1868,1858,1858,0,1381,1706,3087,1920,0,0,735,432,3087,-,-,-,-,-,0,25665,15,1711,339,1922,227.53%,60.51%,7.28%,34.40%,4.96%,62.20%,393.75%
Skandwood Bygg&Development AB,5590641956,2017,7836,-,162,162,162,0,357,152,509,212,0,0,224,73,509,-,-,-,-,-,150,7836,0,-,-,178,-,31.83%,2.07%,31.18%,1.01%,41.65%,208.22%
Elisabet Transport och Schakt AB,5591601116,2019,6971,9,655,643,384,0,474,1625,2099,434,157,0,651,858,2099,-,-,-,-,-,0,6980,5,1394,403,767,965.90%,31.21%,9.40%,42.62%,11.00%,26.51%,189.39%
Elisabet Transport och Schakt AB,5591601116,2018,654,-,-22,-26,-26,0,336,828,1164,49,0,0,746,369,1164,-,-,-,-,-,0,654,3,218,75,-4,-,-1.89%,-3.36%,37.77%,70.18%,4.21%,224.39%
Ella Nilsson Mat & Prat AB,5566625405,2020,382,-,194,194,183,0,460,376,837,775,0,0,0,62,837,-,-,-,-,-,178,382,-,-,-,194,91.00%,23.18%,50.79%,48.69%,82.20%,92.59%,485.48%
Ella Nilsson Mat & Prat AB,5566625405,2019,200,-,113,117,121,0,460,355,815,763,39,0,0,13,815,-,-,-,-,-,171,200,1,200,-,113,31.58%,14.23%,58.00%,86.00%,171.00%,97.35%,2730.77%
Ella Nilsson Mat & Prat AB,5566625405,2018,152,1,75,75,51,0,500,446,946,815,77,0,0,54,946,-,-,-,-,-,172,153,1,152,36,75,-33.33%,7.93%,49.34%,100.00%,257.89%,92.50%,825.93%
Ella Nilsson Mat & Prat AB,5566625405,2017,228,-,129,129,64,0,0,1072,1072,927,77,0,0,68,1072,-,-,-,-,-,163,228,1,228,39,129,-6.56%,12.13%,57.02%,89.91%,440.35%,92.08%,1576.47%
Ella Nilsson Mat & Prat AB,5566625405,2016,244,-,127,128,65,0,0,1163,1163,1022,38,0,0,104,1163,0,-,0,-,0,158,244,0,-,-,127,-38.23%,11.01%,52.46%,93.85%,434.02%,90.42%,1118.27%
Ella Nilsson Mat & Prat AB,5566625405,2015,395,-,141,147,109,0,0,1525,1525,1112,0,0,200,212,1525,0,-,0,-,0,156,395,0,-,-,141,53.10%,9.64%,37.22%,70.89%,332.41%,72.92%,714.15%
Ella Nilsson Mat & Prat AB,5566625405,2014,258,6,128,144,371,0,0,1425,1425,1158,0,0,0,267,1425,0,-,0,-,0,155,264,0,-,-,128,-65.74%,10.60%,58.53%,100.00%,448.84%,81.26%,529.59%
Ella Nilsson Mat & Prat AB,5566625405,2013,753,-,520,554,295,0,0,1855,1855,936,341,0,0,577,1855,0,-,0,-,0,150,753,0,-,-,520,-25.89%,29.92%,73.71%,100.00%,169.72%,64.01%,315.60%
Ella Nilsson Mat & Prat AB,5566625405,2012,1016,-,746,767,416,0,0,1455,1455,789,197,0,0,471,1455,0,-,0,-,0,147,1016,0,-,-,746,130.91%,52.78%,75.59%,100.00%,96.85%,64.21%,297.03%
Ella Nilsson Mat & Prat AB,5566625405,2011,440,-,244,246,178,0,0,733,733,662,0,0,0,70,733,0,-,0,-,0,0,440,0,-,-,245,-,33.42%,55.68%,100.00%,150.68%,90.31%,955.71%
Petter Carlsson AB,5568939879,2019,1190,-,142,142,105,0,0,654,654,280,160,0,0,214,654,-,-,-,-,-,100,1190,1,1190,494,142,32.96%,21.71%,11.93%,64.96%,36.97%,61.90%,305.61%
Petter Carlsson AB,5568939879,2018,895,-,241,241,141,0,0,631,631,275,153,0,0,203,631,-,-,-,-,-,100,895,1,895,253,241,29.15%,38.19%,26.93%,60.00%,47.82%,62.49%,310.84%
Petter Carlsson AB,5568939879,2017,693,-,52,52,41,0,0,378,378,135,93,0,0,151,378,-,-,-,-,-,0,693,1,693,447,52,-20.34%,13.76%,7.50%,77.20%,32.76%,54.90%,250.33%
Petter Carlsson AB,5568939879,2016,870,-,138,138,107,0,0,504,504,293,93,0,0,118,504,-,-,271,-,86,200,870,1,870,380,138,-7.45%,27.38%,15.86%,68.62%,44.37%,72.53%,427.12%
Petter Carlsson AB,5568939879,2015,940,-,249,249,148,0,0,480,480,287,93,0,0,101,480,-,-,329,-,103,100,940,1,940,454,249,124.88%,51.88%,26.49%,80.32%,40.32%,74.90%,475.25%
Petter Carlsson AB,5568939879,2014,418,-,6,6,5,0,0,254,254,139,33,0,0,83,254,-,-,162,-,51,0,418,1,418,229,6,-60.82%,2.36%,1.44%,64.83%,40.91%,64.86%,306.02%
Petter Carlsson AB,5568939879,2013,1067,4,131,131,73,0,0,379,379,134,33,0,0,213,379,-,-,365,-,115,0,1071,1,1067,508,131,129.96%,34.56%,12.28%,63.73%,15.56%,41.77%,177.93%
Petter Carlsson AB,5568939879,2012,464,-,15,15,11,0,0,253,253,61,0,0,0,192,253,0,-,202,-,63,0,464,1,464,286,15,-,5.93%,3.23%,75.00%,13.15%,24.11%,131.77%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2019,25947,32,415,384,281,0,386,9221,9607,1219,105,200,0,8083,9607,552,-,4784,-,2206,0,25979,12,2162,641,538,20.39%,4.32%,1.60%,47.43%,4.39%,13.54%,85.71%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2018,21553,13,1236,1232,409,0,417,7127,7544,938,94,0,0,6512,7544,552,-,5141,-,2295,0,21566,13,1658,628,1333,21.24%,16.38%,5.73%,59.42%,2.85%,13.41%,65.86%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2017,17777,70,-446,-446,2,0,365,4979,5344,529,0,0,0,4815,5344,0,-,5641,-,2216,0,17847,13,1367,615,-384,-21.22%,-8.33%,-2.50%,59.83%,0.92%,9.90%,77.57%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2016,22566,84,539,537,379,0,183,5606,5789,527,47,0,2430,2784,5789,-,-,6783,-,2572,0,22650,13,1736,733,552,-,9.31%,2.39%,57.28%,12.51%,9.74%,138.43%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2014,19010,123,1650,1650,1,0,59,6451,6510,148,17,0,0,6345,6510,-,-,4897,-,1793,0,19133,13,1462,530,1658,13.83%,25.35%,8.68%,60.15%,0.56%,2.48%,63.23%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2013,16701,-,304,293,1,0,7,7499,7506,148,8,0,18,7332,7506,-,-,4844,0,1916,0,16701,12,1392,576,312,3.92%,4.05%,1.82%,58.41%,1.00%,2.05%,64.13%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2012,16071,119,1130,1117,0,0,15,8194,8209,147,0,0,0,8062,8209,0,-,4676,-,1838,0,16190,13,1236,517,1138,2.31%,13.78%,7.04%,61.65%,0.82%,1.79%,69.96%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2011,15708,5,-220,-229,-204,0,23,7038,7061,147,23,0,346,6545,7061,0,-,4639,-,1772,0,15713,13,1208,512,-211,-21.84%,-3.07%,-1.38%,57.71%,3.14%,2.32%,70.62%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2010,20098,28,1440,1431,1034,0,32,10498,10530,147,0,0,322,10061,10530,589,-,3950,-,1864,0,20126,13,1546,513,1462,1.47%,13.68%,7.16%,54.79%,2.17%,1.40%,76.81%
Aktiebolaget Carl A. Nilssons Elektriska          Reparationsverkstad,5560711029,2009,19806,39,1203,1201,911,0,54,9601,9655,147,0,0,0,9508,9655,602,-,3700,-,1709,0,19845,12,1651,524,1236,-,12.47%,6.08%,48.66%,0.47%,1.52%,64.06%
K & T Media Production AB,5567113369,2019,1130,210,376,376,376,0,0,889,889,129,0,0,206,554,889,0,0,0,0,0,0,1340,-,-,-,376,175.61%,42.29%,33.27%,100.00%,29.65%,14.51%,160.47%
K & T Media Production AB,5567113369,2018,410,-,165,165,165,0,0,293,293,-153,0,0,206,240,293,0,0,0,0,0,0,410,0,-,-,169,23.87%,56.31%,40.24%,100.00%,12.93%,-52.22%,122.08%
K & T Media Production AB,5567113369,2017,331,-,-161,-161,-161,0,4,129,133,-318,0,0,206,246,133,0,-,0,-,0,0,331,0,-,-,-150,-32.03%,-121.05%,-48.64%,100.00%,-35.35%,-239.10%,52.44%
K & T Media Production AB,5567113369,2016,487,-,44,44,44,0,14,274,289,-157,0,0,206,240,289,0,-,0,-,0,0,487,0,-,-,55,-3.37%,15.22%,9.03%,100.00%,6.98%,-54.33%,114.17%
K & T Media Production AB,5567113369,2015,504,-,-22,-22,-22,0,25,235,260,-201,0,0,206,255,260,0,-,123,-,39,0,504,3,168,27,12,-10.16%,-8.46%,-4.37%,100.00%,-3.97%,-77.31%,92.16%
K & T Media Production AB,5567113369,2014,561,-,-239,-239,-239,0,59,230,289,-179,0,0,205,263,289,0,0,412,-,109,0,561,3,187,103,-179,-25.10%,-82.70%,-42.60%,100.00%,-5.88%,-61.94%,87.45%
K & T Media Production AB,5567113369,2013,749,-,-188,-188,-188,0,100,396,496,60,0,0,199,237,496,0,-,769,-,243,0,749,3,250,141,-132,7.46%,-37.90%,-25.10%,100.00%,21.23%,12.10%,167.09%
K & T Media Production AB,5567113369,2012,697,-,46,46,46,0,123,351,474,248,0,0,199,27,474,0,-,216,-,68,0,697,2,349,81,114,-11.21%,9.70%,6.60%,100.00%,46.48%,52.32%,1300.00%
K & T Media Production AB,5567113369,2011,785,-,57,57,57,0,191,241,432,202,0,0,187,44,432,0,-,380,-,130,0,785,2,393,91,184,35.81%,13.19%,7.26%,100.00%,25.10%,46.76%,547.73%
K & T Media Production AB,5567113369,2010,578,1,26,26,26,0,200,163,363,146,0,0,186,32,363,0,0,0,0,0,0,579,0,-,-,138,-,7.16%,4.50%,100.00%,22.66%,40.22%,509.38%
MY-Konsult Teknik AB,5567055552,2019,6293,-,-11281,-11295,297,0,1760,6452,8211,557,0,0,0,7655,8211,-,-,-,-,-,0,6293,4,1573,604,-10902,-25.29%,-137.39%,-179.26%,-59.92%,-19.12%,6.78%,74.77%
MY-Konsult Teknik AB,5567055552,2018,8423,79,-1764,-1764,-13,0,2138,7939,10077,260,0,0,0,9817,10077,-,0,0,0,0,0,8502,2,4212,640,-1385,392.29%,-17.51%,-20.94%,30.93%,-22.30%,2.58%,73.45%
MY-Konsult Teknik AB,5567055552,2017,1711,30,55,55,28,0,48,991,1039,274,117,0,0,649,1039,-,-,-,-,-,0,1741,2,856,310,70,-53.64%,5.29%,3.21%,69.26%,19.99%,35.15%,55.78%
MY-Konsult Teknik AB,5567055552,2016,3691,95,659,660,133,0,44,1481,1524,246,166,0,0,1112,1524,0,-,1130,-,281,0,3786,3,1230,487,670,67.39%,43.31%,17.88%,71.36%,10.00%,24.64%,115.47%
MY-Konsult Teknik AB,5567055552,2015,2205,-,-52,-50,-28,0,0,1129,1129,113,116,0,0,900,1129,-,-,1028,-,266,0,2205,3,735,456,-52,29.78%,-4.52%,-2.31%,88.12%,10.39%,18.02%,114.11%
MY-Konsult Teknik AB,5567055552,2014,1699,-,-218,-216,-26,0,0,958,958,141,116,0,0,701,958,-,-,939,-,381,0,1699,3,566,446,-218,-40.64%,-22.65%,-12.77%,87.29%,15.13%,24.16%,107.56%
MY-Konsult Teknik AB,5567055552,2013,2862,21,-87,-81,1,0,0,1464,1464,167,306,0,0,991,1464,-,-,1562,-,784,0,2883,4,716,593,-87,-22.04%,-5.53%,-2.83%,97.52%,16.53%,26.81%,140.87%
MY-Konsult Teknik AB,5567055552,2012,3671,-,434,439,6,0,0,2201,2201,166,399,0,0,1636,2201,792,-,826,-,942,0,3671,4,918,651,436,-12.45%,19.95%,11.96%,99.46%,15.39%,20.90%,131.48%
MY-Konsult Teknik AB,5567055552,2011,4193,-,209,208,89,0,2,1338,1340,260,375,0,0,704,1340,923,-,887,-,1086,100,4193,4,1048,738,217,4.25%,15.67%,5.01%,93.80%,15.12%,40.03%,190.06%
MY-Konsult Teknik AB,5567055552,2010,4022,-,347,350,169,0,38,1891,1929,321,309,0,0,1299,1929,750,-,835,-,1075,150,4022,4,1006,687,355,-,18.09%,8.68%,96.82%,14.72%,28.45%,145.57%
Hanna Rosberg Design AB,5568361090,2020,607,-,184,206,129,0,0,534,534,255,47,0,0,233,534,-,-,-,-,-,0,607,1,607,179,184,1219.57%,38.58%,33.94%,100.00%,49.59%,54.62%,229.18%
Hanna Rosberg Design AB,5568361090,2019,46,-,-31,-9,-11,0,0,185,185,126,0,0,0,59,185,-,-,-,-,-,0,46,1,46,50,-31,-86.93%,4.32%,17.39%,100.00%,273.91%,68.11%,313.56%
Hanna Rosberg Design AB,5568361090,2018,352,4,96,-426,-387,0,0,235,235,137,0,0,0,98,235,-,-,-,-,-,0,356,1,352,47,96,-22.98%,49.79%,33.24%,100.00%,38.92%,58.30%,239.80%
Hanna Rosberg Design AB,5568361090,2017,457,-,276,318,247,0,511,574,1084,864,84,0,0,136,1084,-,-,-,-,-,340,457,1,457,92,294,59.79%,29.34%,69.58%,100.00%,95.84%,85.75%,422.06%
Hanna Rosberg Design AB,5568361090,2016,286,4,127,140,82,0,529,248,777,617,84,0,0,77,777,75,-,0,-,11,0,290,1,286,89,145,77.64%,20.08%,54.55%,99.30%,59.79%,87.84%,322.08%
Hanna Rosberg Design AB,5568361090,2015,161,-,102,256,233,0,547,333,880,534,49,0,0,296,880,-,-,-,-,4,0,161,-,-,-,120,-28.12%,29.20%,159.63%,100.00%,22.98%,65.03%,112.50%
Hanna Rosberg Design AB,5568361090,2014,224,-,122,165,142,0,566,102,668,302,49,0,0,317,668,-,-,17,-,10,0,224,-,-,-,128,1.82%,27.25%,81.25%,99.11%,-95.98%,50.93%,32.18%
Hanna Rosberg Design AB,5568361090,2013,220,-,141,141,78,0,480,129,609,160,49,0,0,401,609,0,-,0,-,0,0,220,0,-,-,141,12.82%,23.15%,64.09%,100.00%,-123.64%,32.20%,32.17%
Hanna Rosberg Design AB,5568361090,2012,195,-,57,57,32,0,0,145,145,82,14,0,0,49,145,0,-,0,-,0,0,195,0,-,-,57,-,39.31%,29.23%,100.00%,49.23%,63.67%,295.92%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2019,13313,263,1450,1450,132,0,944,4819,5763,1642,71,0,0,4050,5763,-,-,-,-,-,0,13576,6,2219,543,1531,10.85%,25.16%,10.89%,64.68%,5.78%,29.45%,113.41%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2018,12010,261,2174,2174,0,0,775,3627,4401,1510,0,0,16,2875,4401,-,-,-,-,-,0,12271,6,2002,486,2255,17.26%,49.40%,18.10%,68.72%,6.26%,34.31%,121.74%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2017,10242,244,731,733,-5,0,856,2529,3385,1510,0,0,0,1875,3385,-,-,-,-,-,0,10486,5,2048,567,769,-6.14%,21.65%,7.16%,71.53%,6.39%,44.61%,125.23%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2016,10912,234,146,146,-2,0,893,1792,2685,1515,0,0,6,1164,2685,477,-,1678,-,810,0,11146,6,1819,530,155,-8.65%,5.44%,1.34%,68.89%,5.76%,56.42%,141.07%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2015,11945,69,2870,2819,345,0,869,2772,3641,1517,153,0,542,1428,3641,667,-,1733,-,881,0,12014,6,1991,557,2879,-3.19%,78.85%,24.04%,67.96%,11.25%,44.94%,186.97%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2014,12338,269,-364,-432,4,0,10876,2075,12950,1671,4922,0,1961,4396,12950,239,-,2073,-,884,0,12607,8,1542,404,1798,-3.64%,-2.79%,-2.93%,60.03%,-18.81%,42.55%,46.45%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2013,12804,438,-666,-820,40,0,10854,3028,13883,1668,5485,0,3857,2874,13883,614,-,2294,-,1089,0,13242,9,1423,452,1366,-32.11%,-4.74%,-5.14%,62.10%,1.20%,41.13%,104.28%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2012,18860,355,1980,1667,600,0,10915,5431,16345,1771,6364,0,3634,4576,16345,615,-,2722,-,1234,143,19215,10,1886,462,3935,7.39%,12.11%,10.50%,62.88%,4.53%,39.53%,117.26%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2011,17562,72,961,692,108,0,11202,4287,15490,1299,5517,0,4826,3848,15490,650,0,2697,0,1246,128,17634,10,1756,466,2833,3.65%,6.20%,5.47%,66.19%,2.50%,34.64%,109.72%
H-J Larssons Gräv & Entreprenad Aktiebolag,5563701589,2010,16943,518,1265,1072,95,0,12328,3485,15813,1318,4977,0,5715,3803,15813,590,-,2941,-,1107,127,17461,10,1694,485,3287,-,8.03%,7.50%,68.25%,-1.88%,31.53%,90.19%
Sofia Lilja AB,5568368798,2020,753,-,107,107,82,0,0,220,220,130,0,0,0,90,220,-,-,-,-,-,0,753,1,753,400,107,23.04%,48.64%,14.21%,100.00%,17.26%,59.09%,244.44%
Sofia Lilja AB,5568368798,2019,612,-,-10,-11,-11,0,0,100,100,48,0,0,0,52,100,-,-,-,-,-,0,612,1,612,359,-10,19.77%,-10.00%,-1.63%,100.00%,7.84%,48.00%,192.31%
Sofia Lilja AB,5568368798,2018,511,-,-6,-7,-8,0,0,126,126,59,0,0,0,66,126,-,-,-,-,-,0,511,1,511,325,-1,-10.04%,-4.76%,-1.17%,100.00%,11.74%,46.83%,190.91%
Sofia Lilja AB,5568368798,2017,568,-,78,78,57,0,5,208,212,67,0,0,0,145,212,-,-,-,-,-,0,568,1,568,343,82,76.95%,36.79%,13.73%,100.00%,11.09%,31.60%,143.45%
Sofia Lilja AB,5568368798,2016,321,-,-38,-39,-39,0,9,63,71,11,0,0,0,61,71,-,-,131,-,48,0,321,1,321,183,-34,409.52%,-53.52%,-11.84%,100.00%,0.62%,15.49%,103.28%
Sofia Lilja AB,5568368798,2015,63,-,-46,-46,-46,0,13,58,71,50,0,0,0,21,71,0,-,0,-,7,0,63,1,63,8,-41,-88.00%,-64.79%,-73.02%,100.00%,58.73%,70.42%,276.19%
Sofia Lilja AB,5568368798,2014,525,-,-25,-27,-20,0,18,47,65,35,0,0,0,29,65,-,-,253,-,92,0,525,1,525,362,-20,6.06%,-38.46%,-4.76%,100.00%,3.43%,53.85%,162.07%
Sofia Lilja AB,5568368798,2013,495,-,40,39,25,0,0,117,117,56,8,0,0,54,117,172,-,0,-,58,0,495,1,495,236,40,-42.24%,34.19%,8.08%,100.00%,12.73%,52.90%,216.67%
Sofia Lilja AB,5568368798,2012,857,-,-17,-19,-19,0,0,93,93,31,0,0,0,63,93,-,-,412,-,134,0,857,1,857,554,-17,-,-18.28%,-1.98%,100.00%,3.50%,33.33%,147.62%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2019,44296,-,543,955,889,0,1460,3477,4937,1885,341,0,0,2711,4937,-,-,-,-,-,1200,44296,12,3691,462,1035,-0.30%,19.32%,2.15%,25.69%,1.73%,43.57%,67.69%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2018,44430,-,750,1204,976,0,1419,4014,5433,1996,431,0,0,3006,5433,-,-,-,-,-,1000,44430,12,3703,471,1192,3.09%,22.16%,2.71%,25.12%,2.27%,42.93%,80.87%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2017,43097,-,169,668,747,0,1452,3767,5220,2020,391,0,0,2808,5220,-,-,-,-,-,1000,43097,12,3591,487,561,2.21%,12.80%,1.55%,24.73%,2.23%,44.54%,75.36%
Bo Almqvist i Stallarholmen Aktiebolag,5563658433,2016,42167,-,331,630,695,0,1407,4009,5417,2273,571,0,0,2572,5417,-,-,0,-,0,1000,42167,12,3514,486,682,1.33%,11.63%,1.49%,25.93%,3.41%,50.18%,92.61%
