company,id,status,actual_status,remark,default_date
Aktiebolaget Ivar Gustavssons Rör,5561266148,aktivt,aktivt,,
Per & Marcus Bygg & Anläggning AB,5590454384,aktivt,aktivt,,
Magnusson Elteknik i Vetlanda AB,5591134563,aktivt,aktivt,,
Aktiebolaget E Peterssons VVS,5563962249,aktivt,aktivt,,
Sandhems Murverk AB,5565588521,aktivt,aktivt,,
BAN Byggkonsult AB,5590288667,aktivt,aktivt,,
Höglandets Montage AB,5568135155,aktivt,aktivt,,
Smålands Golvslipning AB,5568047236,aktivt,aktivt,,
Jerker Carlsson Byggkonsult Aktiebolag,5564597390,aktivt,aktivt,,
Alex M Byggservice AB,5569408239,aktivt,aktivt,,
Brandstorp Schakt & Gräv AB,5591764963,aktivt,aktivt,,
Sören Edheimer Byggkonsult Aktiebolag,5568424799,aktivt,aktivt,,
Hans Friberg Byggkonsult AB,5591817811,aktivt,aktivt,,
Byggnadsplåt i Jönköping Fastighets AB,5562748227,aktivt,aktivt,,
Aneby rör AB,5591502868,aktivt,aktivt,,
Peter Svensson i Vrigstad AB,5563753218,aktivt,aktivt,,
GEMAC AB,5569604555,aktivt,aktivt,,
Mikna Invest AB,5567508808,aktivt,aktivt,,
Grävfirma Tord Hjelm Aktiebolag,5564637790,aktivt,aktivt,,
Gecas Bygg AB,5568397136,aktivt,aktivt,,
ANFRO AB,5567865521,aktivt,aktivt,,
Byggsam i Ingatorp AB,5591728281,aktivt,aktivt,,
P&M Team AB,5590960844,aktivt,aktivt,,
Aktiebolaget Electric Refrigerant Service ERS,5565381125,aktivt,aktivt,,
Josefs Måleri i Vaggeryd AB,5568663164,aktivt,aktivt,,
Bankeryds Måleri AB,5568765837,aktivt,aktivt,,
Markkvalitet i Jönköping AB,5568703317,aktivt,aktivt,,
Lindstrand Elteknik AB,5568230923,aktivt,aktivt,,
MF Projektledning AB,5590917380,aktivt,aktivt,,
Munkab Aktiebolag,5568762214,aktivt,aktivt,,
Ancre AB,5568273998,aktivt,aktivt,,
Lindsgårds Plåtslageri AB,5568922966,aktivt,aktivt,,
JBorg Bygg AB,5568478613,aktivt,aktivt,,
Mirock Bygg AB,5590190327,aktivt,aktivt,,
Claessons Service och Installation i Aneby AB,5565887121,aktivt,aktivt,,
Bertils Bygg i Värnamo AB,5569186181,aktivt,aktivt,,
